forecast_id,year_month,product_id,region_id,forecast_version,forecast_units,forecast_revenue_eur,actual_units,actual_revenue_eur
49,2021-01,1009,3,Budget,117,78438.34,105,76068.39
50,2021-01,1009,6,Budget,11,12330.77,16,11803.07
51,2021-01,1009,8,Latest Estimate,36,28503.23,36,29440.02
52,2021-01,1009,10,Rolling Forecast,138,101273.86,130,94118.23999999999
53,2021-01,1010,1,Rolling Forecast,49,59226.9,59,53042.88
54,2021-01,1010,3,Latest Estimate,172,164563.06,166,133031.06
55,2021-01,1010,4,Budget,42,47485.02,47,39258.33
56,2021-01,1010,6,Rolling Forecast,41,47315.7,55,48466.509999999995
57,2021-01,1010,7,Rolling Forecast,71,51791.93,62,56572.560000000005
58,2021-01,1010,8,Rolling Forecast,39,46833.41,39,36604.92
59,2021-01,1011,1,Rolling Forecast,109,85710.35,137,110660.36
60,2021-01,1011,2,Rolling Forecast,28,18359.15,26,25926.58
61,2021-01,1011,4,Rolling Forecast,28,20688.49,31,27627.14
62,2021-01,1011,5,Rolling Forecast,56,41576.0,52,44299.83
63,2021-01,1011,7,Latest Estimate,17,13498.55,19,16065.9
64,2021-01,1012,1,Rolling Forecast,23,16298.08,28,26880.85
65,2021-01,1012,2,Rolling Forecast,117,99836.97,111,89283.04000000001
66,2021-01,1012,3,Rolling Forecast,43,41099.76,50,41827.59
67,2021-01,1012,4,Budget,2,2128.64,3,2844.16
68,2021-01,1012,5,Rolling Forecast,189,162935.65,195,156909.72
69,2021-01,1012,6,Latest Estimate,93,115623.43,105,96308.39
70,2021-01,1012,9,Budget,16,15211.02,19,17372.16
71,2021-01,1013,1,Rolling Forecast,52,37088.3,45,33542.22
72,2021-01,1013,2,Latest Estimate,51,47112.07,47,40018.66
73,2021-01,1013,3,Rolling Forecast,39,27745.37,37,26848.5
74,2021-01,1013,4,Budget,82,60271.95,79,54523.03
75,2021-01,1013,5,Latest Estimate,164,101960.16,154,104818.77
76,2021-01,1013,6,Budget,83,59585.91,91,64157.47
77,2021-01,1013,8,Rolling Forecast,32,27243.73,37,27376.12
78,2021-01,1014,1,Budget,149,181611.29,168,196572.8
79,2021-01,1014,2,Budget,74,70722.43,66,70273.79000000001
80,2021-01,1014,4,Rolling Forecast,70,49718.17,57,59797.03999999999
81,2021-01,1014,5,Latest Estimate,35,40192.54,33,36617.03
82,2021-01,1014,6,Latest Estimate,39,30711.65,43,39518.64
83,2021-01,1014,7,Latest Estimate,71,84697.52,68,68446.43
84,2021-01,1015,1,Latest Estimate,89,91985.93,97,78431.39
85,2021-01,1015,2,Latest Estimate,96,71911.9,102,72868.22
86,2021-01,1015,3,Rolling Forecast,19,21794.22,25,22064.12
87,2021-01,1015,6,Rolling Forecast,7,7430.95,7,6793.39
88,2021-01,1016,2,Latest Estimate,66,57874.07,71,70894.48
89,2021-01,1016,4,Latest Estimate,90,63036.7,89,79605.52
90,2021-01,1016,5,Rolling Forecast,15,18194.69,16,14694.61
91,2021-01,1016,6,Rolling Forecast,27,40771.62,38,35200.68
92,2021-01,1016,9,Latest Estimate,153,148313.3,139,130678.01000000001
93,2021-01,1017,1,Rolling Forecast,13,11456.37,11,10943.33
94,2021-01,1017,3,Rolling Forecast,86,96007.79,97,86585.08
95,2021-01,1017,5,Rolling Forecast,33,25075.11,36,29838.5
96,2021-01,1017,6,Rolling Forecast,183,161551.88,210,175270.12
97,2021-01,1017,9,Budget,30,23461.15,39,28776.22
98,2021-01,1018,1,Latest Estimate,76,63572.94,72,64204.19
99,2021-01,1018,4,Rolling Forecast,22,34662.72,27,27578.47
100,2021-01,1018,6,Latest Estimate,19,20946.57,19,19432.22
101,2021-01,1018,8,Latest Estimate,25,23381.16,23,22492.65
102,2021-01,1018,9,Rolling Forecast,6,5053.38,6,5192.61
103,2021-01,1019,1,Budget,246,173405.78,230,183223.03
104,2021-01,1019,2,Latest Estimate,67,60968.89,61,51992.08
105,2021-01,1019,3,Latest Estimate,17,10282.5,17,14565.65
106,2021-01,1019,4,Rolling Forecast,116,79995.66,113,91272.23999999999
107,2021-01,1019,5,Latest Estimate,29,21663.88,31,25337.46
108,2021-01,1019,6,Rolling Forecast,133,168360.97,160,145995.28
109,2021-01,1019,7,Budget,8,7371.11,9,8232.61
110,2021-01,1019,9,Rolling Forecast,17,17921.95,17,15447.32
111,2021-01,1020,1,Rolling Forecast,56,20582.17,56,24664.11
112,2021-01,1020,2,Rolling Forecast,12,7306.91,15,6749.8
113,2021-01,1020,5,Budget,206,103081.86,193,83172.39
114,2021-01,1020,6,Latest Estimate,61,22512.41,62,28251.17
115,2021-01,1020,8,Latest Estimate,18,12496.1,23,10514.03
116,2021-01,1021,1,Rolling Forecast,135,78669.83,148,81555.87
117,2021-01,1021,5,Rolling Forecast,39,44006.67,53,32649.510000000002
118,2021-01,1021,6,Budget,51,26807.71,52,31444.76
119,2021-01,1021,8,Budget,22,15197.64,21,14055.79
120,2021-01,1021,9,Rolling Forecast,8,4125.34,9,5236.04
121,2021-01,1021,10,Rolling Forecast,58,19248.42,59,29963.47
122,2021-01,1022,1,Latest Estimate,14,8069.24,14,9117.43
123,2021-01,1022,3,Latest Estimate,26,20791.65,29,18702.75
124,2021-01,1022,5,Rolling Forecast,28,14978.72,27,17223.56
125,2021-01,1022,9,Budget,11,7705.88,14,8155.35
126,2021-01,1023,1,Rolling Forecast,47,26144.93,44,23508.26
127,2021-01,1023,2,Latest Estimate,183,72183.97,177,87125.87
128,2021-01,1023,3,Budget,43,30775.64,74,40318.8
129,2021-01,1023,4,Budget,116,62866.34,121,64896.54
130,2021-01,1023,6,Budget,185,89093.51,211,104173.56
131,2021-01,1023,7,Rolling Forecast,28,13500.88,24,13598.76
132,2021-01,1024,1,Budget,124,48338.7,118,56967.36
133,2021-01,1024,3,Latest Estimate,61,25328.25,62,30406.91
134,2021-01,1024,5,Latest Estimate,45,17248.48,45,20776.870000000003
135,2021-01,1024,8,Latest Estimate,88,45506.89,89,46218.71000000001
136,2021-01,1025,1,Rolling Forecast,7,7307.8,9,6734.72
137,2021-01,1025,2,Rolling Forecast,21,18182.58,27,21283.64
138,2021-01,1025,6,Latest Estimate,40,39365.26,42,31342.1
139,2021-01,1025,10,Rolling Forecast,52,41443.17,54,40577.33
140,2021-01,1026,1,Budget,111,48322.43,110,49761.82
141,2021-01,1026,2,Rolling Forecast,3,1527.63,3,1566.78
142,2021-01,1026,4,Latest Estimate,51,21237.26,47,23915.02
143,2021-01,1026,6,Rolling Forecast,61,24005.98,58,29816.57
144,2021-01,1026,9,Latest Estimate,76,50548.81,103,56133.01
145,2021-01,1027,1,Rolling Forecast,15,7211.36,13,5664.75
146,2021-01,1027,2,Budget,2,977.07,2,950.54
147,2021-01,1027,5,Rolling Forecast,15,4627.41,13,5059.21
148,2021-01,1027,6,Budget,13,6530.59,16,6956.48
149,2021-01,1027,10,Rolling Forecast,62,36213.11,78,34178.8
150,2021-01,1028,1,Latest Estimate,27,11960.59,27,11327.34
151,2021-01,1028,2,Rolling Forecast,33,15817.56,35,15245.52
152,2021-01,1028,3,Rolling Forecast,235,165828.45,330,128701.59999999999
153,2021-01,1028,4,Rolling Forecast,49,24944.55,44,22460.21
154,2021-01,1028,6,Rolling Forecast,213,112585.54,216,98578.3
155,2021-01,1028,9,Rolling Forecast,18,9878.72,20,9573.82
156,2021-01,1029,1,Rolling Forecast,192,85026.91,151,79142.41
157,2021-01,1029,3,Latest Estimate,111,47236.77,104,54310.0
158,2021-01,1029,5,Latest Estimate,56,25931.79,48,22365.68
159,2021-01,1029,6,Rolling Forecast,113,60192.21,108,58378.899999999994
160,2021-01,1029,8,Rolling Forecast,32,14645.82,31,18417.37
161,2021-01,1029,9,Rolling Forecast,24,16290.32,29,17246.99
162,2021-01,1030,1,Rolling Forecast,172,76830.74,161,101917.91
163,2021-01,1030,3,Latest Estimate,8,7043.28,10,6272.99
164,2021-01,1030,4,Rolling Forecast,40,16286.72,40,20915.59
165,2021-01,1030,7,Rolling Forecast,191,146098.75,229,124388.6
166,2021-01,1030,8,Budget,10,6298.2,11,6255.09
167,2021-01,1030,9,Latest Estimate,237,141544.89,221,132041.91
168,2021-01,1031,1,Budget,24,11512.56,23,14173.09
169,2021-01,1031,2,Rolling Forecast,58,29818.88,52,29367.93
170,2021-01,1031,4,Rolling Forecast,25,17251.67,25,14155.98
171,2021-01,1031,5,Rolling Forecast,45,36943.54,56,34876.49
172,2021-01,1031,6,Rolling Forecast,18,11541.59,21,12431.26
173,2021-01,1031,7,Latest Estimate,70,37605.97,60,35513.0
174,2021-01,1031,8,Rolling Forecast,28,15937.64,32,20745.78
175,2021-01,1032,1,Rolling Forecast,588,223019.0,625,284427.62
176,2021-01,1032,2,Latest Estimate,116,54540.94,110,50687.33
177,2021-01,1032,4,Budget,5,4668.44,7,3839.59
178,2021-01,1032,5,Rolling Forecast,44,23016.04,48,22739.25
179,2021-01,1032,8,Rolling Forecast,28,18943.22,29,13342.66
180,2021-01,1033,1,Budget,12,7487.67,13,6614.24
181,2021-01,1033,2,Rolling Forecast,63,37441.4,55,30806.42
182,2021-01,1033,4,Latest Estimate,57,27608.28,60,31891.719999999998
183,2021-01,1033,5,Budget,5,2175.24,5,2651.18
184,2021-01,1033,6,Rolling Forecast,34,22631.27,39,20377.1
185,2021-01,1033,8,Rolling Forecast,35,12020.71,32,15088.64
186,2021-01,1034,1,Latest Estimate,54,30903.1,58,33164.5
187,2021-01,1034,4,Rolling Forecast,68,28213.0,71,39087.11
188,2021-01,1034,5,Budget,38,17286.23,35,18020.58
189,2021-01,1034,6,Rolling Forecast,15,13787.7,19,11901.59
190,2021-01,1034,7,Rolling Forecast,76,58215.53,113,59473.2
191,2021-01,1034,8,Budget,21,10669.36,23,13469.66
192,2021-01,1035,1,Rolling Forecast,25,18526.01,32,18289.22
193,2021-01,1035,4,Latest Estimate,12,4574.48,11,5849.43
194,2021-01,1035,5,Rolling Forecast,39,23066.41,41,18982.35
195,2021-01,1035,6,Latest Estimate,135,77327.97,139,67772.23000000001
196,2021-01,1036,1,Budget,73,34442.41,66,31296.63
197,2021-01,1036,3,Budget,81,46664.18,98,48982.9
198,2021-01,1036,9,Rolling Forecast,40,15937.42,31,16943.9
199,2021-01,1037,2,Rolling Forecast,12,6930.6,11,6372.52
200,2021-01,1037,6,Rolling Forecast,137,82038.4,163,76600.73
201,2021-01,1037,7,Budget,40,16557.09,37,18743.62
202,2021-01,1037,9,Budget,51,27383.06,52,27360.09
203,2021-01,1038,1,Rolling Forecast,19,10689.19,18,9882.87
204,2021-01,1038,2,Budget,36,30087.54,59,25426.38
205,2021-01,1038,3,Rolling Forecast,94,55775.98,99,45475.270000000004
206,2021-01,1038,4,Rolling Forecast,10,5311.7,8,4517.3
207,2021-01,1038,5,Rolling Forecast,182,63263.65,172,85677.2
208,2021-01,1038,6,Latest Estimate,117,92581.6,171,82114.23999999999
209,2021-01,1038,8,Latest Estimate,16,9460.66,16,9233.74
210,2021-01,1038,10,Rolling Forecast,13,6763.32,15,8731.02
211,2021-01,1039,2,Rolling Forecast,76,40501.83,78,40917.63
212,2021-01,1039,6,Rolling Forecast,25,20250.62,28,17799.78
213,2021-01,1039,10,Budget,34,15530.93,31,18299.46
214,2021-01,1040,1,Budget,39,12629.98,39,12270.24
215,2021-01,1040,3,Budget,45,17494.9,59,19112.0
216,2021-01,1040,4,Latest Estimate,56,20741.67,52,17942.83
217,2021-01,1040,5,Latest Estimate,370,81835.03,346,115264.56
218,2021-01,1040,6,Latest Estimate,231,61453.82,221,67730.83
219,2021-01,1041,1,Rolling Forecast,66,24993.89,73,21505.629999999997
220,2021-01,1041,6,Rolling Forecast,100,30210.0,91,27111.76
221,2021-01,1041,8,Rolling Forecast,11,2556.16,10,2891.35
222,2021-01,1041,9,Budget,18,5325.59,19,5409.55
223,2021-01,1042,1,Rolling Forecast,20,10234.35,32,10102.33
224,2021-01,1042,3,Budget,52,27895.78,69,23541.420000000002
225,2021-01,1042,4,Budget,21,6543.98,17,6465.78
226,2021-01,1042,5,Latest Estimate,133,34771.59,122,41920.52
227,2021-01,1042,6,Latest Estimate,35,17932.27,44,16073.76
228,2021-01,1042,7,Rolling Forecast,19,8016.39,18,7152.83
229,2021-01,1042,8,Latest Estimate,36,10784.33,38,12005.23
230,2021-01,1043,1,Budget,179,42477.65,186,56781.92
231,2021-01,1043,6,Latest Estimate,22,7490.64,22,6942.9
232,2021-01,1043,7,Latest Estimate,6,1764.86,7,2266.19
233,2021-01,1043,9,Budget,12,3799.67,11,3850.53
234,2021-01,1044,1,Latest Estimate,251,60195.43,207,72532.47
235,2021-01,1044,6,Budget,140,51587.22,147,50349.759999999995
236,2021-01,1044,8,Rolling Forecast,23,14762.86,32,12864.6
237,2021-01,1045,1,Rolling Forecast,550,156598.73,513,173791.77
238,2021-01,1045,2,Budget,60,33001.37,70,25963.640000000003
239,2021-01,1045,4,Latest Estimate,39,14185.67,49,18722.77
240,2021-01,1045,5,Rolling Forecast,76,32761.2,77,27693.980000000003
241,2021-01,1045,6,Budget,50,37275.83,81,30157.83
242,2021-01,1046,1,Rolling Forecast,18,8849.35,22,9857.28
243,2021-01,1046,2,Rolling Forecast,20,15458.41,25,14473.05
244,2021-01,1046,6,Latest Estimate,6,4577.68,10,4684.55
245,2021-01,1046,8,Rolling Forecast,15,9419.98,15,7162.14
246,2021-01,1046,9,Rolling Forecast,28,11775.0,30,14329.75
247,2021-01,1047,1,Rolling Forecast,71,61097.75,115,57400.82
248,2021-01,1047,2,Rolling Forecast,8,3203.88,7,3548.14
249,2021-01,1047,3,Budget,10,7221.95,12,6659.63
250,2021-01,1047,4,Rolling Forecast,176,69101.01,169,82444.94
251,2021-01,1047,6,Budget,27,15464.02,34,17534.879999999997
252,2021-01,1047,7,Rolling Forecast,11,7069.93,12,6550.62
253,2021-01,1047,8,Budget,59,33973.02,64,30449.78
254,2021-01,1047,9,Rolling Forecast,17,13162.51,19,10180.85
255,2021-01,1047,10,Budget,107,41584.56,92,38453.15
256,2021-01,1048,5,Latest Estimate,62,28833.81,54,23309.25
257,2021-01,1048,6,Latest Estimate,63,30118.89,82,40996.22
258,2021-01,1048,8,Budget,10,5079.08,9,4091.68
259,2021-01,1048,9,Latest Estimate,77,30597.04,72,31051.89
260,2021-01,1049,2,Rolling Forecast,44,11163.89,53,15264.34
261,2021-01,1049,3,Latest Estimate,43,16255.31,54,16641.53
262,2021-01,1049,4,Rolling Forecast,27,12028.64,31,10478.54
263,2021-01,1049,5,Latest Estimate,76,27485.86,81,22997.37
264,2021-01,1049,6,Rolling Forecast,7,2777.84,10,3408.03
265,2021-01,1049,7,Rolling Forecast,57,24436.48,68,20945.36
266,2021-01,1049,8,Budget,74,36264.06,91,28275.449999999997
267,2021-01,1050,1,Rolling Forecast,54,21765.29,52,25061.15
268,2021-01,1050,3,Budget,39,26279.16,46,23093.45
269,2021-01,1050,6,Rolling Forecast,73,34159.9,74,29624.78
270,2021-01,1050,8,Rolling Forecast,69,27450.45,65,30085.449999999997
271,2021-01,1050,9,Rolling Forecast,6,4277.47,7,3569.43
272,2021-01,1051,2,Rolling Forecast,90,32752.2,79,27775.85
273,2021-01,1051,3,Rolling Forecast,97,41622.5,99,35594.27
274,2021-01,1051,4,Rolling Forecast,72,35695.01,95,34601.54
275,2021-01,1051,5,Budget,40,10587.1,43,13194.77
276,2021-01,1051,6,Rolling Forecast,16,7212.35,18,6960.45
277,2021-01,1051,8,Budget,21,6002.34,22,7912.11
278,2021-01,1051,9,Budget,23,10098.08,28,9243.16
279,2021-01,1052,1,Latest Estimate,184,51780.92,143,47674.13
280,2021-01,1052,2,Rolling Forecast,37,20091.01,45,16182.07
281,2021-01,1052,3,Rolling Forecast,81,31969.98,101,31193.45
282,2021-01,1052,6,Latest Estimate,17,7810.2,21,8198.99
283,2021-01,1052,7,Rolling Forecast,24,12970.83,31,11843.05
284,2021-01,1052,10,Rolling Forecast,2,746.16,2,795.27
285,2021-01,1053,1,Rolling Forecast,139,40940.89,123,39225.71
286,2021-01,1053,3,Budget,66,24673.08,66,23850.42
287,2021-01,1053,5,Rolling Forecast,19,4149.61,16,5631.15
288,2021-01,1053,8,Rolling Forecast,86,39995.29,112,38141.91
289,2021-01,1054,1,Rolling Forecast,53,14770.51,51,20059.36
290,2021-01,1054,2,Rolling Forecast,21,10875.9,20,8790.1
291,2021-01,1054,3,Rolling Forecast,96,36840.17,90,33950.549999999996
292,2021-01,1054,5,Rolling Forecast,207,64531.44,169,67467.77
293,2021-01,1054,6,Rolling Forecast,129,44261.3,125,55802.18
294,2021-01,1054,7,Rolling Forecast,13,4920.81,12,4759.85
295,2021-01,1054,9,Budget,74,27685.51,76,29724.21
296,2021-01,1054,10,Rolling Forecast,148,77778.73,172,74019.76
297,2021-01,1055,1,Rolling Forecast,98,45685.83,114,40703.69
298,2021-01,1055,2,Rolling Forecast,22,10829.18,30,11962.09
299,2021-01,1055,6,Rolling Forecast,62,28739.26,68,29024.5
300,2021-01,1055,8,Rolling Forecast,91,28982.83,89,35132.09
301,2021-01,1055,9,Budget,187,51690.53,161,57623.79
302,2021-01,1056,2,Rolling Forecast,14,6704.51,14,5757.32
303,2021-01,1056,3,Budget,106,36242.66,112,42466.72
304,2021-01,1056,4,Rolling Forecast,168,69237.42,170,63777.15
305,2021-01,1056,5,Latest Estimate,38,13437.49,35,13137.52
306,2021-01,1056,6,Latest Estimate,26,11084.24,26,10317.09
307,2021-01,1056,8,Budget,99,43321.54,110,42334.72
308,2021-01,1056,9,Rolling Forecast,52,19444.18,64,22272.79
309,2021-01,1056,10,Budget,124,35129.08,97,32978.99
310,2021-01,1057,1,Budget,57,20961.23,56,20463.09
311,2021-01,1057,2,Rolling Forecast,74,20192.4,84,31152.97
312,2021-01,1057,3,Budget,50,14596.72,52,19799.06
313,2021-01,1057,4,Budget,42,13344.45,48,17475.86
314,2021-01,1057,5,Budget,380,79228.92,368,125101.43
315,2021-01,1057,6,Rolling Forecast,28,12640.76,33,13496.97
316,2021-01,1057,9,Budget,35,11016.58,45,15562.12
317,2021-01,1057,10,Rolling Forecast,8,3724.88,10,3877.13
318,2021-01,1058,1,Rolling Forecast,124,84549.18,178,81614.33
319,2021-01,1058,2,Latest Estimate,27,14877.86,28,12384.560000000001
320,2021-01,1058,3,Rolling Forecast,54,35871.92,59,28645.11
321,2021-01,1058,4,Latest Estimate,83,37688.98,86,39058.28
322,2021-01,1058,6,Latest Estimate,47,23469.11,54,24597.02
323,2021-01,1058,7,Rolling Forecast,31,17609.97,38,18018.69
324,2021-01,1058,8,Budget,33,15047.74,37,15226.31
325,2021-01,1059,1,Rolling Forecast,26,7794.68,23,7942.34
326,2021-01,1059,2,Rolling Forecast,70,27011.63,64,20976.57
327,2021-01,1059,3,Budget,81,20223.11,81,31809.88
328,2021-01,1059,6,Rolling Forecast,70,32374.87,84,27643.8
329,2021-01,1059,7,Rolling Forecast,61,17504.38,54,19446.85
330,2021-01,1059,8,Rolling Forecast,63,26761.42,84,26995.51
331,2021-01,1059,9,Latest Estimate,31,14425.34,33,13510.14
332,2021-01,1059,10,Latest Estimate,33,15107.5,43,16220.51
333,2021-01,1060,1,Rolling Forecast,103,14194.83,92,13111.42
334,2021-01,1060,2,Budget,64,8330.24,55,7871.6
335,2021-01,1060,3,Latest Estimate,194,24661.76,180,24768.47
336,2021-01,1060,6,Latest Estimate,58,8806.14,62,9552.23
337,2021-01,1060,9,Rolling Forecast,13,1753.43,15,2206.58
338,2021-01,1060,10,Rolling Forecast,10,1046.52,9,1470.71
339,2021-01,1061,1,Rolling Forecast,13,1870.97,15,2011.5
340,2021-01,1061,3,Budget,49,6376.96,50,5049.51
341,2021-01,1061,6,Latest Estimate,58,5492.32,72,7639.55
342,2021-01,1061,7,Latest Estimate,63,7470.77,70,8348.6
343,2021-01,1061,9,Rolling Forecast,79,7707.24,76,9028.77
344,2021-01,1062,2,Latest Estimate,129,20795.23,118,24109.91
345,2021-01,1062,5,Rolling Forecast,44,8111.12,41,8406.51
346,2021-01,1062,6,Budget,28,4907.68,32,5864.91
347,2021-01,1063,1,Latest Estimate,33,5468.57,37,6406.51
348,2021-01,1063,2,Rolling Forecast,4,931.36,4,756.34
349,2021-01,1063,3,Rolling Forecast,26,5123.2,30,4753.03
350,2021-01,1063,4,Budget,44,6006.1,47,6272.51
351,2021-01,1063,6,Budget,19,3498.0,20,3370.0
352,2021-01,1063,8,Rolling Forecast,27,4267.04,29,4756.98
353,2021-01,1063,10,Rolling Forecast,57,11320.12,58,9490.7
354,2021-01,1064,1,Latest Estimate,81,17246.98,93,18328.22
355,2021-01,1064,2,Rolling Forecast,3,634.44,3,568.06
356,2021-01,1064,4,Rolling Forecast,25,6475.94,29,5426.81
357,2021-01,1064,5,Latest Estimate,59,13564.62,68,12916.23
358,2021-01,1064,6,Budget,72,13187.58,74,13946.79
359,2021-01,1064,8,Latest Estimate,100,20400.5,97,17746.79
360,2021-01,1064,9,Budget,37,7274.95,45,7719.25
361,2021-01,1065,1,Rolling Forecast,21,2909.49,27,3460.67
362,2021-01,1065,2,Budget,58,6695.33,58,7104.94
363,2021-01,1065,4,Rolling Forecast,96,8916.42,82,10464.33
364,2021-01,1065,6,Budget,62,13089.15,86,11135.82
365,2021-01,1065,7,Rolling Forecast,60,9023.27,58,7646.2
366,2021-01,1065,9,Rolling Forecast,107,14062.42,94,12420.36
367,2021-01,1065,10,Rolling Forecast,95,16267.73,105,14596.01
368,2021-01,1066,1,Rolling Forecast,80,12856.35,72,9367.380000000001
369,2021-01,1066,2,Latest Estimate,11,2557.25,15,2151.59
370,2021-01,1066,5,Latest Estimate,16,3388.35,17,2517.6
371,2021-01,1066,6,Rolling Forecast,34,5138.87,34,5417.35
372,2021-01,1066,9,Rolling Forecast,55,8362.83,60,9073.12
373,2021-01,1067,1,Latest Estimate,108,18950.38,143,24136.95
374,2021-01,1067,3,Latest Estimate,83,18323.52,114,18961.41
375,2021-01,1067,8,Budget,14,3036.65,17,2868.91
376,2021-01,1067,9,Rolling Forecast,4,689.44,4,711.93
377,2021-01,1067,10,Budget,21,2991.04,19,3322.4
378,2021-01,1068,1,Budget,8,2041.64,9,1481.12
379,2021-01,1068,5,Latest Estimate,24,2847.48,23,3545.03
380,2021-01,1068,6,Rolling Forecast,11,1649.38,12,1755.63
381,2021-01,1068,8,Rolling Forecast,33,4880.03,35,5217.64
382,2021-01,1069,1,Rolling Forecast,157,25812.96,185,27020.79
383,2021-01,1069,4,Rolling Forecast,124,18307.7,141,20447.47
384,2021-01,1069,5,Rolling Forecast,19,3248.87,20,3479.52
385,2021-01,1069,6,Budget,41,8951.13,54,8268.37
386,2021-01,1069,9,Rolling Forecast,28,5032.46,28,5066.51
387,2021-01,1070,1,Rolling Forecast,62,9784.24,78,10473.75
388,2021-01,1070,3,Latest Estimate,20,3747.42,28,3580.05
389,2021-01,1070,5,Rolling Forecast,219,28276.41,215,30246.81
390,2021-01,1070,6,Budget,278,65848.2,416,56554.39
391,2021-01,1070,8,Rolling Forecast,25,3575.78,29,3331.62
392,2021-01,1071,3,Latest Estimate,19,3482.86,22,3160.44
393,2021-01,1071,9,Latest Estimate,32,5217.71,35,4701.93
394,2021-01,1072,1,Rolling Forecast,31,5455.99,31,5270.41
395,2021-01,1072,2,Rolling Forecast,71,8159.95,61,9270.41
396,2021-01,1072,3,Latest Estimate,29,5810.65,27,4798.88
397,2021-01,1072,6,Rolling Forecast,41,10163.78,47,7416.0
398,2021-01,1072,7,Rolling Forecast,8,1444.29,9,1627.86
399,2021-01,1072,10,Latest Estimate,85,11273.39,87,12616.77
400,2021-01,1073,1,Rolling Forecast,37,4893.52,43,5696.38
401,2021-01,1073,2,Latest Estimate,3,492.84,3,454.9
402,2021-01,1073,3,Budget,26,4637.54,34,4618.72
403,2021-01,1073,5,Latest Estimate,25,3439.28,28,3896.53
404,2021-01,1073,6,Rolling Forecast,45,7909.84,47,7134.389999999999
405,2021-01,1074,1,Latest Estimate,107,11608.73,114,10452.439999999999
406,2021-01,1074,5,Latest Estimate,96,9423.65,100,10352.09
407,2021-01,1074,6,Rolling Forecast,39,3932.81,39,3880.2599999999998
408,2021-01,1074,7,Latest Estimate,16,1645.24,15,1574.1399999999999
409,2021-01,1074,10,Rolling Forecast,17,1727.64,18,1738.99
410,2021-01,1075,1,Latest Estimate,241,25852.5,219,32793.12
