sales_id,order_id,date_id,date,year_month,customer_id,product_id,region_id,sales_rep_id,units,asp_eur,discount_pct,revenue_eur,revenue_local_currency,currency,unit_cost_eur,gross_profit_eur,gross_margin_pct,is_outlier_order
18,ORD-00000018,20221121,2022-11-21,2022-11,112,1019,8,51.0,31,824.02,0.174,25544.57,25544.57,EUR,679.05,4494.07,0.1759,False
19,ORD-00000019,20220609,2022-06-09,2022-06,82,1189,3,33.0,26,247.21,0.111,6427.39,6427.39,EUR,99.28,3846.23,0.5984,False
20,ORD-00000020,20240114,2024-01-14,2024-01,1178,1050,7,21.0,19,518.6,0.138,9853.34,14490.21,CAD,391.81,2408.97,0.2445,False
21,ORD-00000021,20210515,2021-05-15,2021-05,701,1180,6,24.0,36,214.88,0.161,7735.71,8408.38,USD,123.01,3307.47,0.4276,False
22,ORD-00000022,20220711,2022-07-11,2022-07,350,1106,4,72.0,38,1239.41,0.13,47097.65,47097.65,EUR,780.5,17438.47,0.3703,False
23,ORD-00000023,20210407,2021-04-07,2021-04,752,1072,10,15.0,26,160.6,0.165,4175.53,673472.58,JPY,96.94,1655.21,0.3964,False
24,ORD-00000024,20240519,2024-05-19,2024-05,1020,1022,4,84.0,25,664.36,0.107,16609.12,16609.12,EUR,511.37,3824.83,0.2303,False
25,ORD-00000025,20240107,2024-01-07,2024-01,496,1075,3,21.0,61,171.37,0.1,10453.55,10453.55,EUR,120.09,3128.07,0.2992,False
26,ORD-00000026,20221118,2022-11-18,2022-11,972,1030,1,65.0,6,686.82,0.013,4120.89,4120.89,EUR,498.66,1128.95,0.274,False
27,ORD-00000027,20211112,2021-11-12,2021-11,819,1064,8,85.0,1,205.85,0.062,205.85,205.85,EUR,110.9,94.95,0.4613,False
28,ORD-00000028,20251106,2025-11-06,2025-11,338,1058,1,12.0,97,482.88,0.187,46839.28,46839.28,EUR,414.15,6666.53,0.1423,False
29,ORD-00000029,20240206,2024-02-06,2024-02,468,1109,5,19.0,27,1258.67,0.129,33984.02,29046.17,GBP,783.69,12824.4,0.3774,False
30,ORD-00000030,20240731,2024-07-31,2024-07,867,1170,8,60.0,46,62.05,0.207,2854.08,2854.08,EUR,60.37,77.1,0.027,False
31,ORD-00000031,20231113,2023-11-13,2023-11,1066,1054,1,26.0,21,461.5,0.106,9691.52,9691.52,EUR,366.23,2000.72,0.2064,False
32,ORD-00000032,20250221,2025-02-21,2025-02,30,1004,7,12.0,14,846.98,0.084,11857.74,17437.85,CAD,619.7,3181.99,0.2683,False
33,ORD-00000033,20250730,2025-07-30,2025-07,572,1156,2,22.0,63,415.57,0.26,26180.67,26180.67,EUR,503.04,-5510.97,-0.2105,False
34,ORD-00000034,20230203,2023-02-03,2023-02,463,1087,2,29.0,21,484.16,0.172,10167.3,10167.3,EUR,355.63,2698.99,0.2655,False
35,ORD-00000035,20240824,2024-08-24,2024-08,978,1026,6,41.0,42,453.93,0.263,19064.86,20722.67,USD,493.36,-1656.32,-0.0869,False
36,ORD-00000036,20220417,2022-04-17,2022-04,941,1082,3,3.0,17,823.99,0.057,14007.84,14007.84,EUR,605.52,3713.92,0.2651,False
37,ORD-00000037,20240606,2024-06-06,2024-06,1110,1095,5,56.0,21,501.28,0.152,10526.97,8997.41,GBP,321.55,3774.5,0.3586,False
38,ORD-00000038,20230306,2023-03-06,2023-03,828,1112,1,85.0,32,1349.68,0.192,43189.87,43189.87,EUR,942.63,13025.74,0.3016,False
39,ORD-00000039,20210115,2021-01-15,2021-01,1156,1064,1,55.0,57,203.78,0.111,11615.72,11615.72,EUR,113.15,5165.92,0.4447,False
40,ORD-00000040,20251103,2025-11-03,2025-11,1200,1020,5,28.0,26,557.61,0.076,14497.91,12391.38,GBP,485.54,1873.75,0.1292,False
41,ORD-00000041,20250607,2025-06-07,2025-06,759,1029,2,65.0,53,571.19,0.151,30273.03,30273.03,EUR,455.97,6106.67,0.2017,False
42,ORD-00000042,20220830,2022-08-30,2022-08,53,1079,8,51.0,32,165.81,0.124,5305.8,5305.8,EUR,98.54,2152.45,0.4057,False
43,ORD-00000043,20251229,2025-12-29,2025-12,343,1172,5,50.0,30,53.23,0.084,1596.94,1364.91,GBP,49.87,100.83,0.0631,False
44,ORD-00000044,20221017,2022-10-17,2022-10,338,1055,1,17.0,80,372.37,0.21,29789.58,29789.58,EUR,335.89,2918.42,0.098,False
45,ORD-00000045,20230629,2023-06-29,2023-06,939,1021,6,55.0,39,681.2,0.047,26566.86,28877.02,USD,529.45,5918.26,0.2228,False
46,ORD-00000046,20250508,2025-05-08,2025-05,850,1112,5,3.0,6,1565.41,0.088,9392.48,8027.76,GBP,991.41,3444.01,0.3667,False
47,ORD-00000047,20220927,2022-09-27,2022-09,303,1170,1,29.0,26,62.91,0.163,1635.63,1635.63,EUR,59.92,77.64,0.0475,False
48,ORD-00000048,20230613,2023-06-13,2023-06,223,1114,9,11.0,76,1302.42,0.136,98984.06,430365.48,PLN,914.84,29456.33,0.2976,False
49,ORD-00000049,20240701,2024-07-01,2024-07,395,1077,8,82.0,24,139.28,0.154,3342.83,3342.83,EUR,94.04,1085.95,0.3249,False
50,ORD-00000050,20211015,2021-10-15,2021-10,243,1177,3,55.0,14,40.26,0.089,563.62,563.62,EUR,38.98,17.96,0.0319,False
51,ORD-00000051,20230420,2023-04-20,2023-04,1171,1135,3,75.0,19,73.72,0.169,1400.77,1400.77,EUR,55.94,337.99,0.2413,False
52,ORD-00000052,20221005,2022-10-05,2022-10,173,1011,6,21.0,73,824.62,0.204,60197.06,65431.59,USD,700.34,9072.2,,False
53,ORD-00000053,20240726,2024-07-26,2024-07,592,1101,2,59.0,29,1161.84,0.189,33693.49,33693.49,EUR,936.84,6525.03,0.1937,False
54,ORD-00000054,20211024,2021-10-24,2021-10,678,1142,1,59.0,35,534.34,0.213,18701.82,18701.82,EUR,557.63,-815.4,-0.0436,False
55,ORD-00000055,20220423,2022-04-23,2022-04,899,1084,1,55.0,56,560.67,0.06,31397.37,31397.37,EUR,398.83,9063.05,0.2887,False
56,ORD-00000056,20241002,2024-10-02,2024-10,558,1091,10,81.0,50,821.47,0.113,41073.5,6624758.06,JPY,491.63,16491.77,0.4015,False
57,ORD-00000057,20211127,2021-11-27,2021-11,575,1035,6,11.0,6,536.44,0.136,3218.66,3498.54,USD,455.73,484.28,0.1505,False
58,ORD-00000058,20230419,2023-04-19,2023-04,1063,1031,6,24.0,89,636.15,0.114,56617.65,61540.92,USD,457.73,15879.43,0.2805,False
59,ORD-00000059,20241005,2024-10-05,2024-10,678,1154,1,9.0,93,622.38,0.14,57881.67,57881.67,EUR,584.18,3553.15,0.0614,False
60,ORD-00000060,20241217,2024-12-17,2024-12,572,1031,2,48.0,67,507.21,0.266,33983.23,33983.23,EUR,475.15,2148.06,0.0632,False
61,ORD-00000061,20210729,2021-07-29,2021-07,1086,1014,9,20.0,79,965.6,0.252,76282.75,331664.13,PLN,853.64,8845.0,0.116,False
62,ORD-00000062,20250510,2025-05-10,2025-05,924,1172,6,43.0,47,50.5,0.11,2373.27,2579.64,USD,46.51,187.39,0.079,False
63,ORD-00000063,20241020,2024-10-20,2024-10,149,1114,8,73.0,122,1181.35,0.245,144124.21,144124.21,EUR,1062.6,14487.01,0.1005,False
64,ORD-00000064,20221121,2022-11-21,2022-11,67,1016,5,62.0,7,1065.77,0.067,7460.4,6376.41,GBP,800.12,1859.56,0.2493,False
65,ORD-00000065,20241214,2024-12-14,2024-12,918,1084,1,85.0,18,611.68,0.013,11010.24,11010.24,EUR,423.75,3382.81,0.3072,False
66,ORD-00000066,20241026,2024-10-26,2024-10,537,1001,5,68.0,22,828.36,0.049,18223.89,15575.97,GBP,553.09,6055.95,0.3323,False
67,ORD-00000067,20240306,2024-03-06,2024-03,965,1075,3,59.0,2,195.05,0.03,390.1,390.1,EUR,114.73,160.63,0.4118,False
68,ORD-00000068,20231223,2023-12-23,2023-12,1038,1012,2,47.0,62,940.91,0.158,58336.29,58336.29,EUR,699.78,14949.77,0.2563,False
69,ORD-00000069,20241104,2024-11-04,2024-11,872,1182,4,44.0,51,257.5,0.167,13132.32,13132.32,EUR,88.73,8607.23,0.6554,False
70,ORD-00000070,20251231,2025-12-31,2025-12,711,1070,2,68.0,38,151.74,0.149,5766.12,5766.12,EUR,83.51,2592.63,0.4496,False
71,ORD-00000071,20240126,2024-01-26,2024-01,1138,1174,8,7.0,22,56.43,0.089,1241.37,1241.37,EUR,45.48,240.86,0.194,False
72,ORD-00000072,20250225,2025-02-25,2025-02,711,1068,2,83.0,28,163.46,0.15,4576.82,4576.82,EUR,116.43,1316.66,0.2877,False
73,ORD-00000073,20241117,2024-11-17,2024-11,1171,1170,3,8.0,13,66.24,0.127,861.12,861.12,EUR,61.21,65.33,0.0759,False
74,ORD-00000074,20250516,2025-05-16,2025-05,1077,1059,9,74.0,28,471.41,0.129,13199.53,57389.26,PLN,340.38,3668.98,0.278,False
75,ORD-00000075,20251102,2025-11-02,2025-11,562,1196,2,35.0,21,203.11,0.055,4265.38,4265.38,EUR,81.12,2561.95,0.6006,False
76,ORD-00000076,20220202,2022-02-02,2022-02,120,1002,2,31.0,18,785.44,0.079,14137.98,14137.98,EUR,550.15,4235.21,0.2996,False
77,ORD-00000077,20211212,2021-12-12,2021-12,497,1097,6,71.0,7,583.56,0.06,4084.94,4440.15,USD,399.11,1291.16,0.3161,False
78,ORD-00000078,20240209,2024-02-09,2024-02,872,1168,4,36.0,56,54.43,0.189,3047.84,3047.84,EUR,46.88,422.78,0.1387,False
79,ORD-00000079,20230610,2023-06-10,2023-06,409,1066,5,9.0,73,154.75,0.17,11296.94,9655.5,GBP,94.28,4414.49,0.3908,False
80,ORD-00000080,20240112,2024-01-12,2024-01,584,1096,3,30.0,88,949.55,0.131,83560.63,83560.63,EUR,690.32,22812.81,0.273,False
81,ORD-00000081,20250207,2025-02-07,2025-02,551,1081,1,26.0,21,714.23,0.11,14998.73,14998.73,EUR,448.23,5585.84,0.3724,False
82,ORD-00000082,20251003,2025-10-03,2025-10,2,1182,5,41.0,19,278.07,0.052,5283.27,4515.62,GBP,90.84,3557.26,0.6733,False
83,ORD-00000083,20230410,2023-04-10,2023-04,763,1150,5,10.0,37,611.19,0.216,22613.97,19328.18,GBP,667.56,-2085.8,-0.0922,False
84,ORD-00000084,20241012,2024-10-12,2024-10,438,1107,6,58.0,18,1252.37,0.049,22542.61,24502.84,USD,1014.96,4273.29,0.1896,False
85,ORD-00000085,20220209,2022-02-09,2022-02,1078,1171,2,19.0,5,51.54,0.036,257.68,257.68,EUR,40.4,55.67,0.216,False
86,ORD-00000086,20231117,2023-11-17,2023-11,149,1016,8,79.0,87,931.04,0.18,81000.74,81000.74,EUR,842.0,7746.64,0.0956,False
87,ORD-00000087,20210216,2021-02-16,2021-02,881,1090,8,31.0,3,719.51,0.025,2158.53,2158.53,EUR,494.48,675.1,0.3128,False
88,ORD-00000088,20231003,2023-10-03,2023-10,689,1158,1,22.0,27,759.81,0.073,20514.9,20514.9,EUR,725.56,924.75,0.0451,False
89,ORD-00000089,20231203,2023-12-03,2023-12,1004,1076,1,68.0,13,143.05,0.102,1859.6,1859.6,EUR,72.06,922.84,0.4963,False
90,ORD-00000090,20241105,2024-11-05,2024-11,468,1189,5,84.0,61,244.79,0.149,14932.01,12762.4,GBP,110.54,8189.32,0.5484,False
91,ORD-00000091,20240602,2024-06-02,2024-06,186,1121,1,48.0,29,79.98,0.146,2319.46,2319.46,EUR,51.62,822.63,0.3547,False
92,ORD-00000092,20221221,2022-12-21,2022-12,301,1031,1,22.0,56,468.3,0.239,26225.05,26225.05,EUR,473.04,-265.29,-0.0101,False
93,ORD-00000093,20210113,2021-01-13,2021-01,663,1095,5,78.0,6,544.08,0.013,3264.5,2790.17,GBP,286.52,1545.39,0.4734,False
94,ORD-00000094,20210917,2021-09-17,2021-09,563,1085,1,46.0,43,717.74,0.127,30863.0,30863.0,EUR,443.31,11800.51,0.3824,False
95,ORD-00000095,20251126,2025-11-26,2025-11,87,1001,10,77.0,11,959.59,,10555.51,1702501.61,JPY,597.42,3983.88,0.3774,False
96,ORD-00000096,20250918,2025-09-18,2025-09,583,1048,2,51.0,16,583.28,0.084,9332.5,9332.5,EUR,450.0,2132.47,0.2285,False
97,ORD-00000097,20221030,2022-10-30,2022-10,295,1033,10,75.0,67,457.74,0.222,30668.48,4946529.03,JPY,489.21,-2108.63,-0.0688,False
98,ORD-00000098,20220615,2022-06-15,2022-06,711,1166,2,35.0,19,66.1,0.095,1255.92,1255.92,EUR,48.75,329.6,0.2624,False
99,ORD-00000099,20230517,2023-05-17,2023-05,780,1109,1,7.0,1,1330.53,0.048,1330.53,1330.53,EUR,784.09,546.44,0.4107,False
100,ORD-00000100,20240824,2024-08-24,2024-08,199,1022,5,50.0,92,666.95,0.153,61359.61,52444.11,GBP,516.44,13847.23,0.2257,False
101,ORD-00000101,20221218,2022-12-18,2022-12,541,1153,3,28.0,16,711.14,0.059,11378.28,11378.28,EUR,542.44,2699.31,0.2372,False
102,ORD-00000102,20210525,2021-05-25,2021-05,35,1046,3,81.0,89,467.08,0.22,41570.54,41570.54,EUR,378.79,7857.91,0.189,False
103,ORD-00000103,20230313,2023-03-13,2023-03,944,1099,5,81.0,55,697.58,0.18,38367.1,32792.39,GBP,505.9,10542.56,0.2748,False
104,ORD-00000104,20220619,2022-06-19,2022-06,149,1028,8,10.0,53,408.22,0.232,21635.43,21635.43,EUR,364.9,2295.92,0.1061,False
105,ORD-00000105,20221030,2022-10-30,2022-10,579,1169,2,49.0,64,37.68,0.193,2411.52,2411.52,EUR,40.32,-169.11,-0.0701,False
106,ORD-00000106,20211208,2021-12-08,2021-12,763,1046,5,53.0,46,437.29,0.167,20115.24,17192.51,GBP,376.28,2806.34,0.1395,False
107,ORD-00000107,20240619,2024-06-19,2024-06,649,1062,1,20.0,5,214.17,0.034,1070.87,1070.87,EUR,103.68,552.48,0.5159,False
108,ORD-00000108,20231106,2023-11-06,2023-11,1063,1123,6,27.0,80,65.29,0.219,5223.15,5677.34,USD,54.17,889.59,0.1703,False
109,ORD-00000109,20220711,2022-07-11,2022-07,893,1067,4,57.0,33,198.62,0.014,6554.4,6554.4,EUR,112.01,2858.13,0.4361,False
110,ORD-00000110,20231216,2023-12-16,2023-12,52,1011,2,26.0,6,1031.03,0.04,6186.17,6186.17,EUR,645.82,2311.25,0.3736,False
111,ORD-00000111,20230913,2023-09-13,2023-09,691,1055,6,75.0,8,425.52,0.052,3404.16,3700.17,USD,318.45,856.53,0.2516,False
112,ORD-00000112,20250203,2025-02-03,2025-02,411,1109,6,22.0,94,1197.17,0.223,112533.89,122319.45,USD,786.24,38627.67,0.3433,False
113,ORD-00000113,20251104,2025-11-04,2025-11,466,1123,6,70.0,34,69.8,0.177,2373.11,2579.47,USD,54.42,522.67,0.2202,False
114,ORD-00000114,20211015,2021-10-15,2021-10,326,1138,6,67.0,11,71.74,0.059,789.09,857.71,USD,57.38,157.91,0.2001,False
115,ORD-00000115,20250704,2025-07-04,2025-07,724,1047,2,85.0,54,513.86,0.184,27748.49,27748.49,EUR,338.25,9483.23,0.3418,False
116,ORD-00000116,20240921,2024-09-21,2024-09,1049,1195,4,48.0,9,208.79,0.081,1879.1,1879.1,EUR,111.21,878.21,0.4674,False
117,ORD-00000117,20240830,2024-08-30,2024-08,697,1018,1,80.0,39,976.26,0.185,38074.23,38074.23,EUR,766.31,8188.02,0.2151,False
118,ORD-00000118,20230118,2023-01-18,2023-01,253,1092,2,64.0,25,891.02,0.097,22275.48,22275.48,EUR,652.65,5959.3,0.2675,False
119,ORD-00000119,20221128,2022-11-28,2022-11,70,1067,1,45.0,90,149.95,0.221,13495.69,13495.69,EUR,110.04,3591.68,0.2661,False
120,ORD-00000120,20210113,2021-01-13,2021-01,296,1052,2,21.0,21,335.57,0.147,7046.99,7046.99,EUR,266.57,1448.95,0.2056,False
121,ORD-00000121,20251208,2025-12-08,2025-12,812,1175,2,83.0,5,67.04,0.085,335.18,335.18,EUR,51.7,76.69,0.2288,False
122,ORD-00000122,20240316,2024-03-16,2024-03,1035,1129,4,39.0,24,77.36,0.012,1856.59,1856.59,EUR,51.29,625.68,0.337,False
123,ORD-00000123,20230313,2023-03-13,2023-03,1103,1096,4,26.0,9,992.59,0.022,8933.32,8933.32,EUR,726.49,2394.87,0.2681,False
124,ORD-00000124,20231201,2023-12-01,2023-12,1086,1078,9,45.0,54,224.1,0.197,12101.2,52613.91,PLN,121.72,5528.5,0.4569,False
125,ORD-00000125,20210329,2021-03-29,2021-03,1124,1130,2,3.0,64,69.43,0.213,4443.79,4443.79,EUR,63.85,357.71,0.0805,False
126,ORD-00000126,20211225,2021-12-25,2021-12,756,1189,2,3.0,21,238.84,0.135,5015.54,5015.54,EUR,96.89,2980.96,0.5943,False
127,ORD-00000127,20240416,2024-04-16,2024-04,146,1120,7,66.0,58,86.74,0.162,5030.93,7398.43,CAD,74.88,688.02,0.1368,False
128,ORD-00000128,20231019,2023-10-19,2023-10,186,1034,1,8.0,46,571.12,0.155,26271.71,26271.71,EUR,484.96,3963.48,0.1509,False
129,ORD-00000129,20250119,2025-01-19,2025-01,689,1114,1,44.0,63,1415.91,0.171,89202.63,89202.63,EUR,967.79,28232.0,0.3165,False
130,ORD-00000130,20240619,2024-06-19,2024-06,125,1171,3,33.0,46,49.24,0.169,2265.04,2265.04,EUR,42.68,301.93,0.1333,False
131,ORD-00000131,20240307,2024-03-07,2024-03,766,1113,8,69.0,51,1668.09,0.113,85072.67,85072.67,EUR,1303.98,18569.87,0.2183,False
132,ORD-00000132,20250308,2025-03-08,2025-03,836,1109,1,2.0,54,1208.54,0.163,65261.03,65261.03,EUR,880.02,17739.72,0.2718,False
133,ORD-00000133,20210527,2021-05-27,2021-05,172,1176,6,32.0,8,65.2,0.055,521.61,566.97,USD,51.26,111.5,0.2138,False
134,ORD-00000134,20240826,2024-08-26,2024-08,920,1061,1,33.0,4,146.32,0.044,585.3,585.3,EUR,64.78,326.18,0.5573,False
135,ORD-00000135,20241008,2024-10-08,2024-10,535,1173,9,35.0,98,40.32,0.282,3951.09,17178.65,PLN,41.22,-88.5,-0.0224,False
136,ORD-00000136,20220722,2022-07-22,2022-07,94,1170,8,15.0,11,69.25,0.058,761.7,761.7,EUR,56.54,139.81,0.1835,False
137,ORD-00000137,20220207,2022-02-07,2022-02,403,1007,4,1.0,17,1024.96,0.085,17424.38,17424.38,EUR,660.88,6189.48,0.3552,False
138,ORD-00000138,20220316,2022-03-16,2022-03,1162,1181,4,49.0,6,216.61,0.085,1299.68,1299.68,EUR,84.98,789.79,0.6077,False
139,ORD-00000139,20220212,2022-02-12,2022-02,1035,1174,4,56.0,20,58.9,0.027,1177.94,1177.94,EUR,38.98,398.44,0.3382,False
140,ORD-00000140,20231102,2023-11-02,2023-11,969,1060,1,31.0,18,161.86,0.103,2913.39,2913.39,EUR,107.38,980.64,0.3366,False
141,ORD-00000141,20211024,2021-10-24,2021-10,976,1060,1,41.0,40,125.86,0.266,5034.58,5034.58,EUR,101.81,962.18,0.1911,False
142,ORD-00000142,20240620,2024-06-20,2024-06,583,1137,2,65.0,24,62.6,0.1,1502.33,1502.33,EUR,51.59,264.06,0.1758,False
143,ORD-00000143,20210824,2021-08-24,2021-08,663,1058,5,23.0,16,422.62,0.162,6761.9,5779.4,GBP,371.06,824.98,0.122,False
144,ORD-00000144,20210227,2021-02-27,2021-02,1075,1058,4,32.0,27,453.7,0.128,12250.0,12250.0,EUR,382.95,1910.42,0.156,False
145,ORD-00000145,20221021,2022-10-21,2022-10,89,1133,6,22.0,4,106.55,0.086,426.2,463.26,USD,76.87,118.73,0.2786,False
146,ORD-00000146,20220130,2022-01-30,2022-01,459,1048,6,31.0,99,526.66,0.146,52139.21,56673.05,USD,424.39,10124.32,0.1942,False
147,ORD-00000147,20251217,2025-12-17,2025-12,82,1119,3,53.0,15,1326.16,0.159,19892.33,19892.33,EUR,1264.75,921.15,0.0463,False
148,ORD-00000148,20220924,2022-09-24,2022-09,408,1057,4,61.0,33,410.6,0.113,13549.95,13549.95,EUR,336.93,2431.36,0.1794,False
149,ORD-00000149,20220401,2022-04-01,2022-04,268,1001,5,1.0,23,727.14,0.133,16724.17,14294.16,GBP,566.79,3688.02,0.2205,False
150,ORD-00000150,20220209,2022-02-09,2022-02,673,1071,6,55.0,24,157.06,0.047,3769.32,4097.09,USD,68.44,2126.85,0.5643,False
151,ORD-00000151,20230117,2023-01-17,2023-01,850,1085,5,4.0,7,900.01,0.036,6300.1,5384.7,GBP,470.25,3008.35,0.4775,False
152,ORD-00000152,20240315,2024-03-15,2024-03,634,1021,1,33.0,49,566.59,0.256,27762.75,27762.75,EUR,571.97,-263.77,-0.0095,False
153,ORD-00000153,20250110,2025-01-10,2025-01,979,1096,10,40.0,74,919.78,0.222,68063.96,10978058.06,JPY,721.96,14639.21,0.2151,False
154,ORD-00000154,20221230,2022-12-30,2022-12,285,1067,6,5.0,5,170.89,0.118,854.45,928.75,USD,104.02,334.33,0.3913,False
155,ORD-00000155,20240421,2024-04-21,2024-04,1004,1143,1,21.0,16,787.55,0.037,12600.85,12600.85,EUR,709.19,1253.8,0.0995,False
156,ORD-00000156,20230822,2023-08-22,2023-08,922,1116,6,14.0,72,1457.15,0.126,104915.09,114038.14,USD,1075.34,27490.45,0.262,False
157,ORD-00000157,20250430,2025-04-30,2025-04,8,1118,10,7.0,29,1427.33,0.119,41392.64,6676232.26,JPY,858.17,16505.62,0.3988,False
158,ORD-00000158,20240109,2024-01-09,2024-01,1019,1114,6,13.0,16,1254.01,0.202,20064.19,21808.9,USD,903.92,5601.48,0.2792,False
159,ORD-00000159,20220827,2022-08-27,2022-08,1056,1034,2,43.0,18,666.12,0.044,11990.11,11990.11,EUR,468.47,3557.58,0.2967,False
160,ORD-00000160,20240919,2024-09-19,2024-09,495,1125,3,49.0,4,89.96,0.007,359.83,359.83,EUR,56.07,135.56,0.3767,False
161,ORD-00000161,20250316,2025-03-16,2025-03,451,1181,4,17.0,28,217.04,0.175,6077.09,6077.09,EUR,92.3,3492.7,0.5747,False
162,ORD-00000162,20230714,2023-07-14,2023-07,601,1130,2,56.0,6,86.65,0.017,519.89,519.89,EUR,64.89,130.56,0.2511,False
163,ORD-00000163,20251215,2025-12-15,2025-12,305,1100,8,82.0,17,1419.84,0.1,24137.27,24137.27,EUR,1077.72,5816.01,0.241,False
164,ORD-00000164,20250625,2025-06-25,2025-06,891,1135,6,78.0,62,77.32,0.192,4793.96,5210.83,USD,60.54,1040.29,0.217,False
165,ORD-00000165,20220209,2022-02-09,2022-02,678,1102,1,53.0,75,1288.5,0.117,96637.13,96637.13,EUR,889.85,29898.73,0.3094,False
166,ORD-00000166,20250119,2025-01-19,2025-01,118,1016,3,23.0,17,1209.57,0.045,20562.71,20562.71,EUR,867.33,5818.16,0.2829,False
167,ORD-00000167,20240306,2024-03-06,2024-03,1032,1118,1,34.0,24,1351.09,0.128,32426.28,32426.28,EUR,925.42,10216.23,0.3151,False
168,ORD-00000168,20231118,2023-11-18,2023-11,387,1118,7,46.0,11,1441.55,0.087,15857.03,23319.16,CAD,863.06,6363.33,0.4013,False
169,ORD-00000169,20231018,2023-10-18,2023-10,305,1058,8,71.0,21,523.12,0.081,10985.56,10985.56,EUR,385.36,2893.08,0.2634,False
170,ORD-00000170,20250512,2025-05-12,2025-05,930,1085,1,54.0,20,842.33,0.047,16846.52,16846.52,EUR,488.82,7070.08,0.4197,False
171,ORD-00000171,20240324,2024-03-24,2024-03,592,1184,2,1.0,54,169.44,0.198,9149.58,9149.58,EUR,70.07,5365.82,0.5865,False
172,ORD-00000172,20231122,2023-11-22,2023-11,1121,1173,6,19.0,14,56.56,0.055,791.77,860.62,USD,39.5,238.71,0.3015,False
173,ORD-00000173,20210416,2021-04-16,2021-04,301,1008,1,2.0,53,780.11,0.064,41345.81,41345.81,EUR,571.22,11071.29,0.2678,False
174,ORD-00000174,20230609,2023-06-09,2023-06,717,1136,5,59.0,13,75.78,0.103,985.18,842.03,GBP,49.89,336.66,0.3417,False
175,ORD-00000175,20250823,2025-08-23,2025-08,50,1046,9,38.0,53,488.96,0.236,25915.0,112673.91,PLN,404.75,4463.46,0.1722,False
176,ORD-00000176,20241003,2024-10-03,2024-10,1177,1079,2,24.0,39,178.86,0.09,6975.69,6975.69,EUR,101.76,3006.94,0.4311,False
177,ORD-00000177,20210420,2021-04-20,2021-04,12,1186,2,62.0,83,176.05,0.257,14611.78,14611.78,EUR,97.56,6514.49,0.4458,False
178,ORD-00000178,20250704,2025-07-04,2025-07,348,1190,6,26.0,7,254.91,0.043,1784.34,1939.5,USD,105.17,1048.13,0.5874,False
179,ORD-00000179,20250328,2025-03-28,2025-03,28,1102,1,51.0,52,1436.65,0.113,74705.67,74705.67,EUR,939.66,25843.43,0.3459,False
