customer_id;customer_code;customer_segment;industry;region_id;customer_since;customer_size_score;base_churn_probability
67;CUST-00067;Public Sector;Education;5;2021-11-13;5,132;0,048
68;CUST-00068;SMB;Education;2;2021-05-05;0,952;0,2
69;CUST-00069;SMB;Manufacturing;3;2021-09-09;0,742;0,2
70;CUST-00070;Enterprise;Manufacturing;1;2021-05-20;14,012;0,039
71;CUST-00071;Mid-Market;Healthcare;10;2023-07-04;2,57;0,071
72;CUST-00072;Mid-Market;Government;8;2023-11-30;0,909;0,056
73;CUST-00073;Mid-Market;Retail;6;2023-11-20;1,528;0,077
74;CUST-00074;SMB;Logistics;8;2021-07-10;0,797;0,11
75;CUST-00075;SMB;Manufacturing;5;2022-07-17;0,578;0,201
76;CUST-00076;Public Sector;Retail;5;2020-08-24;2,936;0,053
77;CUST-00077;Mid-Market;Logistics;5;2022-08-17;4,957;0,046
78;CUST-00078;Mid-Market;Logistics;9;2023-03-06;4,903;0,095
79;CUST-00079;SMB;Government;4;2023-06-14;1,511;0,132
80;CUST-00080;SMB;Logistics;2;2021-03-27;2,263;0,117
81;CUST-00081;Mid-Market;Manufacturing;4;2022-02-21;3,308;0,094
82;CUST-00082;Mid-Market;Healthcare;3;2021-01-01;12,276;0,06
83;CUST-00083;SMB;Government;2;2023-04-16;0,675;0,117
84;CUST-00084;Enterprise;Logistics;1;2021-11-20;4,145;0,04
85;CUST-00085;SMB;Technology;8;2022-11-03;1,538;0,11
86;CUST-00086;SMB;Government;3;2021-12-03;1,36;0,207
87;CUST-00087;Mid-Market;Technology;10;2021-05-04;3,671;0,068
88;CUST-00088;SMB;Retail;1;2022-09-08;1,405;0,117
89;CUST-00089;Public Sector;Retail;6;2022-05-16;1,792;0,05
90;CUST-00090;SMB;Government;9;2023-04-18;0,91;0,146
91;CUST-00091;SMB;Technology;5;2021-07-29;1,181;0,175
92;CUST-00092;Mid-Market;Retail;3;2020-04-15;9,112;0,055
93;CUST-00093;SMB;Manufacturing;3;2023-07-18;0,782;0,201
94;CUST-00094;Mid-Market;Government;8;2023-12-26;5,005;0,083
95;CUST-00095;Enterprise;Retail;9;2023-06-24;9,822;0,033
96;CUST-00096;Enterprise;Logistics;1;2023-11-04;9,772;0,02
97;CUST-00097;SMB;Technology;8;2020-12-25;1,549;0,105
98;CUST-00098;Public Sector;Government;3;2023-08-13;7,224;0,055
99;CUST-00099;Mid-Market;Education;1;2021-10-14;1,085;0,076
100;CUST-00100;Distributor;Education;10;2023-04-02;2,91;0,101
101;CUST-00101;Public Sector;Healthcare;3;2020-06-24;3,365;0,052
102;CUST-00102;SMB;Logistics;10;2022-12-30;1,97;0,151
103;CUST-00103;SMB;Education;1;2023-08-14;0,69;0,14
104;CUST-00104;Mid-Market;Healthcare;8;2020-04-09;4,304;0,071
105;CUST-00105;SMB;Logistics;1;2022-07-28;0,988;0,183
106;CUST-00106;Enterprise;Technology;4;2023-12-12;3,339;0,023
107;CUST-00107;Mid-Market;Healthcare;3;2020-10-05;5,668;0,068
108;CUST-00108;Public Sector;Healthcare;10;2021-01-02;3,446;0,067
109;CUST-00109;SMB;Technology;4;2020-07-19;1,273;0,172
110;CUST-00110;Distributor;Healthcare;10;2022-09-18;3,677;0,08
111;CUST-00111;Distributor;Government;1;2021-04-11;2,703;0,067
112;CUST-00112;Enterprise;Manufacturing;8;2023-11-06;6,505;0,041
113;CUST-00113;SMB;Technology;4;2023-04-04;1,655;0,228
114;CUST-00114;Mid-Market;Retail;2;2022-02-09;1,883;0,051
115;CUST-00115;Public Sector;Education;6;2022-03-22;3,787;0,066
116;CUST-00116;Distributor;Education;1;2023-10-16;7,468;0,098
117;CUST-00117;Distributor;Logistics;10;2021-10-18;1,136;0,091
118;CUST-00118;Mid-Market;Retail;3;2020-10-19;6,956;0,05
119;CUST-00119;SMB;Government;4;2020-10-17;2,254;0,109
120;CUST-00120;Mid-Market;Government;2;2021-02-27;4,875;0,074
121;CUST-00121;Distributor;Manufacturing;10;2020-03-01;4,602;0,07
122;CUST-00122;Enterprise;Technology;2;2020-08-10;9,209;0,032
123;CUST-00123;SMB;Education;2;2022-01-31;3,409;0,215
124;CUST-00124;Distributor;Healthcare;3;2020-06-17;18,744;0,09
125;CUST-00125;Distributor;Education;3;2021-05-03;4,902;0,072
126;CUST-00126;Mid-Market;Logistics;6;2020-09-18;5,508;0,058
127;CUST-00127;SMB;Government;1;2022-12-08;0,6;0,118
128;CUST-00128;SMB;Technology;5;2020-02-17;0,785;0,231
129;CUST-00129;SMB;Retail;4;2023-10-14;1,219;0,18
130;CUST-00130;Mid-Market;Healthcare;6;2022-07-05;12,578;0,072
131;CUST-00131;Distributor;Healthcare;4;2022-12-11;7,28;0,105
132;CUST-00132;Public Sector;Logistics;4;2021-11-15;8,502;0,058
133;CUST-00133;Mid-Market;Logistics;6;2023-03-13;2,35;0,066
134;CUST-00134;SMB;Technology;8;2021-07-07;0,493;0,163
135;CUST-00135;Mid-Market;Healthcare;7;2021-06-08;6,498;0,081
136;CUST-00136;SMB;Manufacturing;9;2023-01-03;3,167;0,226
137;CUST-00137;Mid-Market;Retail;2;2021-08-15;4,771;0,095
138;CUST-00138;SMB;Manufacturing;6;2023-06-08;1,621;0,165
139;CUST-00139;Mid-Market;Retail;2;2021-01-07;3,457;0,076
140;CUST-00140;SMB;Technology;1;2021-09-26;1,194;0,2
141;CUST-00141;Public Sector;Education;4;2021-10-21;1,702;0,047
142;CUST-00142;Mid-Market;Retail;4;2021-05-30;1,098;0,088
143;CUST-00143;Mid-Market;Healthcare;2;2021-07-02;4,731;0,062
144;CUST-00144;Mid-Market;Education;2;2022-03-20;2,362;0,073
145;CUST-00145;SMB;Government;8;2022-07-24;0,22;0,218
146;CUST-00146;Distributor;Technology;7;2021-06-22;10,633;0,06
147;CUST-00147;SMB;Retail;5;2022-01-07;1,186;0,175
148;CUST-00148;Public Sector;Manufacturing;1;2022-12-05;3,624;0,066
149;CUST-00149;Distributor;Government;8;2020-06-26;8,729;0,087
150;CUST-00150;Mid-Market;Government;6;2022-08-01;1,314;0,077
151;CUST-00151;Mid-Market;Manufacturing;1;2020-12-01;2,35;0,099
152;CUST-00152;SMB;Logistics;8;2020-01-05;0,67;0,126
153;CUST-00153;Public Sector;Government;2;2023-10-14;2,592;0,06
154;CUST-00154;Public Sector;Manufacturing;2;2023-12-11;1,266;0,043
155;CUST-00155;SMB;Manufacturing;4;2022-11-15;0,886;0,203
156;CUST-00156;Mid-Market;Manufacturing;8;2023-06-15;3,557;0,077
157;CUST-00157;Distributor;Manufacturing;1;2020-11-09;5,056;0,117
158;CUST-00158;Enterprise;Education;4;2021-05-22;2,204;0,024
159;CUST-00159;Mid-Market;Technology;4;2021-10-14;1,612;0,081
160;CUST-00160;SMB;Retail;10;2020-09-04;1,193;0,222
161;CUST-00161;Mid-Market;Education;6;2020-05-10;6,526;0,072
162;CUST-00162;Mid-Market;Technology;2;2021-08-28;4,628;0,09
163;CUST-00163;Distributor;Manufacturing;8;2022-08-12;4,787;0,077
164;CUST-00164;Mid-Market;Retail;9;2022-02-09;17,385;0,093
165;CUST-00165;Mid-Market;Manufacturing;1;2020-05-07;3,591;0,089
166;CUST-00166;Mid-Market;Education;9;2022-07-10;0,964;0,058
167;CUST-00167;Enterprise;Retail;8;2022-03-23;5,066;0,038
168;CUST-00168;Mid-Market;Government;7;2020-08-26;1,326;0,07
169;CUST-00169;Public Sector;Education;5;2024-01-16;3,165;0,062
170;CUST-00170;Mid-Market;Manufacturing;1;2024-01-20;3,604;0,074
171;CUST-00171;SMB;Education;4;2023-06-02;0,757;0,136
172;CUST-00172;SMB;Technology;6;2021-01-14;0,422;0,206
173;CUST-00173;Distributor;Government;6;2023-05-06;20,442;0,084
174;CUST-00174;SMB;Government;4;2020-04-16;0,682;0,157
175;CUST-00175;Public Sector;Education;2;2022-02-13;2,285;0,072
176;CUST-00176;Distributor;Education;3;2021-01-09;2,262;0,102
177;CUST-00177;SMB;Healthcare;8;2023-11-22;0,438;0,195
178;CUST-00178;SMB;Healthcare;5;2021-12-12;1,422;0,215
179;CUST-00179;Enterprise;Government;4;2021-09-16;5,961;0,037
180;CUST-00180;Mid-Market;Education;8;2020-11-30;3,861;0,058
181;CUST-00181;SMB;Manufacturing;7;2023-04-13;0,385;0,107
182;CUST-00182;Distributor;Logistics;6;2020-06-10;1,531;0,097
183;CUST-00183;SMB;Logistics;4;2020-04-01;1,757;0,218
184;CUST-00184;Public Sector;Logistics;3;2023-12-28;2,255;0,071
185;CUST-00185;Distributor;Retail;9;2023-05-24;7,677;0,074
186;CUST-00186;Enterprise;Healthcare;1;2021-07-24;23,036;0,021
187;CUST-00187;Mid-Market;Logistics;8;2023-01-07;3,644;0,081
188;CUST-00188;Distributor;Technology;6;2021-10-21;2,488;0,091
189;CUST-00189;Mid-Market;Manufacturing;4;2020-04-12;2,23;0,06
190;CUST-00190;Mid-Market;Education;2;2023-04-14;1,701;0,084
191;CUST-00191;Public Sector;Education;1;2023-08-15;1,831;0,041
192;CUST-00192;SMB;Retail;9;2020-06-16;0,733;0,141
193;CUST-00193;SMB;Logistics;6;2021-10-29;0,567;0,121
194;CUST-00194;SMB;Logistics;6;2022-04-19;0,559;0,161
195;CUST-00195;SMB;Manufacturing;1;2024-02-03;0,604;0,199
196;CUST-00196;Mid-Market;Technology;8;2021-11-26;3,641;0,072
197;CUST-00197;SMB;Government;6;2022-12-18;0,477;0,172
198;CUST-00198;SMB;Healthcare;6;2020-06-29;1,054;0,166
199;CUST-00199;Distributor;Technology;5;2022-04-16;10,123;0,091
200;CUST-00200;Mid-Market;Healthcare;2;2020-08-04;3,485;0,07
201;CUST-00201;SMB;Healthcare;6;2022-11-30;0,835;0,124
202;CUST-00202;Distributor;Logistics;1;2021-08-25;7,015;0,105
203;CUST-00203;SMB;Manufacturing;7;2020-08-17;1,3;0,168
204;CUST-00204;SMB;Government;8;2021-06-23;0,338;0,141
205;CUST-00205;Mid-Market;Logistics;2;2022-08-16;5,044;0,101
206;CUST-00206;SMB;Government;6;2022-12-18;1,527;0,13
207;CUST-00207;SMB;Retail;8;2020-12-03;1,605;0,23
208;CUST-00208;Distributor;Education;9;2022-05-22;5,676;0,082
209;CUST-00209;SMB;Technology;5;2020-09-18;1,128;0,156
210;CUST-00210;SMB;Retail;3;2021-09-28;1,006;0,128
211;CUST-00211;Public Sector;Manufacturing;4;2020-03-25;2,444;0,055
212;CUST-00212;Enterprise;Manufacturing;3;2020-06-17;9,085;0,026
213;CUST-00213;Enterprise;Logistics;1;2023-10-16;7,291;0,04
214;CUST-00214;Mid-Market;Technology;6;2020-12-09;1,928;0,05
215;CUST-00215;Public Sector;Healthcare;9;2020-07-08;2,139;0,069
216;CUST-00216;SMB;Manufacturing;1;2023-09-08;0,734;0,197
217;CUST-00217;SMB;Technology;10;2023-07-30;1,494;0,165
218;CUST-00218;Mid-Market;Healthcare;2;2023-01-05;7,652;0,085
219;CUST-00219;Enterprise;Logistics;4;2022-03-26;4,457;0,038
220;CUST-00220;Public Sector;Healthcare;6;2020-03-09;1,56;0,057
221;CUST-00221;Mid-Market;Manufacturing;1;2023-07-21;1,491;0,069
222;CUST-00222;Mid-Market;Government;8;2022-05-01;6,309;0,098
223;CUST-00223;Enterprise;Government;9;2022-02-16;8,144;0,038
224;CUST-00224;Distributor;Government;9;2020-12-14;7,28;0,064
225;CUST-00225;Public Sector;Logistics;6;2023-11-08;1,71;0,055
226;CUST-00226;Mid-Market;Healthcare;6;2022-11-29;6,157;0,093
227;CUST-00227;SMB;Retail;5;2022-03-28;0,726;0,198
228;CUST-00228;Mid-Market;Manufacturing;1;2021-07-19;2,803;0,098
229;CUST-00229;SMB;Government;2;2023-11-21;0,982;0,213
230;CUST-00230;Mid-Market;Government;6;2021-12-17;3,687;0,084
231;CUST-00231;Distributor;Healthcare;1;2021-11-07;3,637;0,083
232;CUST-00232;Enterprise;Education;4;2023-02-05;9,156;0,028
233;CUST-00233;Public Sector;Education;5;2021-04-21;3,955;0,071
234;CUST-00234;SMB;Government;1;2021-06-13;0,703;0,122
235;CUST-00235;Mid-Market;Healthcare;6;2020-07-18;3,99;0,053
236;CUST-00236;SMB;Technology;4;2022-03-23;0,845;0,108
237;CUST-00237;SMB;Logistics;3;2021-05-08;0,353;0,106
238;CUST-00238;Mid-Market;Retail;4;2021-04-30;2,572;0,067
239;CUST-00239;SMB;Healthcare;6;2020-08-05;1,115;0,148
240;CUST-00240;SMB;Education;1;2020-05-25;1,35;0,107
241;CUST-00241;SMB;Manufacturing;7;2023-09-17;1,182;0,185
242;CUST-00242;Distributor;Healthcare;10;2023-01-10;3,813;0,098
243;CUST-00243;Mid-Market;Government;3;2020-05-17;3,323;0,071
244;CUST-00244;Public Sector;Technology;3;2020-01-05;6,378;0,051
245;CUST-00245;Mid-Market;Government;1;2022-12-24;3,82;0,074
246;CUST-00246;Enterprise;Government;4;2020-01-13;8,065;0,043
247;CUST-00247;Mid-Market;Government;5;2022-12-25;1,558;0,061
248;CUST-00248;Public Sector;Technology;3;2021-05-08;4,928;0,04
249;CUST-00249;Mid-Market;Retail;1;2021-08-27;5,249;0,084
250;CUST-00250;Mid-Market;Manufacturing;6;2021-07-13;5,814;0,065
251;CUST-00251;SMB;Retail;4;2022-09-06;0,579;0,177
252;CUST-00252;Mid-Market;Retail;9;2021-10-05;5,336;0,073
253;CUST-00253;Mid-Market;Education;2;2022-10-14;3,605;0,091
254;CUST-00254;Distributor;Logistics;6;2020-08-14;3,015;0,13
255;CUST-00255;Mid-Market;Technology;1;2020-06-16;2,953;0,055
256;CUST-00256;SMB;Government;1;2020-04-20;0,898;0,109
257;CUST-00257;Enterprise;Manufacturing;2;2021-05-18;8,252;0,024
258;CUST-00258;Mid-Market;Retail;3;2024-01-10;2,116;0,051
259;CUST-00259;Enterprise;Education;2;2021-03-13;14,038;0,042
260;CUST-00260;SMB;Retail;5;2023-10-31;1,293;0,202
261;CUST-00261;Public Sector;Technology;9;2020-09-11;2,528;0,065
262;CUST-00262;Mid-Market;Healthcare;9;2022-01-09;8,18;0,089
263;CUST-00263;Enterprise;Healthcare;6;2020-07-19;6,859;0,039
264;CUST-00264;SMB;Healthcare;8;2021-06-06;1,123;0,157
265;CUST-00265;Enterprise;Manufacturing;4;2021-11-24;10,471;0,03
266;CUST-00266;Public Sector;Government;2;2023-07-15;3,671;0,046
267;CUST-00267;SMB;Manufacturing;4;2021-12-02;0,985;0,123
268;CUST-00268;Mid-Market;Retail;5;2022-04-06;6,299;0,06
269;CUST-00269;Distributor;Government;7;2022-01-15;3,545;0,069
270;CUST-00270;SMB;Education;1;2020-12-06;1,999;0,138
271;CUST-00271;Distributor;Technology;1;2021-06-13;3,703;0,063
272;CUST-00272;SMB;Healthcare;8;2020-01-19;1,073;0,137
273;CUST-00273;SMB;Government;1;2021-08-22;1,131;0,128
274;CUST-00274;Mid-Market;Education;6;2021-05-15;2,325;0,054
275;CUST-00275;Enterprise;Technology;10;2023-02-19;16,364;0,031
276;CUST-00276;Distributor;Healthcare;1;2023-09-09;2,148;0,127
277;CUST-00277;Mid-Market;Technology;3;2022-10-21;2,968;0,056
278;CUST-00278;Distributor;Logistics;2;2021-12-17;7,272;0,061
279;CUST-00279;SMB;Logistics;3;2022-06-01;0,359;0,226
280;CUST-00280;SMB;Healthcare;8;2022-01-02;0,773;0,151
281;CUST-00281;SMB;Healthcare;3;2023-06-07;0,577;0,137
282;CUST-00282;Mid-Market;Manufacturing;2;2022-11-10;3,527;0,067
283;CUST-00283;Mid-Market;Education;5;2024-02-05;3,679;0,078
284;CUST-00284;Distributor;Government;5;2020-07-03;6,997;0,063
285;CUST-00285;SMB;Government;6;2022-03-18;2,035;0,116
286;CUST-00286;SMB;Education;1;2022-11-22;0,947;0,197
287;CUST-00287;Public Sector;Logistics;6;2023-10-21;2,516;0,066
288;CUST-00288;Public Sector;Technology;1;2020-05-28;3,3;0,067
289;CUST-00289;SMB;Manufacturing;4;2020-01-31;0,493;0,194
290;CUST-00290;Mid-Market;Government;1;2022-01-12;3,331;0,057
291;CUST-00291;Mid-Market;Logistics;10;2020-09-04;1,626;0,063
292;CUST-00292;Mid-Market;Education;1;2020-04-19;2,324;0,046
293;CUST-00293;SMB;Education;9;2021-04-14;1,45;0,166
294;CUST-00294;SMB;Technology;3;2023-03-25;1,145;0,181
295;CUST-00295;Distributor;Healthcare;10;2023-05-24;5,934;0,072
296;CUST-00296;Mid-Market;Manufacturing;2;2021-02-16;3,111;0,073
297;CUST-00297;Distributor;Healthcare;1;2023-11-30;7,783;0,064
298;CUST-00298;Mid-Market;Manufacturing;10;2021-05-12;9,877;0,078
299;CUST-00299;SMB;Retail;6;2020-08-20;1,836;0,122
300;CUST-00300;SMB;Government;6;2020-11-11;3,499;0,177
301;CUST-00301;Enterprise;Healthcare;1;2022-11-12;15,501;0,026
302;CUST-00302;SMB;Government;1;2024-01-25;0,662;0,115
303;CUST-00303;Enterprise;Education;1;2022-03-27;1,751;0,033
304;CUST-00304;SMB;Technology;7;2023-08-22;1,007;0,231
305;CUST-00305;Mid-Market;Healthcare;8;2023-11-18;7,431;0,095
306;CUST-00306;SMB;Manufacturing;6;2023-02-18;1,249;0,151
307;CUST-00307;SMB;Retail;4;2021-10-03;1,872;0,136
308;CUST-00308;Mid-Market;Government;1;2023-04-24;7,856;0,053
309;CUST-00309;SMB;Manufacturing;8;2020-05-26;1,154;0,105
310;CUST-00310;Enterprise;Government;7;2020-09-22;12,66;0,037
311;CUST-00311;Enterprise;Education;6;2021-05-29;2,584;0,02
312;CUST-00312;SMB;Manufacturing;10;2023-12-27;0,684;0,12
313;CUST-00313;SMB;Education;6;2020-11-28;0,98;0,218
314;CUST-00314;Public Sector;Technology;2;2022-03-01;2,868;0,046
315;CUST-00315;Distributor;Government;6;2023-09-24;4,531;0,097
316;CUST-00316;SMB;Manufacturing;1;2021-08-07;0,808;0,113
317;CUST-00317;Distributor;Manufacturing;1;2020-05-27;5,164;0,065
318;CUST-00318;Distributor;Healthcare;6;2020-06-08;3,744;0,104
319;CUST-00319;SMB;Education;8;2023-08-30;0,43;0,145
320;CUST-00320;SMB;Logistics;10;2020-03-29;1,444;0,16
321;CUST-00321;SMB;Manufacturing;10;2022-01-17;0,401;0,173
322;CUST-00322;SMB;Healthcare;5;2020-03-28;0,904;0,179
323;CUST-00323;SMB;Education;6;2022-07-21;1,167;0,205
324;CUST-00324;SMB;Logistics;5;2020-02-07;0,404;0,139
325;CUST-00325;SMB;Logistics;8;2022-04-12;0,609;0,18
326;CUST-00326;Mid-Market;Education;6;2023-09-11;7,382;0,079
327;CUST-00327;Mid-Market;Government;4;2023-06-09;1,257;0,075
328;CUST-00328;Mid-Market;Manufacturing;1;2023-03-20;6,53;0,066
329;CUST-00329;Distributor;Manufacturing;5;2024-01-18;2,381;0,083
330;CUST-00330;Public Sector;Education;3;2023-06-08;1,417;0,037
331;CUST-00331;SMB;Retail;10;2020-10-07;1,729;0,222
332;CUST-00332;Distributor;Technology;5;2024-01-27;8,261;0,118
333;CUST-00333;SMB;Logistics;1;2022-07-29;1,526;0,21
334;CUST-00334;Mid-Market;Government;1;2022-06-17;2,22;0,075
335;CUST-00335;SMB;Retail;4;2022-10-20;0,363;0,116
336;CUST-00336;Mid-Market;Manufacturing;8;2021-06-24;1,82;0,076
337;CUST-00337;Mid-Market;Technology;1;2021-08-20;5,037;0,081
338;CUST-00338;Distributor;Government;1;2023-12-15;7,584;0,118
339;CUST-00339;SMB;Logistics;6;2022-07-13;1,521;0,106
340;CUST-00340;Distributor;Education;6;2020-09-18;5,393;0,059
341;CUST-00341;SMB;Technology;5;2020-01-01;2,133;0,136
342;CUST-00342;SMB;Government;3;2020-03-10;0,68;0,145
343;CUST-00343;Mid-Market;Technology;5;2020-12-29;3,273;0,099
344;CUST-00344;Mid-Market;Healthcare;6;2024-01-28;4,014;0,071
345;CUST-00345;Enterprise;Logistics;6;2022-07-11;18,474;0,032
346;CUST-00346;SMB;Healthcare;4;2021-12-15;2,557;0,188
347;CUST-00347;Distributor;Technology;1;2022-09-14;5,533;0,118
348;CUST-00348;SMB;Logistics;6;2021-01-27;2,665;0,12
349;CUST-00349;Distributor;Education;1;2021-03-06;15,579;0,073
350;CUST-00350;Enterprise;Retail;4;2023-07-24;5,938;0,03
351;CUST-00351;SMB;Government;7;2022-08-13;0,908;0,12
352;CUST-00352;Mid-Market;Healthcare;9;2022-01-14;4,907;0,098
353;CUST-00353;Distributor;Logistics;4;2023-06-08;8,481;0,113
354;CUST-00354;Enterprise;Logistics;1;2021-11-24;3,081;0,035
355;CUST-00355;Mid-Market;Education;9;2023-10-13;1,112;0,089
356;CUST-00356;Mid-Market;Manufacturing;5;2021-03-25;7,706;0,092
357;CUST-00357;Distributor;Government;8;2023-09-26;13,875;0,126
358;CUST-00358;SMB;Technology;4;2022-12-07;0,37;0,141
359;CUST-00359;Mid-Market;Technology;1;2022-06-02;3,87;0,081
360;CUST-00360;SMB;Technology;4;2020-12-28;2,007;0,209
361;CUST-00361;Mid-Market;Education;6;2023-05-24;4,219;0,094
362;CUST-00362;Mid-Market;Education;9;2021-05-24;4,149;0,083
363;CUST-00363;Public Sector;Retail;10;2020-09-22;3,552;0,062
364;CUST-00364;SMB;Retail;9;2020-11-09;0,349;0,118
365;CUST-00365;Mid-Market;Retail;8;2022-10-31;3,917;0,059
366;CUST-00366;SMB;Government;8;2021-08-09;1,576;0,178
367;CUST-00367;SMB;Technology;6;2022-04-30;0,806;0,164
368;CUST-00368;SMB;Technology;5;2020-07-01;0,654;0,199
369;CUST-00369;Mid-Market;Education;8;2022-05-24;3,932;0,078
370;CUST-00370;Mid-Market;Manufacturing;6;2021-06-24;2,233;0,06
371;CUST-00371;SMB;Retail;9;2021-08-05;1,003;0,23
372;CUST-00372;Public Sector;Education;1;2023-04-16;2,003;0,048
373;CUST-00373;Public Sector;Technology;6;2022-10-06;2,287;0,065
374;CUST-00374;SMB;Government;4;2022-01-31;2,465;0,126
375;CUST-00375;SMB;Manufacturing;10;2020-04-20;0,352;0,214
376;CUST-00376;Mid-Market;Government;5;2022-02-27;4,056;0,077
377;CUST-00377;SMB;Retail;8;2021-01-12;0,68;0,125
378;CUST-00378;SMB;Healthcare;7;2021-04-06;0,803;0,218
379;CUST-00379;Enterprise;Technology;3;2020-10-23;17,623;0,026
380;CUST-00380;SMB;Technology;2;2020-03-26;2,366;0,178
381;CUST-00381;Enterprise;Manufacturing;8;2022-03-11;7,082;0,028
382;CUST-00382;Public Sector;Manufacturing;2;2023-03-07;0,913;0,034
383;CUST-00383;Mid-Market;Education;6;2022-03-09;1,984;0,095
384;CUST-00384;Public Sector;Logistics;8;2022-02-02;3,151;0,054
385;CUST-00385;SMB;Healthcare;9;2022-07-08;0,542;0,113
386;CUST-00386;Distributor;Logistics;4;2020-05-12;6,855;0,13
387;CUST-00387;Mid-Market;Government;7;2020-11-24;5,162;0,088
