product_id;sku;product_family;product_group;product_name;launch_year;lifecycle_stage;base_list_price_eur;base_unit_cost_eur;target_margin_pct;product_growth_factor
1024;SKU-1024;IT Devices;Laptop Standard;Laptop Standard Model 05;2022;Growth;528,56;391,14;0,24;1,01
1025;SKU-1025;IT Devices;Laptop Standard;Laptop Standard Model 06;2022;Growth;763,26;593,67;0,24;1,01
1026;SKU-1026;IT Devices;Laptop Standard;Laptop Standard Model 07;2024;Mature;599,95;484,46;0,24;1,01
1027;SKU-1027;IT Devices;Laptop Standard;Laptop Standard Model 08;2022;Mature;470,29;347,2;0,24;1,01
1028;SKU-1028;IT Devices;Laptop Standard;Laptop Standard Model 09;2022;Growth;491,94;372,1;0,24;1,01
1029;SKU-1029;IT Devices;Laptop Standard;Laptop Standard Model 10;2022;Mature;622,17;423,02;0,24;1,01
1030;SKU-1030;IT Devices;Laptop Standard;Laptop Standard Model 11;2021;Growth;638,04;477,89;0,24;1,01
1031;SKU-1031;IT Devices;Laptop Standard;Laptop Standard Model 12;2022;Mature;656,43;450,86;0,24;1,01
1032;SKU-1032;IT Devices;Laptop Standard;Laptop Standard Model 13;2021;Growth;534,57;416,69;0,24;1,01
1033;SKU-1033;IT Devices;Laptop Standard;Laptop Standard Model 14;2021;Mature;598,34;498,74;0,24;1,01
1034;SKU-1034;IT Devices;Laptop Standard;Laptop Standard Model 15;2021;Decline;708,97;468,04;0,24;1,01
1035;SKU-1035;IT Devices;Laptop Standard;Laptop Standard Model 16;2020;New;529,21;458,62;0,24;1,01
1036;SKU-1036;IT Devices;Laptop Standard;Laptop Standard Model 17;2018;Mature;580,14;458,66;0,24;1,01
1037;SKU-1037;IT Devices;Laptop Standard;Laptop Standard Model 18;2022;Decline;635,78;488,23;0,24;1,01
1038;SKU-1038;IT Devices;Laptop Standard;Laptop Standard Model 19;2022;Growth;573,59;437,47;0,24;1,01
1039;SKU-1039;IT Devices;Laptop Standard;Laptop Standard Model 20;2020;Decline;725,57;569,55;0,24;1,01
1040;SKU-1040;IT Devices;Tablet Enterprise;Tablet Enterprise Model 01;2023;Growth;365,08;227,66;0,27;1,12
1041;SKU-1041;IT Devices;Tablet Enterprise;Tablet Enterprise Model 02;2020;Decline;354,85;242,51;0,27;1,12
1042;SKU-1042;IT Devices;Tablet Enterprise;Tablet Enterprise Model 03;2019;Mature;407,33;310,69;0,27;1,12
1043;SKU-1043;IT Devices;Tablet Enterprise;Tablet Enterprise Model 04;2023;Growth;336,99;267,54;0,27;1,12
1044;SKU-1044;IT Devices;Tablet Enterprise;Tablet Enterprise Model 05;2021;Decline;420,63;309,56;0,27;1,12
1045;SKU-1045;IT Devices;Tablet Enterprise;Tablet Enterprise Model 06;2021;Mature;424,65;318,72;0,27;1,12
1046;SKU-1046;IT Devices;Tablet Enterprise;Tablet Enterprise Model 07;2024;Growth;524,2;377,87;0,27;1,12
1047;SKU-1047;IT Devices;Tablet Enterprise;Tablet Enterprise Model 08;2019;Growth;533,95;343,77;0,27;1,12
1048;SKU-1048;IT Devices;Tablet Enterprise;Tablet Enterprise Model 09;2020;Growth;518,01;406,82;0,27;1,12
1049;SKU-1049;IT Devices;Tablet Enterprise;Tablet Enterprise Model 10;2019;Decline;384,91;281,09;0,27;1,12
1050;SKU-1050;IT Devices;Tablet Enterprise;Tablet Enterprise Model 11;2022;Growth;513,55;372,57;0,27;1,12
1051;SKU-1051;IT Devices;Tablet Enterprise;Tablet Enterprise Model 12;2022;Growth;406,82;314,13;0,27;1,12
1052;SKU-1052;IT Devices;Tablet Enterprise;Tablet Enterprise Model 13;2023;Growth;388,66;265,92;0,27;1,12
1053;SKU-1053;IT Devices;Tablet Enterprise;Tablet Enterprise Model 14;2021;Growth;379,44;283,21;0,27;1,12
1054;SKU-1054;IT Devices;Tablet Enterprise;Tablet Enterprise Model 15;2024;Mature;507,83;374,64;0,27;1,12
1055;SKU-1055;IT Devices;Tablet Enterprise;Tablet Enterprise Model 16;2019;Growth;426,22;307,38;0,27;1,12
1056;SKU-1056;IT Devices;Tablet Enterprise;Tablet Enterprise Model 17;2022;Growth;425,25;256,9;0,27;1,12
1057;SKU-1057;IT Devices;Tablet Enterprise;Tablet Enterprise Model 18;2023;New;391,57;314,5;0,27;1,12
1058;SKU-1058;IT Devices;Tablet Enterprise;Tablet Enterprise Model 19;2023;Growth;497,25;381,12;0,27;1,12
1059;SKU-1059;IT Devices;Tablet Enterprise;Tablet Enterprise Model 20;2023;Growth;399,47;312,83;0,27;1,12
1060;SKU-1060;Medical Devices;Medical Sensor;Medical Sensor Model 01;2022;Mature;165,38;98,21;0,45;1,15
1061;SKU-1061;Medical Devices;Medical Sensor;Medical Sensor Model 02;2020;Decline;142,34;63,13;0,45;1,15
1062;SKU-1062;Medical Devices;Medical Sensor;Medical Sensor Model 03;2018;Decline;241,5;97,75;0,45;1,15
1063;SKU-1063;Medical Devices;Medical Sensor;Medical Sensor Model 04;2020;Mature;190,11;88,13;0,45;1,15
1064;SKU-1064;Medical Devices;Medical Sensor;Medical Sensor Model 05;2020;Growth;203,84;107,68;0,45;1,15
1065;SKU-1065;Medical Devices;Medical Sensor;Medical Sensor Model 06;2018;Growth;144,46;81,17;0,45;1,15
1066;SKU-1066;Medical Devices;Medical Sensor;Medical Sensor Model 07;2022;Growth;164,7;86,7;0,45;1,15
1067;SKU-1067;Medical Devices;Medical Sensor;Medical Sensor Model 08;2023;Mature;190,42;104,23;0,45;1,15
1068;SKU-1068;Medical Devices;Medical Sensor;Medical Sensor Model 09;2020;Decline;189,35;105,06;0,45;1,15
1069;SKU-1069;Medical Devices;Medical Sensor;Medical Sensor Model 10;2021;Mature;191,46;112,61;0,45;1,15
1070;SKU-1070;Medical Devices;Medical Sensor;Medical Sensor Model 11;2018;Mature;150,65;73,89;0,45;1,15
1071;SKU-1071;Medical Devices;Medical Sensor;Medical Sensor Model 12;2024;New;136,16;68,57;0,45;1,15
1072;SKU-1072;Medical Devices;Medical Sensor;Medical Sensor Model 13;2022;New;166,92;89,6;0,45;1,15
1073;SKU-1073;Medical Devices;Medical Sensor;Medical Sensor Model 14;2021;Decline;177,04;99,6;0,45;1,15
1074;SKU-1074;Medical Devices;Medical Sensor;Medical Sensor Model 15;2022;Decline;119,38;67,07;0,45;1,15
1075;SKU-1075;Medical Devices;Medical Sensor;Medical Sensor Model 16;2021;Growth;169,6;108,18;0,45;1,15
1076;SKU-1076;Medical Devices;Medical Sensor;Medical Sensor Model 17;2020;Growth;140,83;71,37;0,45;1,15
1077;SKU-1077;Medical Devices;Medical Sensor;Medical Sensor Model 18;2024;Mature;152,09;86,19;0,45;1,15
1078;SKU-1078;Medical Devices;Medical Sensor;Medical Sensor Model 19;2021;New;237,49;116,64;0,45;1,15
1079;SKU-1079;Medical Devices;Medical Sensor;Medical Sensor Model 20;2021;Decline;193,1;98,21;0,45;1,15
1080;SKU-1080;Medical Devices;Monitoring Device;Monitoring Device Model 01;2020;Mature;679,75;381,02;0,39;1,1
1081;SKU-1081;Medical Devices;Monitoring Device;Monitoring Device Model 02;2019;Mature;737,17;406,5;0,39;1,1
1082;SKU-1082;Medical Devices;Monitoring Device;Monitoring Device Model 03;2019;Mature;854,27;588,25;0,39;1,1
1083;SKU-1083;Medical Devices;Monitoring Device;Monitoring Device Model 04;2023;New;699,52;373,85;0,39;1,1
1084;SKU-1084;Medical Devices;Monitoring Device;Monitoring Device Model 05;2022;Decline;646,21;393,13;0,39;1,1
1085;SKU-1085;Medical Devices;Monitoring Device;Monitoring Device Model 06;2022;Growth;798,9;441,18;0,39;1,1
1086;SKU-1086;Medical Devices;Monitoring Device;Monitoring Device Model 07;2023;Mature;797,93;483,86;0,39;1,1
1087;SKU-1087;Medical Devices;Monitoring Device;Monitoring Device Model 08;2019;Mature;546,32;349,4;0,39;1,1
1088;SKU-1088;Medical Devices;Monitoring Device;Monitoring Device Model 09;2021;Growth;962,44;569,36;0,39;1,1
1089;SKU-1089;Medical Devices;Monitoring Device;Monitoring Device Model 10;2023;Decline;865,68;481,82;0,39;1,1
1090;SKU-1090;Medical Devices;Monitoring Device;Monitoring Device Model 11;2020;Decline;793,6;518,35;0,39;1,1
1091;SKU-1091;Medical Devices;Monitoring Device;Monitoring Device Model 12;2021;Growth;808,08;452,53;0,39;1,1
1092;SKU-1092;Medical Devices;Monitoring Device;Monitoring Device Model 13;2024;Mature;963,29;623,42;0,39;1,1
1093;SKU-1093;Medical Devices;Monitoring Device;Monitoring Device Model 14;2024;Decline;869,94;530,16;0,39;1,1
1094;SKU-1094;Medical Devices;Monitoring Device;Monitoring Device Model 15;2023;Mature;869,58;506,35;0,39;1,1
1095;SKU-1095;Medical Devices;Monitoring Device;Monitoring Device Model 16;2022;Mature;551,56;292,21;0,39;1,1
1096;SKU-1096;Medical Devices;Monitoring Device;Monitoring Device Model 17;2020;Growth;937,15;646,74;0,39;1,1
1097;SKU-1097;Medical Devices;Monitoring Device;Monitoring Device Model 18;2024;Mature;669,32;393,57;0,39;1,1
1098;SKU-1098;Medical Devices;Monitoring Device;Monitoring Device Model 19;2023;Decline;606,24;439,83;0,39;1,1
1099;SKU-1099;Medical Devices;Monitoring Device;Monitoring Device Model 20;2024;Mature;817,97;470,25;0,39;1,1
1100;SKU-1100;Industrial Tech;Industrial Scanner;Industrial Scanner Model 01;2023;Mature;1482,43;922,06;0,34;1,03
1101;SKU-1101;Industrial Tech;Industrial Scanner;Industrial Scanner Model 02;2023;Growth;1295,4;866,59;0,34;1,03
1102;SKU-1102;Industrial Tech;Industrial Scanner;Industrial Scanner Model 03;2018;Growth;1361,47;863,09;0,34;1,03
1103;SKU-1103;Industrial Tech;Industrial Scanner;Industrial Scanner Model 04;2023;Growth;1655,8;1257,84;0,34;1,03
1104;SKU-1104;Industrial Tech;Industrial Scanner;Industrial Scanner Model 05;2023;Growth;998,19;692,65;0,34;1,03
1105;SKU-1105;Industrial Tech;Industrial Scanner;Industrial Scanner Model 06;2023;New;1496,62;906,26;0,34;1,03
1106;SKU-1106;Industrial Tech;Industrial Scanner;Industrial Scanner Model 07;2022;Growth;1282,04;759,38;0,34;1,03
1107;SKU-1107;Industrial Tech;Industrial Scanner;Industrial Scanner Model 08;2020;Decline;1318,45;967,78;0,34;1,03
1108;SKU-1108;Industrial Tech;Industrial Scanner;Industrial Scanner Model 09;2022;Growth;1648,95;946,43;0,34;1,03
1109;SKU-1109;Industrial Tech;Industrial Scanner;Industrial Scanner Model 10;2023;Growth;1227,62;781,09;0,34;1,03
1110;SKU-1110;Industrial Tech;Industrial Scanner;Industrial Scanner Model 11;2020;Mature;1682,18;1161,13;0,34;1,03
1111;SKU-1111;Industrial Tech;Industrial Scanner;Industrial Scanner Model 12;2022;New;1305,88;833,94;0,34;1,03
1112;SKU-1112;Industrial Tech;Industrial Scanner;Industrial Scanner Model 13;2020;Mature;1536,44;912,6;0,34;1,03
1113;SKU-1113;Industrial Tech;Industrial Scanner;Industrial Scanner Model 14;2024;Mature;1719,99;1163,7;0,34;1,03
1114;SKU-1114;Industrial Tech;Industrial Scanner;Industrial Scanner Model 15;2021;Growth;1419,89;912,37;0,34;1,03
1115;SKU-1115;Industrial Tech;Industrial Scanner;Industrial Scanner Model 16;2020;Growth;1466,19;955,94;0,34;1,03
1116;SKU-1116;Industrial Tech;Industrial Scanner;Industrial Scanner Model 17;2021;Mature;1529,37;1011,36;0,34;1,03
1117;SKU-1117;Industrial Tech;Industrial Scanner;Industrial Scanner Model 18;2020;Mature;1124,38;858,63;0,34;1,03
1118;SKU-1118;Industrial Tech;Industrial Scanner;Industrial Scanner Model 19;2020;Growth;1383,55;779,13;0,34;1,03
1119;SKU-1119;Industrial Tech;Industrial Scanner;Industrial Scanner Model 20;2022;Mature;1532,95;1042,95;0,34;1,03
1120;SKU-1120;Components;Connectivity Module;Connectivity Module Model 01;2021;Mature;93,85;66,35;0,31;1,18
1121;SKU-1121;Components;Connectivity Module;Connectivity Module Model 02;2021;Mature;85,09;47,66;0,31;1,18
1122;SKU-1122;Components;Connectivity Module;Connectivity Module Model 03;2021;Decline;86,25;57,01;0,31;1,18
1123;SKU-1123;Components;Connectivity Module;Connectivity Module Model 04;2023;Mature;75,03;50,16;0,31;1,18
1124;SKU-1124;Components;Connectivity Module;Connectivity Module Model 05;2023;Mature;93,75;61,57;0,31;1,18
1125;SKU-1125;Components;Connectivity Module;Connectivity Module Model 06;2019;Growth;81,19;54,18;0,31;1,18
1126;SKU-1126;Components;Connectivity Module;Connectivity Module Model 07;2023;Mature;63,41;44,82;0,31;1,18
1127;SKU-1127;Components;Connectivity Module;Connectivity Module Model 08;2022;Decline;105,73;68,22;0,31;1,18
1128;SKU-1128;Components;Connectivity Module;Connectivity Module Model 09;2024;Growth;52,9;37,94;0,31;1,18
1129;SKU-1129;Components;Connectivity Module;Connectivity Module Model 10;2022;Decline;77,72;51,82;0,31;1,18
1130;SKU-1130;Components;Connectivity Module;Connectivity Module Model 11;2020;Mature;86,36;59,96;0,31;1,18
1131;SKU-1131;Components;Connectivity Module;Connectivity Module Model 12;2023;Mature;94,59;68,52;0,31;1,18
1132;SKU-1132;Components;Connectivity Module;Connectivity Module Model 13;2024;New;72,78;53,45;0,31;1,18
1133;SKU-1133;Components;Connectivity Module;Connectivity Module Model 14;2019;Growth;106,41;75,77;0,31;1,18
1134;SKU-1134;Components;Connectivity Module;Connectivity Module Model 15;2019;Decline;88,59;54,19;0,31;1,18
1135;SKU-1135;Components;Connectivity Module;Connectivity Module Model 16;2020;Growth;79,11;52,8;0,31;1,18
1136;SKU-1136;Components;Connectivity Module;Connectivity Module Model 17;2021;Mature;77,98;49,33;0,31;1,18
1137;SKU-1137;Components;Connectivity Module;Connectivity Module Model 18;2022;Growth;64,9;47,46;0,31;1,18
1138;SKU-1138;Components;Connectivity Module;Connectivity Module Model 19;2018;Mature;81,62;56,97;0,31;1,18
1139;SKU-1139;Components;Connectivity Module;Connectivity Module Model 20;2023;Mature;95,18;62,52;0,31;1,18
1140;SKU-1140;Legacy Products;Legacy Workstation;Legacy Workstation Model 01;2024;Decline;1080,2;890,47;0,18;0,88
1141;SKU-1141;Legacy Products;Legacy Workstation;Legacy Workstation Model 02;2021;Decline;639,18;552,53;0,18;0,88
1142;SKU-1142;Legacy Products;Legacy Workstation;Legacy Workstation Model 03;2020;Decline;690,08;534,81;0,18;0,88
1143;SKU-1143;Legacy Products;Legacy Workstation;Legacy Workstation Model 04;2022;Decline;851,54;690,26;0,18;0,88
1144;SKU-1144;Legacy Products;Legacy Workstation;Legacy Workstation Model 05;2024;Decline;675,43;547,44;0,18;0,88
1145;SKU-1145;Legacy Products;Legacy Workstation;Legacy Workstation Model 06;2022;Decline;749,11;600,66;0,18;0,88
1146;SKU-1146;Legacy Products;Legacy Workstation;Legacy Workstation Model 07;2023;Decline;657,05;515,31;0,18;0,88
1147;SKU-1147;Legacy Products;Legacy Workstation;Legacy Workstation Model 08;2024;Decline;809,94;598,91;0,18;0,88
1148;SKU-1148;Legacy Products;Legacy Workstation;Legacy Workstation Model 09;2023;Decline;598,85;529,42;0,18;0,88
1149;SKU-1149;Legacy Products;Legacy Workstation;Legacy Workstation Model 10;2021;Decline;810,75;736,77;0,18;0,88
1150;SKU-1150;Legacy Products;Legacy Workstation;Legacy Workstation Model 11;2024;Mature;705,48;600,95;0,18;0,88
1151;SKU-1151;Legacy Products;Legacy Workstation;Legacy Workstation Model 12;2019;Mature;595,62;472,38;0,18;0,88
1152;SKU-1152;Legacy Products;Legacy Workstation;Legacy Workstation Model 13;2023;Decline;837,74;720,73;0,18;0,88
1153;SKU-1153;Legacy Products;Legacy Workstation;Legacy Workstation Model 14;2023;Mature;707,02;528,46;0,18;0,88
1154;SKU-1154;Legacy Products;Legacy Workstation;Legacy Workstation Model 15;2021;Decline;706,38;562,59;0,18;0,88
1155;SKU-1155;Legacy Products;Legacy Workstation;Legacy Workstation Model 16;2021;Decline;660,37;607,54;0,18;0,88
1156;SKU-1156;Legacy Products;Legacy Workstation;Legacy Workstation Model 17;2020;Decline;572,15;478,04;0,18;0,88
1157;SKU-1157;Legacy Products;Legacy Workstation;Legacy Workstation Model 18;2022;Mature;855,79;679,3;0,18;0,88
1158;SKU-1158;Legacy Products;Legacy Workstation;Legacy Workstation Model 19;2019;Decline;801,76;670,96;0,18;0,88
1159;SKU-1159;Legacy Products;Legacy Workstation;Legacy Workstation Model 20;2021;Decline;636,49;577,0;0,18;0,88
1160;SKU-1160;Accessories;Accessory Kit;Accessory Kit Model 01;2021;New;73,92;58,3;0,22;1,05
1161;SKU-1161;Accessories;Accessory Kit;Accessory Kit Model 02;2021;Growth;60,42;46,16;0,22;1,05
1162;SKU-1162;Accessories;Accessory Kit;Accessory Kit Model 03;2024;Mature;66,78;53,17;0,22;1,05
1163;SKU-1163;Accessories;Accessory Kit;Accessory Kit Model 04;2023;Decline;47,61;37,95;0,22;1,05
1164;SKU-1164;Accessories;Accessory Kit;Accessory Kit Model 05;2021;Growth;42,47;32,1;0,22;1,05
1165;SKU-1165;Accessories;Accessory Kit;Accessory Kit Model 06;2020;Decline;62,36;47,79;0,22;1,05
1166;SKU-1166;Accessories;Accessory Kit;Accessory Kit Model 07;2023;Growth;62,87;47,94;0,22;1,05
1167;SKU-1167;Accessories;Accessory Kit;Accessory Kit Model 08;2023;Mature;58,82;44,74;0,22;1,05
1168;SKU-1168;Accessories;Accessory Kit;Accessory Kit Model 09;2022;Mature;60,79;43,61;0,22;1,05
1169;SKU-1169;Accessories;Accessory Kit;Accessory Kit Model 10;2020;Decline;50,76;40,7;0,22;1,05
1170;SKU-1170;Accessories;Accessory Kit;Accessory Kit Model 11;2024;Mature;69,9;56,13;0,22;1,05
1171;SKU-1171;Accessories;Accessory Kit;Accessory Kit Model 12;2024;Mature;52,88;38,73;0,22;1,05
1172;SKU-1172;Accessories;Accessory Kit;Accessory Kit Model 13;2018;Growth;48,53;43,48;0,22;1,05
1173;SKU-1173;Accessories;Accessory Kit;Accessory Kit Model 14;2018;Mature;53,26;38,58;0,22;1,05
1174;SKU-1174;Accessories;Accessory Kit;Accessory Kit Model 15;2022;Growth;54,5;39,65;0,22;1,05
1175;SKU-1175;Accessories;Accessory Kit;Accessory Kit Model 16;2021;Growth;60,14;47,58;0,22;1,05
1176;SKU-1176;Accessories;Accessory Kit;Accessory Kit Model 17;2018;Growth;61,53;51,18;0,22;1,05
1177;SKU-1177;Accessories;Accessory Kit;Accessory Kit Model 18;2021;Mature;45,28;38,86;0,22;1,05
1178;SKU-1178;Accessories;Accessory Kit;Accessory Kit Model 19;2020;Decline;46,7;36,65;0,22;1,05
1179;SKU-1179;Accessories;Accessory Kit;Accessory Kit Model 20;2020;Growth;43,29;35,76;0,22;1,05
1180;SKU-1180;Services;Service Contract;Service Contract Model 01;2021;Mature;271,35;118,58;0,62;1,16
1181;SKU-1181;Services;Service Contract;Service Contract Model 02;2019;Mature;242,25;85,41;0,62;1,16
1182;SKU-1182;Services;Service Contract;Service Contract Model 03;2018;New;246,15;83,96;0,62;1,16
1183;SKU-1183;Services;Service Contract;Service Contract Model 04;2022;Growth;167,52;55,27;0,62;1,16
1184;SKU-1184;Services;Service Contract;Service Contract Model 05;2023;Mature;178,23;66,84;0,62;1,16
1185;SKU-1185;Services;Service Contract;Service Contract Model 06;2023;Mature;260,67;103,9;0,62;1,16
1186;SKU-1186;Services;Service Contract;Service Contract Model 07;2022;Growth;228,78;98,55;0,62;1,16
1187;SKU-1187;Services;Service Contract;Service Contract Model 08;2020;New;287,84;122,63;0,62;1,16
1188;SKU-1188;Services;Service Contract;Service Contract Model 09;2021;Decline;257,61;81,8;0,62;1,16
1189;SKU-1189;Services;Service Contract;Service Contract Model 10;2021;Mature;265,75;96,46;0,62;1,16
1190;SKU-1190;Services;Service Contract;Service Contract Model 11;2022;Growth;219,56;97,49;0,62;1,16
1191;SKU-1191;Services;Service Contract;Service Contract Model 12;2022;Decline;298,3;109,55;0,62;1,16
1192;SKU-1192;Services;Service Contract;Service Contract Model 13;2019;Growth;247,92;107,76;0,62;1,16
1193;SKU-1193;Services;Service Contract;Service Contract Model 14;2018;Mature;194,85;74,54;0,62;1,16
1194;SKU-1194;Services;Service Contract;Service Contract Model 15;2023;New;276,92;105,07;0,62;1,16
1195;SKU-1195;Services;Service Contract;Service Contract Model 16;2020;Decline;232,33;100,86;0,62;1,16
1196;SKU-1196;Services;Service Contract;Service Contract Model 17;2022;Growth;196,49;69,64;0,62;1,16
1197;SKU-1197;Services;Service Contract;Service Contract Model 18;2020;Decline;235,33;77,71;0,62;1,16
1198;SKU-1198;Services;Service Contract;Service Contract Model 19;2022;Decline;241,5;101,97;0,62;1,16
1199;SKU-1199;Services;Service Contract;Service Contract Model 20;2022;Mature;255,02;80,49;0,62;1,16
