cost_id,year_month,product_id,standard_unit_cost_eur,actual_unit_cost_eur
149,2021-01,1148,543.13,534.94
150,2021-01,1149,717.58,684.94
151,2021-01,1150,599.2,626.78
152,2021-01,1151,464.5,498.65
153,2021-01,1152,707.69,744.31
154,2021-01,1153,523.24,511.57
155,2021-01,1154,551.03,581.83
156,2021-01,1155,602.48,619.3
157,2021-01,1156,486.04,505.43
158,2021-01,1157,706.48,709.54
159,2021-01,1158,678.19,662.23
160,2021-01,1159,545.85,546.98
161,2021-01,1160,58.14,61.59
162,2021-01,1161,45.33,46.41
163,2021-01,1162,52.24,54.03
164,2021-01,1163,36.78,36.79
165,2021-01,1164,32.6,31.92
166,2021-01,1165,47.12,49.01
167,2021-01,1166,48.02,46.48
168,2021-01,1167,42.83,42.08
169,2021-01,1168,45.02,45.3
170,2021-01,1169,38.31,39.89
171,2021-01,1170,55.6,57.09
172,2021-01,1171,40.51,40.73
173,2021-01,1172,45.94,47.49
174,2021-01,1173,38.72,40.59
175,2021-01,1174,38.68,39.49
176,2021-01,1175,45.99,45.54
177,2021-01,1176,52.27,49.69
178,2021-01,1177,38.65,41.68
179,2021-01,1178,37.54,39.7
180,2021-01,1179,35.69,35.86
181,2021-01,1180,123.69,122.66
182,2021-01,1181,87.08,89.56
183,2021-01,1182,83.41,89.88
184,2021-01,1183,54.82,55.91
185,2021-01,1184,65.24,69.22
186,2021-01,1185,104.57,109.3
187,2021-01,1186,97.54,93.44
188,2021-01,1187,121.41,119.99
189,2021-01,1188,84.68,80.61
190,2021-01,1189,96.58,102.69
191,2021-01,1190,95.7,97.56
192,2021-01,1191,108.1,106.25
193,2021-01,1192,106.46,113.16
194,2021-01,1193,75.98,75.33
195,2021-01,1194,102.94,110.27
196,2021-01,1195,101.11,105.44
197,2021-01,1196,68.65,66.02
198,2021-01,1197,81.39,86.84
199,2021-01,1198,106.89,111.47
200,2021-01,1199,80.55,85.94
201,2021-02,1000,561.98,562.05
202,2021-02,1001,549.02,579.52
203,2021-02,1002,553.91,529.02
204,2021-02,1003,757.5,812.12
205,2021-02,1004,539.21,514.62
206,2021-02,1005,538.47,552.8
207,2021-02,1006,610.16,600.13
208,2021-02,1007,617.96,588.06
209,2021-02,1008,540.9,579.25
210,2021-02,1009,607.53,609.18
211,2021-02,1010,743.34,736.96
212,2021-02,1011,675.29,680.48
213,2021-02,1012,685.67,685.4
214,2021-02,1013,697.58,680.62
215,2021-02,1014,933.7,904.83
216,2021-02,1015,639.14,665.83
217,2021-02,1016,789.63,755.76
218,2021-02,1017,719.89,753.38
219,2021-02,1018,719.65,725.23
220,2021-02,1019,683.01,697.93
221,2021-02,1020,420.11,433.15
222,2021-02,1021,518.16,546.84
223,2021-02,1022,483.54,515.17
224,2021-02,1023,512.13,511.38
225,2021-02,1024,392.86,381.24
226,2021-02,1025,564.87,583.7
227,2021-02,1026,456.32,436.23
228,2021-02,1027,342.07,339.17
229,2021-02,1028,365.03,373.26
230,2021-02,1029,415.03,405.08
231,2021-02,1030,471.37,487.15
232,2021-02,1031,439.46,459.09
233,2021-02,1032,398.64,425.79
234,2021-02,1033,496.15,503.35
235,2021-02,1034,478.98,476.13
236,2021-02,1035,444.71,453.82
237,2021-02,1036,457.15,442.01
238,2021-02,1037,460.41,483.39
239,2021-02,1038,456.58,468.21
240,2021-02,1039,565.74,538.71
241,2021-02,1040,230.08,225.72
242,2021-02,1041,236.28,251.36
243,2021-02,1042,318.0,311.1
244,2021-02,1043,278.09,287.63
245,2021-02,1044,299.25,299.97
246,2021-02,1045,308.3,324.38
247,2021-02,1046,385.68,372.28
248,2021-02,1047,340.12,360.36
249,2021-02,1048,399.16,424.68
250,2021-02,1049,291.72,307.68
251,2021-02,1050,379.24,388.3
252,2021-02,1051,314.31,329.39
253,2021-02,1052,265.9,253.12
254,2021-02,1053,287.6,295.79
255,2021-02,1054,371.41,377.45
256,2021-02,1055,308.06,294.73
257,2021-02,1056,257.73,256.38
258,2021-02,1057,323.12,347.62
259,2021-02,1058,363.59,365.07
260,2021-02,1059,307.88,324.23
261,2021-02,1060,95.88,96.64
262,2021-02,1061,62.67,61.91
263,2021-02,1062,94.33,99.77
264,2021-02,1063,88.46,86.14
265,2021-02,1064,113.91,122.84
266,2021-02,1065,82.14,78.76
267,2021-02,1066,86.97,83.94
268,2021-02,1067,106.03,102.84
269,2021-02,1068,106.01,101.07
270,2021-02,1069,118.44,112.86
271,2021-02,1070,74.85,73.61
272,2021-02,1071,67.16,71.2
273,2021-02,1072,88.85,95.61
274,2021-02,1073,96.5,100.92
275,2021-02,1074,69.76,74.74
276,2021-02,1075,111.95,115.49
277,2021-02,1076,70.84,69.12
278,2021-02,1077,84.42,81.67
279,2021-02,1078,116.79,125.96
280,2021-02,1079,96.97,99.72
281,2021-02,1080,385.7,387.9
282,2021-02,1081,407.79,395.34
283,2021-02,1082,583.21,597.15
284,2021-02,1083,361.68,387.23
285,2021-02,1084,374.39,371.25
286,2021-02,1085,436.64,434.41
287,2021-02,1086,479.74,467.67
288,2021-02,1087,337.15,345.43
289,2021-02,1088,606.9,618.74
290,2021-02,1089,483.35,500.01
291,2021-02,1090,535.63,542.21
292,2021-02,1091,458.59,451.29
293,2021-02,1092,622.06,644.8
294,2021-02,1093,525.17,509.49
295,2021-02,1094,470.43,475.08
296,2021-02,1095,288.9,304.56
297,2021-02,1096,643.64,641.86
298,2021-02,1097,405.96,400.15
299,2021-02,1098,449.82,465.77
300,2021-02,1099,454.69,490.34
301,2021-02,1100,972.42,997.31
302,2021-02,1101,875.39,936.28
303,2021-02,1102,875.94,893.19
304,2021-02,1103,1275.99,1233.02
305,2021-02,1104,690.12,712.92
306,2021-02,1105,890.08,950.05
307,2021-02,1106,748.43,760.31
308,2021-02,1107,951.13,974.21
309,2021-02,1108,905.4,952.39
310,2021-02,1109,790.67,793.0
311,2021-02,1110,1173.96,1121.62
312,2021-02,1111,842.35,820.11
313,2021-02,1112,934.6,1005.1
314,2021-02,1113,1122.82,1123.67
315,2021-02,1114,943.17,947.67
316,2021-02,1115,931.16,932.71
317,2021-02,1116,987.03,1024.59
318,2021-02,1117,851.17,835.33
319,2021-02,1118,748.89,804.08
320,2021-02,1119,1073.73,1048.78
321,2021-02,1120,65.96,70.93
322,2021-02,1121,46.16,48.8
323,2021-02,1122,57.35,55.33
324,2021-02,1123,50.18,50.91
325,2021-02,1124,62.29,65.96
326,2021-02,1125,55.28,58.61
327,2021-02,1126,45.54,48.26
328,2021-02,1127,65.8,66.15
329,2021-02,1128,37.42,37.01
330,2021-02,1129,51.94,49.87
331,2021-02,1130,61.87,63.73
332,2021-02,1131,66.88,67.49
333,2021-02,1132,54.65,56.87
334,2021-02,1133,72.75,77.47
335,2021-02,1134,52.45,52.47
336,2021-02,1135,53.2,54.08
337,2021-02,1136,48.55,51.76
338,2021-02,1137,48.18,48.29
339,2021-02,1138,55.53,57.54
340,2021-02,1139,60.35,61.68
341,2021-02,1140,894.78,925.5
342,2021-02,1141,553.41,539.25
343,2021-02,1142,526.66,507.81
344,2021-02,1143,677.66,650.11
345,2021-02,1144,533.19,572.21
346,2021-02,1145,588.82,571.1
347,2021-02,1146,502.88,487.07
348,2021-02,1147,605.53,649.35
349,2021-02,1148,561.34,579.04
350,2021-02,1149,741.58,771.77
351,2021-02,1150,592.04,610.72
352,2021-02,1151,489.25,504.24
353,2021-02,1152,716.66,705.77
354,2021-02,1153,525.56,554.33
355,2021-02,1154,587.23,625.07
356,2021-02,1155,624.63,672.62
357,2021-02,1156,481.79,519.82
358,2021-02,1157,682.7,678.75
359,2021-02,1158,691.4,667.53
360,2021-02,1159,571.35,596.68
361,2021-02,1160,56.57,54.44
362,2021-02,1161,46.94,46.13
363,2021-02,1162,53.05,52.42
364,2021-02,1163,38.06,38.23
365,2021-02,1164,31.75,33.36
366,2021-02,1165,47.13,50.87
367,2021-02,1166,47.72,46.23
368,2021-02,1167,44.22,46.42
369,2021-02,1168,43.74,46.1
370,2021-02,1169,40.39,42.93
371,2021-02,1170,56.38,55.66
372,2021-02,1171,39.33,39.47
373,2021-02,1172,43.08,45.51
374,2021-02,1173,39.94,41.96
375,2021-02,1174,39.19,41.92
376,2021-02,1175,49.78,48.13
377,2021-02,1176,52.66,51.52
378,2021-02,1177,37.79,37.37
379,2021-02,1178,37.48,37.57
380,2021-02,1179,35.68,35.22
381,2021-02,1180,114.2,115.14
382,2021-02,1181,84.98,81.44
383,2021-02,1182,81.59,86.96
384,2021-02,1183,54.76,53.99
385,2021-02,1184,67.67,67.95
386,2021-02,1185,102.92,99.97
387,2021-02,1186,93.98,90.11
388,2021-02,1187,125.11,128.84
389,2021-02,1188,80.94,82.4
390,2021-02,1189,95.26,93.82
391,2021-02,1190,98.27,95.17
392,2021-02,1191,108.47,110.24
393,2021-02,1192,105.27,103.75
394,2021-02,1193,71.69,72.15
395,2021-02,1194,105.58,113.63
396,2021-02,1195,100.96,108.23
397,2021-02,1196,70.15,73.67
398,2021-02,1197,77.18,81.84
399,2021-02,1198,95.91,95.17
400,2021-02,1199,80.85,77.21
401,2021-03,1000,539.26,570.44
402,2021-03,1001,510.1,516.76
403,2021-03,1002,547.08,541.0
404,2021-03,1003,791.8,781.74
405,2021-03,1004,567.08,539.78
406,2021-03,1005,538.39,512.81
407,2021-03,1006,602.46,624.87
408,2021-03,1007,631.78,602.52
409,2021-03,1008,557.28,572.13
410,2021-03,1009,618.5,642.16
411,2021-03,1010,743.82,768.78
412,2021-03,1011,667.76,665.47
413,2021-03,1012,689.65,688.46
414,2021-03,1013,661.06,672.73
415,2021-03,1014,904.79,956.83
416,2021-03,1015,621.61,643.94
417,2021-03,1016,798.62,783.38
418,2021-03,1017,709.01,760.51
419,2021-03,1018,735.83,767.69
420,2021-03,1019,671.34,657.56
421,2021-03,1020,415.52,423.06
422,2021-03,1021,542.07,558.54
423,2021-03,1022,499.31,499.14
424,2021-03,1023,528.46,517.61
425,2021-03,1024,384.8,369.72
426,2021-03,1025,579.99,587.45
427,2021-03,1026,510.28,548.5
428,2021-03,1027,359.28,365.47
429,2021-03,1028,359.63,350.36
430,2021-03,1029,433.08,432.67
431,2021-03,1030,462.18,443.49
432,2021-03,1031,428.22,455.5
433,2021-03,1032,410.27,395.41
434,2021-03,1033,504.24,516.05
435,2021-03,1034,455.92,471.02
436,2021-03,1035,488.64,482.48
437,2021-03,1036,444.47,459.49
438,2021-03,1037,467.09,449.62
439,2021-03,1038,446.53,471.83
440,2021-03,1039,570.83,562.29
441,2021-03,1040,232.31,244.35
442,2021-03,1041,250.3,241.63
443,2021-03,1042,324.11,332.29
444,2021-03,1043,276.4,285.25
445,2021-03,1044,303.35,321.24
446,2021-03,1045,306.96,298.61
447,2021-03,1046,373.38,387.9
448,2021-03,1047,335.54,342.68
449,2021-03,1048,413.75,403.17
450,2021-03,1049,288.72,297.23
451,2021-03,1050,390.43,409.34
452,2021-03,1051,320.01,336.93
453,2021-03,1052,262.74,265.24
454,2021-03,1053,276.24,275.34
455,2021-03,1054,378.67,407.64
456,2021-03,1055,304.98,297.85
457,2021-03,1056,249.13,242.51
458,2021-03,1057,311.22,308.3
459,2021-03,1058,376.36,370.74
460,2021-03,1059,319.15,304.02
461,2021-03,1060,96.83,100.2
462,2021-03,1061,63.58,63.5
463,2021-03,1062,96.8,97.11
464,2021-03,1063,85.92,88.52
465,2021-03,1064,107.77,115.04
466,2021-03,1065,81.68,78.34
467,2021-03,1066,87.6,86.98
468,2021-03,1067,100.75,100.67
469,2021-03,1068,104.92,109.48
470,2021-03,1069,116.44,120.82
471,2021-03,1070,76.36,75.05
472,2021-03,1071,67.24,68.42
473,2021-03,1072,89.02,91.44
474,2021-03,1073,99.14,96.6
475,2021-03,1074,68.71,73.11
476,2021-03,1075,110.08,112.51
477,2021-03,1076,69.55,69.78
478,2021-03,1077,85.53,82.53
479,2021-03,1078,121.1,124.74
480,2021-03,1079,100.28,97.27
481,2021-03,1080,373.28,393.36
482,2021-03,1081,412.5,410.81
483,2021-03,1082,582.87,563.23
484,2021-03,1083,369.29,366.75
485,2021-03,1084,395.77,389.58
486,2021-03,1085,434.09,428.74
487,2021-03,1086,470.99,464.61
488,2021-03,1087,346.55,351.03
489,2021-03,1088,592.5,568.18
490,2021-03,1089,470.26,477.68
491,2021-03,1090,532.75,515.02
492,2021-03,1091,464.48,467.89
493,2021-03,1092,623.31,662.25
494,2021-03,1093,513.22,549.0
495,2021-03,1094,525.8,565.0
496,2021-03,1095,308.19,312.69
497,2021-03,1096,666.69,694.44
498,2021-03,1097,409.61,406.87
499,2021-03,1098,446.05,479.3
500,2021-03,1099,460.95,497.33
501,2021-03,1100,949.58,971.93
502,2021-03,1101,836.97,848.74
503,2021-03,1102,889.62,922.08
504,2021-03,1103,1260.6,1305.73
505,2021-03,1104,666.78,669.08
506,2021-03,1105,895.64,880.81
507,2021-03,1106,753.8,779.1
508,2021-03,1107,970.41,1014.13
509,2021-03,1108,942.57,1013.48
510,2021-03,1109,794.73,791.36
511,2021-03,1110,1230.84,1327.52
512,2021-03,1111,823.46,829.34
513,2021-03,1112,880.16,888.36
514,2021-03,1113,1159.97,1236.46
515,2021-03,1114,872.5,844.37
516,2021-03,1115,996.31,952.36
517,2021-03,1116,990.45,990.31
518,2021-03,1117,821.03,872.25
519,2021-03,1118,785.75,834.27
520,2021-03,1119,1020.85,1076.98
521,2021-03,1120,63.11,60.2
522,2021-03,1121,46.94,46.1
523,2021-03,1122,56.47,56.23
524,2021-03,1123,48.51,46.19
525,2021-03,1124,63.07,67.63
526,2021-03,1125,54.76,58.64
527,2021-03,1126,44.48,42.81
528,2021-03,1127,69.59,67.9
529,2021-03,1128,37.32,37.41
530,2021-03,1129,52.9,51.22
531,2021-03,1130,60.75,64.27
532,2021-03,1131,65.58,69.9
533,2021-03,1132,55.44,57.77
534,2021-03,1133,73.91,79.14
535,2021-03,1134,54.11,52.78
536,2021-03,1135,52.56,55.08
537,2021-03,1136,50.06,48.54
538,2021-03,1137,48.07,45.72
539,2021-03,1138,59.02,56.32
540,2021-03,1139,62.91,63.26
541,2021-03,1140,894.71,882.28
542,2021-03,1141,574.24,594.43
543,2021-03,1142,506.22,528.51
544,2021-03,1143,683.35,710.71
545,2021-03,1144,533.78,539.68
546,2021-03,1145,578.13,586.06
547,2021-03,1146,497.06,516.15
548,2021-03,1147,582.87,579.95
549,2021-03,1148,515.77,508.03
550,2021-03,1149,704.61,732.11
551,2021-03,1150,599.11,614.37
552,2021-03,1151,461.74,460.49
553,2021-03,1152,711.14,760.28
554,2021-03,1153,535.32,554.65
555,2021-03,1154,589.52,593.27
556,2021-03,1155,597.76,580.78
557,2021-03,1156,470.36,486.34
558,2021-03,1157,677.4,681.87
559,2021-03,1158,657.0,675.31
560,2021-03,1159,578.2,612.57
561,2021-03,1160,58.15,62.24
562,2021-03,1161,46.58,48.9
563,2021-03,1162,55.16,53.34
564,2021-03,1163,38.33,38.86
565,2021-03,1164,31.88,31.13
566,2021-03,1165,50.45,53.76
567,2021-03,1166,48.87,50.86
568,2021-03,1167,46.73,45.72
569,2021-03,1168,42.58,42.36
570,2021-03,1169,41.08,40.32
571,2021-03,1170,55.67,56.98
572,2021-03,1171,38.76,37.96
573,2021-03,1172,42.98,41.6
574,2021-03,1173,39.85,38.79
575,2021-03,1174,39.12,41.75
576,2021-03,1175,47.88,45.88
577,2021-03,1176,50.17,48.19
578,2021-03,1177,38.27,37.37
579,2021-03,1178,35.88,36.59
580,2021-03,1179,35.57,34.57
581,2021-03,1180,118.45,125.37
582,2021-03,1181,86.84,89.99
583,2021-03,1182,83.55,87.16
584,2021-03,1183,54.88,56.22
585,2021-03,1184,67.35,68.41
586,2021-03,1185,103.93,99.07
587,2021-03,1186,96.93,97.74
588,2021-03,1187,122.18,125.9
589,2021-03,1188,79.82,77.27
590,2021-03,1189,91.62,88.67
591,2021-03,1190,98.97,104.55
592,2021-03,1191,110.68,109.75
593,2021-03,1192,104.63,112.26
594,2021-03,1193,75.05,72.86
595,2021-03,1194,107.67,107.96
596,2021-03,1195,103.47,104.28
597,2021-03,1196,69.28,74.25
598,2021-03,1197,78.17,82.92
599,2021-03,1198,102.83,101.06
600,2021-03,1199,77.56,74.25
601,2021-04,1000,540.45,575.79
602,2021-04,1001,531.47,530.03
603,2021-04,1002,547.17,573.84
604,2021-04,1003,808.6,803.5
605,2021-04,1004,560.56,574.13
606,2021-04,1005,585.1,563.1
607,2021-04,1006,592.13,634.53
608,2021-04,1007,634.36,619.09
609,2021-04,1008,572.83,611.59
610,2021-04,1009,617.31,622.52
611,2021-04,1010,794.74,798.57
612,2021-04,1011,692.13,689.29
613,2021-04,1012,661.13,679.23
614,2021-04,1013,682.74,682.07
615,2021-04,1014,910.42,932.17
616,2021-04,1015,670.81,721.88
617,2021-04,1016,784.24,746.96
618,2021-04,1017,725.48,711.53
619,2021-04,1018,714.01,706.44
620,2021-04,1019,687.61,681.03
621,2021-04,1020,429.96,441.54
622,2021-04,1021,547.5,578.32
623,2021-04,1022,483.55,472.43
624,2021-04,1023,511.27,517.56
625,2021-04,1024,391.91,377.38
626,2021-04,1025,577.98,600.84
627,2021-04,1026,506.37,520.71
628,2021-04,1027,332.19,354.01
629,2021-04,1028,362.07,371.1
630,2021-04,1029,418.21,429.4
631,2021-04,1030,479.19,460.12
632,2021-04,1031,467.09,491.83
633,2021-04,1032,425.26,458.33
634,2021-04,1033,516.05,546.14
635,2021-04,1034,484.34,474.84
636,2021-04,1035,443.4,464.47
637,2021-04,1036,460.4,476.83
638,2021-04,1037,480.58,498.71
639,2021-04,1038,441.06,424.31
640,2021-04,1039,537.65,543.4
641,2021-04,1040,231.26,230.12
642,2021-04,1041,244.36,258.1
643,2021-04,1042,311.76,306.58
644,2021-04,1043,278.72,269.81
645,2021-04,1044,305.57,326.19
646,2021-04,1045,311.72,330.84
647,2021-04,1046,375.74,398.1
648,2021-04,1047,342.96,348.54
649,2021-04,1048,413.46,411.52
650,2021-04,1049,272.69,289.17
651,2021-04,1050,365.21,358.74
652,2021-04,1051,327.62,339.58
653,2021-04,1052,252.35,269.1
654,2021-04,1053,286.21,279.78
655,2021-04,1054,358.77,368.34
656,2021-04,1055,314.68,337.61
657,2021-04,1056,255.06,257.47
658,2021-04,1057,314.23,302.79
659,2021-04,1058,387.86,369.57
660,2021-04,1059,312.64,333.1
661,2021-04,1060,100.84,103.11
662,2021-04,1061,61.04,60.74
663,2021-04,1062,96.97,101.59
664,2021-04,1063,90.53,95.09
665,2021-04,1064,105.26,101.2
666,2021-04,1065,81.66,79.31
667,2021-04,1066,88.33,85.65
668,2021-04,1067,108.59,113.5
669,2021-04,1068,103.84,105.18
670,2021-04,1069,113.19,109.69
671,2021-04,1070,75.31,72.78
672,2021-04,1071,69.14,71.41
673,2021-04,1072,92.7,91.35
674,2021-04,1073,102.54,105.96
675,2021-04,1074,68.84,72.38
676,2021-04,1075,108.45,109.9
677,2021-04,1076,71.23,76.64
678,2021-04,1077,88.63,94.53
679,2021-04,1078,118.16,112.33
680,2021-04,1079,96.31,92.95
681,2021-04,1080,369.56,354.52
682,2021-04,1081,391.42,421.45
683,2021-04,1082,599.3,627.49
684,2021-04,1083,379.9,373.79
685,2021-04,1084,378.36,374.65
686,2021-04,1085,458.27,442.23
687,2021-04,1086,479.39,474.43
688,2021-04,1087,363.68,376.23
689,2021-04,1088,571.83,577.21
690,2021-04,1089,492.35,492.84
691,2021-04,1090,520.08,511.22
692,2021-04,1091,444.81,480.1
693,2021-04,1092,631.27,641.21
694,2021-04,1093,519.53,512.72
695,2021-04,1094,519.37,512.38
696,2021-04,1095,282.42,302.01
697,2021-04,1096,647.28,698.1
698,2021-04,1097,390.44,409.23
699,2021-04,1098,447.23,468.27
700,2021-04,1099,468.99,489.67
701,2021-04,1100,911.96,970.12
702,2021-04,1101,872.17,895.99
703,2021-04,1102,873.3,934.62
704,2021-04,1103,1257.9,1211.77
705,2021-04,1104,678.79,697.29
706,2021-04,1105,901.67,870.6
707,2021-04,1106,750.32,809.0
708,2021-04,1107,1006.33,995.64
709,2021-04,1108,917.29,878.12
710,2021-04,1109,777.92,815.5
711,2021-04,1110,1199.03,1234.99
712,2021-04,1111,849.64,911.56
713,2021-04,1112,888.82,941.46
714,2021-04,1113,1160.87,1124.07
715,2021-04,1114,885.57,893.35
716,2021-04,1115,915.02,950.95
717,2021-04,1116,1018.61,1071.98
718,2021-04,1117,884.65,939.36
719,2021-04,1118,787.33,804.31
720,2021-04,1119,1071.42,1122.52
721,2021-04,1120,65.46,67.79
722,2021-04,1121,47.02,48.98
723,2021-04,1122,55.89,54.09
724,2021-04,1123,50.19,53.73
725,2021-04,1124,61.73,63.25
726,2021-04,1125,52.41,52.82
727,2021-04,1126,42.35,40.69
728,2021-04,1127,68.17,73.47
729,2021-04,1128,39.52,41.91
730,2021-04,1129,50.0,49.0
731,2021-04,1130,58.77,56.56
732,2021-04,1131,66.29,62.99
733,2021-04,1132,51.47,49.83
734,2021-04,1133,74.47,75.97
735,2021-04,1134,52.12,55.67
736,2021-04,1135,52.58,53.16
737,2021-04,1136,50.89,49.58
738,2021-04,1137,47.04,49.06
739,2021-04,1138,57.86,59.26
740,2021-04,1139,60.88,65.5
741,2021-04,1140,867.49,894.5
742,2021-04,1141,564.6,598.42
743,2021-04,1142,532.41,555.21
744,2021-04,1143,708.78,683.56
745,2021-04,1144,557.14,547.25
746,2021-04,1145,596.78,627.81
747,2021-04,1146,527.55,526.64
748,2021-04,1147,633.01,605.76
749,2021-04,1148,526.43,537.62
750,2021-04,1149,736.34,709.51
751,2021-04,1150,592.91,603.65
752,2021-04,1151,487.53,471.7
753,2021-04,1152,747.57,763.23
754,2021-04,1153,500.75,487.68
755,2021-04,1154,550.62,582.81
756,2021-04,1155,590.25,595.98
757,2021-04,1156,471.92,456.83
758,2021-04,1157,673.62,680.43
759,2021-04,1158,661.04,692.36
760,2021-04,1159,567.55,569.91
761,2021-04,1160,57.04,55.57
762,2021-04,1161,46.82,44.77
763,2021-04,1162,55.32,56.78
764,2021-04,1163,36.64,37.98
765,2021-04,1164,32.48,33.89
766,2021-04,1165,46.55,46.33
767,2021-04,1166,48.21,47.75
768,2021-04,1167,45.67,44.4
769,2021-04,1168,44.38,46.17
770,2021-04,1169,42.77,45.04
771,2021-04,1170,57.04,54.22
