activity_id,date_id,date,customer_id,sales_rep_id,activity_type,activity_minutes,sentiment_score,customer_health_score
70,20221029,2022-10-29,860,84,Visit,15,0.411,73.1
71,20210731,2021-07-31,345,36,Call,5,0.205,69.9
72,20231023,2023-10-23,726,75,Call,53,-0.675,49.4
73,20231018,2023-10-18,1033,55,Call,59,0.671,91.9
74,20240908,2024-09-08,541,1,Call,42,0.319,76.9
75,20221226,2022-12-26,1128,64,Business Review,45,0.474,67.2
76,20250823,2025-08-23,524,12,Demo,30,0.914,73.2
77,20240329,2024-03-29,873,76,Call,53,-0.272,64.1
78,20240607,2024-06-07,311,79,Call,62,-0.171,69.2
79,20240115,2024-01-15,1160,54,Email,20,-0.699,62.6
80,20241001,2024-10-01,466,32,Call,44,0.577,66.0
81,20250726,2025-07-26,630,58,Email,30,-0.305,73.8
82,20230629,2023-06-29,564,7,Email,5,0.276,68.7
83,20241101,2024-11-01,232,77,Business Review,35,-0.636,48.3
84,20220421,2022-04-21,39,83,Demo,34,1.374,68.2
85,20250608,2025-06-08,945,12,Visit,15,-0.233,56.0
86,20230602,2023-06-02,101,71,Call,14,0.331,62.4
87,20211029,2021-10-29,12,64,Email,5,0.265,77.2
88,20210117,2021-01-17,1019,62,Email,58,0.771,73.4
89,20230702,2023-07-02,520,66,Business Review,28,-0.296,53.7
90,20230806,2023-08-06,87,84,Call,25,-0.477,60.2
91,20220116,2022-01-16,401,73,Training,5,0.21,67.8
92,20211208,2021-12-08,1152,79,Visit,42,0.23,65.7
93,20230910,2023-09-10,928,18,Call,18,0.361,55.1
94,20240620,2024-06-20,446,60,Call,20,0.892,75.0
95,20240626,2024-06-26,843,8,Email,17,-0.189,68.5
96,20250828,2025-08-28,246,80,Demo,49,-0.656,63.6
97,20250713,2025-07-13,127,10,Visit,6,0.688,68.6
98,20231001,2023-10-01,850,59,Call,26,0.113,66.6
99,20240306,2024-03-06,1177,21,Call,30,-0.748,59.2
100,20240405,2024-04-05,976,80,Training,41,0.192,66.1
101,20220213,2022-02-13,124,16,Email,40,0.88,88.5
102,20231228,2023-12-28,528,76,Visit,54,0.218,75.5
103,20210515,2021-05-15,702,18,Email,62,0.737,82.9
104,20221109,2022-11-09,677,47,Call,27,0.225,71.1
105,20231003,2023-10-03,750,74,Email,51,0.749,63.0
106,20230420,2023-04-20,675,46,Email,31,0.301,64.5
107,20241106,2024-11-06,1019,22,Email,29,0.363,70.9
108,20241203,2024-12-03,580,63,Visit,63,0.263,68.5
109,20231220,2023-12-20,196,74,Email,38,0.37,85.2
110,20230407,2023-04-07,1173,46,Visit,6,0.901,76.9
111,20220125,2022-01-25,782,76,Call,24,0.03,66.8
112,20220418,2022-04-18,1198,8,Email,13,0.297,64.7
113,20240523,2024-05-23,532,13,Email,48,0.397,50.4
114,20250928,2025-09-28,518,1,Email,40,-0.252,61.3
115,20211209,2021-12-09,1024,35,Call,5,0.034,56.1
116,20231011,2023-10-11,842,35,Email,8,0.541,68.7
117,20231005,2023-10-05,689,44,Email,56,-0.915,58.7
118,20250827,2025-08-27,786,65,Email,39,0.559,76.1
119,20240118,2024-01-18,586,75,Training,56,0.067,67.1
120,20220822,2022-08-22,275,37,Call,38,1.0,66.5
121,20240926,2024-09-26,717,20,Email,30,-0.064,55.2
122,20250516,2025-05-16,343,21,Visit,41,0.119,69.8
123,20250904,2025-09-04,413,58,Training,61,0.053,68.7
124,20230526,2023-05-26,998,48,Email,41,0.079,66.6
125,20250326,2025-03-26,918,72,Email,5,-0.888,56.3
126,20220815,2022-08-15,479,11,Call,48,0.365,81.8
127,20250417,2025-04-17,107,29,Call,14,-0.218,70.8
128,20220703,2022-07-03,784,60,Call,11,-0.81,68.3
129,20230325,2023-03-25,717,62,Business Review,37,0.551,67.5
130,20250414,2025-04-14,990,37,Email,16,-0.859,54.9
131,20211101,2021-11-01,895,25,Call,6,-0.022,69.9
132,20240217,2024-02-17,411,6,Email,22,0.32,76.2
133,20240921,2024-09-21,1028,63,Training,17,-0.624,56.8
134,20230616,2023-06-16,1155,18,Call,54,-0.757,55.6
135,20221113,2022-11-13,8,59,Email,56,0.058,66.6
136,20211213,2021-12-13,534,57,Visit,29,0.848,87.8
137,20231004,2023-10-04,1077,50,Call,48,0.489,84.2
138,20250522,2025-05-22,212,54,Business Review,5,0.639,80.3
139,20241119,2024-11-19,278,56,Demo,7,0.286,67.0
140,20220218,2022-02-18,1172,35,Visit,60,0.431,82.2
141,20251111,2025-11-11,683,24,Call,36,0.931,80.2
142,20250829,2025-08-29,723,51,Email,14,0.813,75.8
143,20241004,2024-10-04,257,40,Call,45,0.263,55.9
144,20240820,2024-08-20,508,15,Training,41,0.268,74.0
145,20220219,2022-02-19,130,34,Email,38,0.231,75.9
146,20250421,2025-04-21,903,13,Email,8,-0.014,74.3
147,20250812,2025-08-12,559,22,Email,37,1.163,90.8
148,20250316,2025-03-16,511,62,Email,5,-0.298,52.9
149,20220329,2022-03-29,387,27,Email,25,0.443,57.9
150,20250725,2025-07-25,983,9,Email,5,-1.115,62.0
151,20231223,2023-12-23,999,23,Call,51,-0.565,62.7
152,20251121,2025-11-21,344,19,Email,10,0.313,70.9
153,20240508,2024-05-08,433,57,Email,33,0.815,70.8
154,20220607,2022-06-07,200,45,Call,34,0.135,62.6
155,20240718,2024-07-18,263,2,Email,75,0.085,69.4
156,20210214,2021-02-14,100,6,Email,64,0.116,57.5
157,20241216,2024-12-16,798,5,Visit,46,0.489,71.9
158,20210721,2021-07-21,786,48,Business Review,39,0.587,63.1
159,20211122,2021-11-22,1011,21,Call,54,0.083,75.1
160,20241207,2024-12-07,890,3,Call,13,0.028,71.2
161,20210820,2021-08-20,357,22,Visit,21,-0.037,60.8
162,20220627,2022-06-27,328,77,Demo,5,-0.122,68.8
163,20210224,2021-02-24,640,20,Call,20,1.589,91.9
164,20250109,2025-01-09,922,3,Training,5,0.375,53.9
165,20230909,2023-09-09,510,54,Email,15,0.374,67.3
166,20230416,2023-04-16,184,9,Business Review,36,0.368,74.7
167,20251205,2025-12-05,1122,50,Training,31,0.021,58.0
168,20240324,2024-03-24,541,21,Email,24,0.214,58.1
169,20230501,2023-05-01,1116,74,Call,10,0.608,76.3
170,20210203,2021-02-03,1189,69,Call,26,-0.038,76.4
171,20210511,2021-05-11,569,58,Call,17,-0.448,64.1
172,20211112,2021-11-12,722,72,Visit,31,-0.579,62.1
173,20211222,2021-12-22,981,59,Call,28,0.275,70.6
174,20240820,2024-08-20,501,48,Call,32,0.469,73.5
175,20241020,2024-10-20,886,4,Email,70,0.282,86.4
176,20230928,2023-09-28,595,3,Call,49,-0.348,60.9
177,20210809,2021-08-09,579,35,Call,44,-0.231,70.5
178,20210101,2021-01-01,575,20,Call,19,-0.431,60.0
179,20250702,2025-07-02,326,60,Call,5,0.515,60.7
180,20220327,2022-03-27,622,44,Email,35,-0.173,73.6
181,20230710,2023-07-10,577,24,Demo,27,-0.111,55.3
182,20250601,2025-06-01,248,2,Email,14,0.584,83.3
183,20230715,2023-07-15,311,30,Call,79,0.637,78.1
184,20221229,2022-12-29,62,19,Call,27,-0.552,70.6
185,20240526,2024-05-26,1161,29,Email,22,0.072,81.8
186,20220626,2022-06-26,923,29,Email,20,0.781,84.9
187,20240317,2024-03-17,939,27,Visit,57,0.124,76.1
188,20211011,2021-10-11,98,49,Call,35,0.416,68.2
189,20220603,2022-06-03,716,48,Email,5,-0.042,55.3
190,20250726,2025-07-26,305,9,Call,35,-0.464,49.1
191,20230106,2023-01-06,763,66,Training,27,0.421,63.5
192,20210719,2021-07-19,570,7,Call,27,-0.373,60.2
193,20210821,2021-08-21,387,55,Demo,27,-0.57,61.0
194,20230719,2023-07-19,637,85,Visit,41,0.929,83.8
195,20231030,2023-10-30,709,2,Training,45,-0.059,64.0
196,20220626,2022-06-26,907,77,Email,46,-0.616,60.2
197,20220704,2022-07-04,299,57,Call,19,-0.639,67.6
198,20230715,2023-07-15,772,22,Call,8,0.535,63.6
199,20210722,2021-07-22,262,72,Call,38,0.018,72.3
200,20211204,2021-12-04,667,76,Email,10,0.112,65.9
201,20210124,2021-01-24,1073,64,Email,63,-0.062,82.1
202,20250903,2025-09-03,547,53,Call,5,0.85,76.1
203,20231004,2023-10-04,686,84,Call,57,0.533,84.2
204,20241112,2024-11-12,182,29,Demo,33,-0.134,44.6
205,20231003,2023-10-03,743,75,Demo,24,-0.79,49.4
206,20221009,2022-10-09,930,79,Call,32,0.557,84.0
207,20210707,2021-07-07,461,10,Call,29,-0.485,64.1
208,20251228,2025-12-28,1092,61,Business Review,7,0.439,79.9
209,20210220,2021-02-20,915,65,Visit,24,-0.681,50.2
210,20220324,2022-03-24,538,48,Call,8,0.219,62.0
211,20220815,2022-08-15,381,68,Email,26,1.155,89.4
212,20210827,2021-08-27,9,85,Business Review,36,0.06,79.4
213,20220115,2022-01-15,1011,25,Email,16,0.078,61.2
214,20240301,2024-03-01,9,24,Call,14,-0.026,70.3
215,20250207,2025-02-07,223,69,Call,56,0.27,58.9
216,20211001,2021-10-01,553,22,Demo,57,-0.179,70.6
217,20211122,2021-11-22,857,67,Email,38,0.083,71.2
218,20211214,2021-12-14,1021,75,Email,44,0.358,76.8
219,20240927,2024-09-27,725,20,Call,58,0.688,80.7
220,20210806,2021-08-06,564,76,Call,18,1.266,90.3
221,20230811,2023-08-11,1011,51,Email,29,0.114,51.0
222,20230720,2023-07-20,693,20,Call,30,0.54,68.4
223,20210806,2021-08-06,26,51,Email,30,1.089,100.0
224,20220615,2022-06-15,14,32,Email,32,-0.144,53.8
225,20211208,2021-12-08,735,4,Call,57,0.374,81.8
226,20240622,2024-06-22,843,71,Call,12,0.192,72.0
227,20230916,2023-09-16,1070,62,Visit,17,0.622,76.5
228,20221028,2022-10-28,161,11,Email,49,-1.022,51.4
229,20231028,2023-10-28,569,38,Visit,58,0.386,72.7
230,20241106,2024-11-06,357,26,Call,18,-0.183,56.1
231,20250720,2025-07-20,468,28,Email,57,-0.019,58.2
232,20210516,2021-05-16,532,31,Email,37,-0.615,57.6
233,20230218,2023-02-18,957,72,Call,30,0.004,81.4
234,20240619,2024-06-19,552,17,Email,19,-0.34,67.5
235,20240717,2024-07-17,482,31,Call,34,0.15,76.3
236,20220402,2022-04-02,424,56,Email,29,0.427,65.3
237,20210710,2021-07-10,876,32,Visit,32,-0.725,64.4
238,20230303,2023-03-03,308,73,Demo,53,0.825,70.0
239,20251229,2025-12-29,530,85,Email,29,0.474,75.6
240,20231209,2023-12-09,595,60,Call,32,0.32,56.7
241,20231015,2023-10-15,837,83,Training,36,0.267,88.2
242,20210312,2021-03-12,798,46,Email,5,0.409,65.4
243,20230718,2023-07-18,946,51,Demo,33,0.015,65.6
244,20240827,2024-08-27,332,70,Call,21,0.619,65.5
245,20220905,2022-09-05,559,63,Call,44,-0.565,62.0
246,20250731,2025-07-31,122,81,Email,6,-0.592,62.3
247,20250517,2025-05-17,425,28,Email,29,-0.316,56.4
248,20240224,2024-02-24,82,65,Call,73,0.166,71.2
249,20211207,2021-12-07,426,72,Email,46,-0.578,60.4
250,20251216,2025-12-16,28,28,Email,5,0.312,75.4
251,20210103,2021-01-03,496,33,Call,51,-0.262,55.3
252,20221109,2022-11-09,789,57,Call,46,0.215,77.6
253,20250116,2025-01-16,773,65,Demo,32,0.288,72.4
254,20230109,2023-01-09,67,30,Training,23,0.045,75.2
255,20210616,2021-06-16,297,37,Call,38,1.132,65.7
256,20210109,2021-01-09,564,33,Visit,58,0.261,60.7
257,20230207,2023-02-07,694,39,Demo,37,0.559,79.4
258,20240430,2024-04-30,131,84,Training,26,0.103,64.8
259,20210327,2021-03-27,245,11,Demo,42,-0.17,73.5
260,20210918,2021-09-18,531,66,Email,62,0.093,62.5
261,20250730,2025-07-30,167,78,Email,26,0.46,59.4
262,20211213,2021-12-13,474,12,Email,34,0.488,69.7
263,20210512,2021-05-12,697,45,Email,52,0.425,57.0
264,20241220,2024-12-20,500,17,Business Review,77,0.635,82.3
265,20211117,2021-11-17,919,14,Demo,37,-0.27,67.6
266,20250814,2025-08-14,634,22,Call,54,-0.263,63.1
267,20210910,2021-09-10,8,4,Call,28,-0.464,64.9
268,20240408,2024-04-08,469,57,Call,39,0.179,60.5
269,20230629,2023-06-29,178,80,Email,61,1.269,98.5
270,20210117,2021-01-17,489,29,Call,5,0.789,78.3
271,20240319,2024-03-19,173,8,Email,30,1.117,72.6
272,20221207,2022-12-07,658,69,Demo,15,-0.49,42.6
273,20230805,2023-08-05,1184,65,Email,20,-0.063,79.1
274,20241011,2024-10-11,104,8,Call,30,-0.658,48.7
275,20230610,2023-06-10,678,2,Call,34,0.308,84.5
276,20220607,2022-06-07,712,33,Demo,13,0.252,65.6
277,20251008,2025-10-08,602,79,Demo,40,0.389,74.3
278,20230606,2023-06-06,148,38,Email,64,-0.211,54.1
279,20230919,2023-09-19,119,14,Call,5,0.16,73.6
280,20240124,2024-01-24,173,67,Visit,42,0.373,61.6
281,20230120,2023-01-20,678,76,Visit,79,-0.904,55.5
282,20250613,2025-06-13,52,72,Email,23,-0.145,60.5
283,20250329,2025-03-29,1167,52,Email,17,0.186,79.5
284,20250501,2025-05-01,592,22,Call,5,-0.364,70.4
285,20240305,2024-03-05,691,36,Email,11,0.841,90.5
286,20251105,2025-11-05,633,38,Email,16,0.503,60.8
287,20210916,2021-09-16,80,14,Training,5,0.443,71.8
288,20241209,2024-12-09,260,45,Visit,27,-0.212,55.9
289,20210121,2021-01-21,537,59,Visit,38,0.341,72.4
290,20250601,2025-06-01,692,61,Visit,67,0.453,85.4
291,20240227,2024-02-27,401,61,Call,58,-0.109,73.6
292,20211007,2021-10-07,577,18,Training,44,0.679,83.7
293,20240807,2024-08-07,954,63,Call,42,-1.231,63.0
294,20230519,2023-05-19,1028,68,Email,56,0.094,78.4
295,20241010,2024-10-10,17,53,Email,28,0.021,61.1
296,20220829,2022-08-29,122,63,Call,34,-0.069,69.4
297,20240122,2024-01-22,569,6,Email,5,0.105,80.6
298,20231208,2023-12-08,1065,33,Call,30,-0.454,53.2
299,20230220,2023-02-20,678,8,Call,7,1.476,84.2
300,20240102,2024-01-02,119,19,Email,23,0.138,66.9
301,20221228,2022-12-28,801,78,Business Review,5,0.195,65.7
302,20250418,2025-04-18,356,30,Demo,79,0.506,64.9
303,20230512,2023-05-12,252,35,Email,47,0.659,85.0
304,20211023,2021-10-23,588,39,Demo,63,0.138,68.9
305,20230731,2023-07-31,592,58,Email,47,0.638,63.6
306,20240221,2024-02-21,163,82,Email,57,0.184,66.6
307,20230515,2023-05-15,971,26,Email,39,0.416,66.6
308,20210215,2021-02-15,862,41,Email,55,-0.224,77.0
309,20211002,2021-10-02,989,36,Email,35,-0.129,51.7
310,20220104,2022-01-04,449,82,Business Review,25,-0.65,38.0
311,20250712,2025-07-12,977,9,Business Review,42,0.36,68.8
312,20250805,2025-08-05,467,22,Email,5,0.122,73.4
313,20231128,2023-11-28,317,77,Call,55,-0.682,57.6
314,20220812,2022-08-12,1135,22,Demo,40,0.609,62.9
315,20240911,2024-09-11,592,40,Visit,65,0.533,60.1
316,20250513,2025-05-13,602,27,Email,64,0.578,83.6
317,20250331,2025-03-31,17,3,Business Review,25,-0.511,59.6
318,20230704,2023-07-04,1044,24,Email,54,1.34,90.7
319,20231023,2023-10-23,515,80,Visit,42,-0.33,43.8
320,20230919,2023-09-19,277,6,Email,11,1.182,83.9
321,20221127,2022-11-27,703,17,Email,25,1.76,75.7
322,20211203,2021-12-03,1060,15,Call,40,-0.568,47.6
323,20220929,2022-09-29,833,64,Call,65,0.472,51.8
324,20250721,2025-07-21,146,16,Call,13,-0.409,51.9
325,20221230,2022-12-30,892,27,Email,46,0.263,74.8
326,20210101,2021-01-01,1070,58,Email,56,-0.399,53.0
327,20251228,2025-12-28,246,84,Email,15,-1.272,51.4
328,20211013,2021-10-13,1170,7,Email,28,0.195,78.2
329,20220907,2022-09-07,733,15,Call,45,-0.233,53.6
330,20220914,2022-09-14,935,50,Visit,12,-1.022,31.5
331,20240529,2024-05-29,1014,16,Call,54,0.178,72.7
332,20221215,2022-12-15,895,61,Business Review,61,0.205,62.9
333,20210801,2021-08-01,853,72,Email,5,-0.724,37.7
334,20230629,2023-06-29,645,25,Call,44,1.147,86.6
335,20230119,2023-01-19,860,21,Call,25,-0.036,58.6
336,20240323,2024-03-23,806,56,Training,55,0.301,75.7
337,20251226,2025-12-26,688,27,Demo,11,-0.375,68.7
338,20230403,2023-04-03,698,12,Call,5,1.019,74.0
339,20230506,2023-05-06,975,58,Demo,31,0.096,69.2
340,20220404,2022-04-04,28,14,Visit,41,0.058,63.4
341,20240314,2024-03-14,78,75,Visit,21,0.125,67.8
342,20240307,2024-03-07,902,22,Call,37,0.682,73.7
343,20211004,2021-10-04,429,57,Call,5,-1.263,58.3
344,20211215,2021-12-15,52,83,Call,5,0.308,55.7
345,20231025,2023-10-25,242,69,Visit,5,0.272,59.1
346,20211201,2021-12-01,577,28,Email,5,-0.186,58.1
347,20230602,2023-06-02,773,71,Email,17,2.158,91.9
348,20220514,2022-05-14,755,5,Email,32,-0.774,46.2
349,20220205,2022-02-05,730,70,Call,22,-0.398,46.5
350,20240527,2024-05-27,1010,19,Business Review,78,-0.772,55.3
351,20251202,2025-12-02,927,39,Call,57,-0.237,62.1
352,20221016,2022-10-16,616,39,Email,41,-0.502,50.1
353,20210620,2021-06-20,678,28,Training,34,-0.172,55.3
354,20250528,2025-05-28,756,28,Email,33,-0.08,67.3
355,20210919,2021-09-19,297,35,Business Review,41,0.379,62.6
356,20210128,2021-01-28,1169,1,Demo,51,-0.51,55.4
357,20231017,2023-10-17,592,83,Call,20,-0.17,70.3
358,20230127,2023-01-27,836,84,Call,23,0.532,80.0
359,20231021,2023-10-21,766,30,Call,27,-0.466,46.2
360,20230325,2023-03-25,1041,48,Email,32,-0.558,42.9
361,20220420,2022-04-20,108,41,Visit,37,0.474,77.8
362,20240111,2024-01-11,623,66,Visit,41,0.265,63.5
363,20250305,2025-03-05,496,49,Business Review,27,-0.0,66.0
364,20230527,2023-05-27,1161,64,Call,9,0.237,82.8
365,20210330,2021-03-30,98,1,Email,46,-0.493,56.2
366,20250701,2025-07-01,907,15,Visit,50,0.658,65.8
367,20230602,2023-06-02,578,32,Call,70,0.494,70.9
368,20240206,2024-02-06,266,57,Email,50,0.219,55.9
369,20211103,2021-11-03,1077,41,Email,10,0.487,82.3
370,20240310,2024-03-10,1075,44,Email,31,-0.108,67.8
371,20250427,2025-04-27,14,37,Demo,35,0.894,79.9
372,20220421,2022-04-21,480,12,Training,66,-0.133,59.0
373,20220426,2022-04-26,173,76,Call,14,-0.055,46.5
374,20221009,2022-10-09,400,78,Call,17,0.374,71.5
375,20241210,2024-12-10,1122,52,Email,35,0.551,77.6
376,20250808,2025-08-08,668,22,Email,38,-0.304,71.2
377,20240228,2024-02-28,186,60,Call,24,1.168,80.8
378,20210831,2021-08-31,1050,29,Demo,39,0.853,78.1
379,20240920,2024-09-20,634,63,Call,8,-0.077,67.7
380,20230523,2023-05-23,898,20,Call,57,-0.704,53.7
381,20240617,2024-06-17,404,7,Email,31,-0.48,51.9
382,20221102,2022-11-02,980,85,Email,25,-0.606,54.7
383,20220515,2022-05-15,369,14,Visit,32,0.143,70.0
384,20251119,2025-11-19,516,10,Email,23,0.456,68.3
385,20211012,2021-10-12,784,30,Email,44,0.364,74.1
386,20250621,2025-06-21,912,9,Email,57,-0.922,41.9
387,20241004,2024-10-04,226,74,Call,41,0.782,72.4
388,20220205,2022-02-05,903,74,Visit,5,0.655,75.7
389,20220825,2022-08-25,301,4,Call,21,-0.091,60.2
390,20211021,2021-10-21,1197,77,Call,38,0.066,61.9
391,20220426,2022-04-26,922,7,Email,44,0.152,91.1
392,20250112,2025-01-12,678,8,Business Review,14,0.516,68.5
393,20220515,2022-05-15,910,27,Call,44,-0.43,72.2
394,20210224,2021-02-24,269,49,Email,23,0.304,72.7
395,20210128,2021-01-28,401,55,Training,19,0.689,68.8
396,20240921,2024-09-21,869,43,Email,32,0.053,57.2
397,20231101,2023-11-01,1042,58,Call,41,0.31,70.4
398,20220204,2022-02-04,1014,24,Visit,45,0.29,50.1
399,20231031,2023-10-31,689,44,Business Review,57,-1.069,64.7
400,20250822,2025-08-22,1198,64,Email,12,0.01,65.6
401,20221206,2022-12-06,1110,26,Call,8,-0.139,70.1
402,20230727,2023-07-27,1161,48,Call,26,0.245,70.8
403,20250618,2025-06-18,637,35,Visit,44,0.072,54.3
404,20220327,2022-03-27,157,33,Email,27,0.014,65.3
405,20220315,2022-03-15,173,14,Call,32,0.808,86.6
406,20251215,2025-12-15,982,62,Demo,5,0.069,57.8
407,20240823,2024-08-23,246,25,Visit,64,0.185,58.7
408,20230716,2023-07-16,534,85,Training,35,0.317,70.5
409,20210907,2021-09-07,1036,9,Demo,22,0.878,76.8
410,20220501,2022-05-01,56,11,Email,5,0.407,79.1
411,20250214,2025-02-14,623,77,Email,30,-0.414,59.6
412,20240614,2024-06-14,9,21,Call,62,-0.062,60.1
413,20210815,2021-08-15,533,63,Demo,34,0.297,66.2
414,20230921,2023-09-21,35,68,Training,28,-0.181,65.9
415,20210628,2021-06-28,736,76,Training,13,0.53,61.9
416,20230613,2023-06-13,167,77,Email,32,-0.22,56.0
417,20210530,2021-05-30,789,47,Email,54,0.396,73.8
418,20241107,2024-11-07,1144,20,Demo,17,0.233,62.1
419,20241211,2024-12-11,1137,43,Email,21,-0.184,58.4
420,20250519,2025-05-19,891,26,Call,35,-0.393,43.9
421,20220409,2022-04-09,310,47,Call,27,-0.678,43.2
422,20240602,2024-06-02,1148,3,Email,28,-0.747,58.6
423,20220103,2022-01-03,1006,31,Call,31,-0.195,73.2
424,20210102,2021-01-02,668,66,Call,28,-0.149,65.1
425,20240301,2024-03-01,486,80,Call,50,-0.073,63.7
426,20251115,2025-11-15,733,10,Email,26,0.126,79.3
427,20230404,2023-04-04,140,83,Email,69,-0.184,70.9
428,20230521,2023-05-21,1084,22,Email,30,-0.485,53.9
429,20241226,2024-12-26,586,45,Call,15,0.441,54.0
430,20210816,2021-08-16,630,58,Call,17,-0.402,61.3
431,20220901,2022-09-01,719,71,Call,55,-0.622,61.5
432,20251222,2025-12-22,306,5,Visit,17,-0.844,53.9
433,20241226,2024-12-26,561,5,Email,29,-0.19,56.8
434,20240825,2024-08-25,969,21,Visit,58,0.11,67.3
435,20230816,2023-08-16,627,53,Demo,44,1.115,80.6
436,20230115,2023-01-15,553,32,Visit,24,0.245,76.5
437,20211202,2021-12-02,689,24,Call,56,-0.249,61.8
438,20221013,2022-10-13,380,61,Call,36,0.72,78.3
439,20231216,2023-12-16,17,10,Visit,23,-0.002,69.5
440,20220617,2022-06-17,702,68,Visit,35,0.318,78.2
441,20241119,2024-11-19,196,12,Call,29,-0.015,59.6
442,20210203,2021-02-03,275,61,Visit,36,0.39,80.6
443,20211023,2021-10-23,968,38,Email,38,-0.024,58.2
444,20210412,2021-04-12,923,66,Visit,22,0.165,71.7
445,20210327,2021-03-27,459,40,Email,72,1.019,71.7
446,20240922,2024-09-22,1062,25,Email,36,0.84,93.6
447,20211025,2021-10-25,39,36,Call,27,0.05,52.3
448,20240505,2024-05-05,921,58,Email,5,0.691,71.7
449,20250923,2025-09-23,437,77,Call,35,1.029,84.0
450,20240919,2024-09-19,43,16,Demo,50,-0.458,61.5
