inventory_id,year_month,product_id,region_id,opening_stock_units,production_units,ending_stock_units,stockout_flag,inventory_value_eur
71,2021-01,1013,1,33,57,45,False,25457.79
72,2021-01,1013,2,28,67,48,False,15442.02
73,2021-01,1013,3,42,53,58,False,29034.41
74,2021-01,1013,4,101,99,121,False,73132.96
75,2021-01,1013,5,272,211,329,False,152469.09
76,2021-01,1013,6,139,68,116,False,32977.46
77,2021-01,1013,8,58,46,67,False,5236.15
78,2021-01,1014,1,217,172,221,False,65285.39
79,2021-01,1014,2,97,64,95,False,30953.55
80,2021-01,1014,4,78,74,95,False,57034.87
81,2021-01,1014,5,29,39,35,False,1249.85
82,2021-01,1014,6,29,50,36,False,12711.46
83,2021-01,1014,7,94,58,84,False,10833.29
84,2021-01,1015,1,98,124,125,False,24870.35
85,2021-01,1015,2,177,106,181,False,108725.2
86,2021-01,1015,3,25,22,22,False,3405.89
87,2021-01,1015,6,6,7,6,False,3579.46
88,2021-01,1016,2,115,74,118,False,5173.57
89,2021-01,1016,4,56,83,50,False,25995.63
90,2021-01,1016,5,13,19,16,False,2994.16
91,2021-01,1016,6,33,41,36,False,18630.09
92,2021-01,1016,9,133,125,119,False,49204.54
93,2021-01,1017,1,19,13,21,False,1563.18
94,2021-01,1017,3,147,122,172,False,64705.47
95,2021-01,1017,5,31,30,25,False,3709.79
96,2021-01,1017,6,342,200,332,False,88524.06
97,2021-01,1017,9,55,34,50,False,4697.99
98,2021-01,1018,1,70,75,73,False,46963.1
99,2021-01,1018,4,27,35,35,False,13124.8
100,2021-01,1018,6,20,16,17,False,3133.78
101,2021-01,1018,8,27,25,29,False,15765.07
102,2021-01,1018,9,4,4,2,False,402.79
103,2021-01,1019,1,145,192,107,False,64797.22
104,2021-01,1019,2,71,81,91,False,12023.06
105,2021-01,1019,3,14,21,18,False,5961.78
106,2021-01,1019,4,79,108,74,False,24791.47
107,2021-01,1019,5,21,40,30,False,6299.36
108,2021-01,1019,6,205,181,226,False,121487.63
109,2021-01,1019,7,9,8,8,False,2204.57
110,2021-01,1019,9,16,16,15,False,7490.85
111,2021-01,1020,1,97,75,116,False,58851.08
112,2021-01,1020,2,18,17,20,False,12171.03
113,2021-01,1020,5,195,154,156,False,9749.96
114,2021-01,1020,6,82,61,81,False,44192.72
115,2021-01,1020,8,40,21,38,False,14200.4
116,2021-01,1021,1,106,213,171,False,78090.78
117,2021-01,1021,5,69,46,62,False,37003.72
118,2021-01,1021,6,49,41,38,False,22474.17
119,2021-01,1021,8,17,15,11,False,3791.17
120,2021-01,1021,9,7,11,9,False,396.6
121,2021-01,1021,10,78,48,67,False,30998.43
122,2021-01,1022,1,9,12,7,False,4407.15
123,2021-01,1022,3,20,29,20,False,3000.53
124,2021-01,1022,5,44,31,48,False,3839.18
125,2021-01,1022,9,16,15,17,False,6474.28
126,2021-01,1023,1,64,48,68,False,4466.38
127,2021-01,1023,2,218,202,243,False,65846.53
128,2021-01,1023,3,121,106,153,False,75992.49
129,2021-01,1023,4,153,166,198,False,80660.99
130,2021-01,1023,6,174,187,150,False,53319.67
131,2021-01,1023,7,37,30,43,False,5010.02
132,2021-01,1024,1,164,170,216,False,104651.27
133,2021-01,1024,3,42,79,59,False,21039.07
134,2021-01,1024,5,44,59,58,False,22841.04
135,2021-01,1024,8,101,72,84,False,24533.39
136,2021-01,1025,1,6,11,8,False,4445.46
137,2021-01,1025,2,24,32,29,False,18183.11
138,2021-01,1025,6,33,60,51,False,32787.23
139,2021-01,1025,10,82,60,88,False,23718.54
140,2021-01,1026,1,178,128,196,False,102011.42
141,2021-01,1026,2,3,3,3,False,1119.14
142,2021-01,1026,4,72,41,66,False,18943.13
143,2021-01,1026,6,83,78,103,False,61087.89
144,2021-01,1026,9,72,79,48,False,2926.04
145,2021-01,1027,1,20,12,19,False,4152.37
146,2021-01,1027,2,3,2,3,False,110.25
147,2021-01,1027,5,15,12,14,False,6664.43
148,2021-01,1027,6,24,22,30,False,6248.23
149,2021-01,1027,10,57,71,50,False,27681.42
150,2021-01,1028,1,32,30,35,False,3346.05
151,2021-01,1028,2,36,34,35,False,9505.62
152,2021-01,1028,3,236,447,353,False,72564.83
153,2021-01,1028,4,58,54,68,False,14348.67
154,2021-01,1028,6,360,260,404,False,202299.21
155,2021-01,1028,9,21,22,23,False,8294.98
156,2021-01,1029,1,232,175,256,False,104377.06
157,2021-01,1029,3,125,89,110,False,19853.81
158,2021-01,1029,5,33,63,48,False,8256.44
159,2021-01,1029,6,69,152,113,False,63444.9
160,2021-01,1029,8,30,25,24,False,15075.05
161,2021-01,1029,9,23,28,22,False,8955.6
162,2021-01,1030,1,260,182,281,False,125764.27
163,2021-01,1030,3,14,8,12,False,4125.0
164,2021-01,1030,4,25,47,32,False,14896.26
165,2021-01,1030,7,154,192,117,False,66915.85
166,2021-01,1030,8,9,13,11,False,3804.09
167,2021-01,1030,9,382,188,349,False,58400.38
168,2021-01,1031,1,27,26,30,False,12440.72
169,2021-01,1031,2,85,71,104,False,64585.49
170,2021-01,1031,4,31,33,39,False,11027.32
171,2021-01,1031,5,41,61,46,False,22035.96
172,2021-01,1031,6,37,17,33,False,12360.2
173,2021-01,1031,7,66,47,53,False,3318.5
174,2021-01,1031,8,45,40,53,False,8541.47
175,2021-01,1032,1,473,773,621,False,24738.5
176,2021-01,1032,2,131,100,121,False,49748.72
177,2021-01,1032,4,6,7,6,False,1973.2
178,2021-01,1032,5,81,39,72,False,29225.97
179,2021-01,1032,8,36,23,30,False,2620.87
180,2021-01,1033,1,8,14,9,False,1734.61
181,2021-01,1033,2,66,79,90,False,24132.66
182,2021-01,1033,4,83,55,78,False,18738.54
183,2021-01,1033,5,8,5,8,False,2077.41
184,2021-01,1033,6,25,32,18,False,6180.54
185,2021-01,1033,8,27,24,19,False,1621.87
186,2021-01,1034,1,102,45,89,False,3743.16
187,2021-01,1034,4,68,79,76,False,6616.88
188,2021-01,1034,5,38,49,52,False,23418.52
189,2021-01,1034,6,12,18,11,False,973.57
190,2021-01,1034,7,84,144,115,False,24209.26
191,2021-01,1034,8,34,31,42,False,13103.54
192,2021-01,1035,1,40,25,33,False,13998.06
193,2021-01,1035,4,7,11,7,False,3460.19
194,2021-01,1035,5,41,45,45,False,10658.92
195,2021-01,1035,6,120,131,112,False,70563.92
196,2021-01,1036,1,99,60,93,False,36218.8
197,2021-01,1036,3,153,131,186,False,10811.11
198,2021-01,1036,9,24,37,30,False,3564.66
199,2021-01,1037,2,19,8,16,False,8017.3
200,2021-01,1037,6,164,124,125,False,52113.77
201,2021-01,1037,7,32,46,41,False,12482.9
202,2021-01,1037,9,33,69,50,False,14089.51
203,2021-01,1038,1,28,25,35,False,16838.58
204,2021-01,1038,2,87,63,91,False,48474.03
205,2021-01,1038,3,144,111,156,False,59267.32
206,2021-01,1038,4,8,7,7,False,4499.33
207,2021-01,1038,5,143,129,100,False,8500.47
208,2021-01,1038,6,176,227,232,False,75791.89
209,2021-01,1038,8,20,17,21,False,7524.89
210,2021-01,1038,10,14,16,15,False,7939.13
211,2021-01,1039,2,120,67,109,False,22364.63
212,2021-01,1039,6,50,23,45,False,22773.87
213,2021-01,1039,10,25,28,22,False,4295.36
214,2021-01,1040,1,25,45,31,False,10370.7
215,2021-01,1040,3,96,51,88,False,35293.24
216,2021-01,1040,4,78,50,76,False,9915.78
217,2021-01,1040,5,423,476,553,False,278469.73
218,2021-01,1040,6,319,211,309,False,124052.45
219,2021-01,1041,1,116,86,129,False,57526.4
220,2021-01,1041,6,148,95,152,False,34337.21
221,2021-01,1041,8,16,14,20,False,2381.0
222,2021-01,1041,9,24,24,29,False,5858.94
223,2021-01,1042,1,55,41,64,False,12164.7
224,2021-01,1042,3,69,54,54,False,34529.73
225,2021-01,1042,4,14,17,14,False,1417.12
226,2021-01,1042,5,139,117,134,False,78688.47
227,2021-01,1042,6,40,40,36,False,17913.16
228,2021-01,1042,7,13,16,11,False,2026.36
229,2021-01,1042,8,47,54,63,False,24728.68
230,2021-01,1043,1,180,141,135,False,6019.52
231,2021-01,1043,6,39,24,41,False,7972.47
232,2021-01,1043,7,9,7,9,False,5825.56
233,2021-01,1043,9,14,11,14,False,3922.18
234,2021-01,1044,1,209,263,265,False,41734.42
235,2021-01,1044,6,217,143,213,False,76691.69
236,2021-01,1044,8,24,37,29,False,14112.86
237,2021-01,1045,1,666,623,776,False,459474.82
238,2021-01,1045,2,101,75,106,False,25348.99
239,2021-01,1045,4,75,58,84,False,31863.86
240,2021-01,1045,5,74,89,86,False,46531.85
241,2021-01,1045,6,81,88,88,False,38311.56
242,2021-01,1046,1,20,18,16,False,8359.67
243,2021-01,1046,2,19,35,29,False,3538.73
244,2021-01,1046,6,14,10,14,False,3583.08
245,2021-01,1046,8,23,21,29,False,16459.23
246,2021-01,1046,9,19,28,17,False,7155.16
247,2021-01,1047,1,137,98,120,False,35593.56
248,2021-01,1047,2,5,7,5,False,2498.82
249,2021-01,1047,3,16,15,19,False,10740.75
250,2021-01,1047,4,232,201,264,False,127427.06
251,2021-01,1047,6,28,44,38,False,19681.48
252,2021-01,1047,7,20,13,21,False,3873.68
253,2021-01,1047,8,102,86,124,False,51273.57
254,2021-01,1047,9,23,22,26,False,7533.27
255,2021-01,1047,10,85,89,82,False,27781.99
256,2021-01,1048,5,95,57,98,False,6002.07
257,2021-01,1048,6,73,71,62,False,27667.83
258,2021-01,1048,8,11,12,14,False,3382.53
259,2021-01,1048,9,47,56,31,False,7649.55
260,2021-01,1049,2,66,76,89,False,39423.5
261,2021-01,1049,3,38,77,61,False,14227.39
262,2021-01,1049,4,23,35,27,False,11780.0
263,2021-01,1049,5,87,64,70,False,3396.19
264,2021-01,1049,6,10,12,12,False,4878.32
265,2021-01,1049,7,68,59,59,False,37692.38
266,2021-01,1049,8,70,114,93,False,41019.41
267,2021-01,1050,1,78,57,83,False,36518.75
268,2021-01,1050,3,77,52,83,False,48816.74
269,2021-01,1050,6,121,65,112,False,5222.5
270,2021-01,1050,8,65,64,64,False,20565.74
271,2021-01,1050,9,12,7,12,False,5724.32
272,2021-01,1051,2,98,102,121,False,43914.67
273,2021-01,1051,3,76,133,110,False,18919.52
274,2021-01,1051,4,134,103,142,False,25675.74
275,2021-01,1051,5,73,55,85,False,54882.01
276,2021-01,1051,6,23,16,21,False,13098.4
277,2021-01,1051,8,18,29,25,False,14837.13
278,2021-01,1051,9,34,30,36,False,10085.41
279,2021-01,1052,1,160,195,212,False,89767.78
280,2021-01,1052,2,69,62,86,False,42240.18
281,2021-01,1052,3,108,83,90,False,25104.64
282,2021-01,1052,6,20,29,28,False,13025.64
283,2021-01,1052,7,51,29,49,False,5188.4
284,2021-01,1052,10,2,2,2,False,358.18
285,2021-01,1053,1,91,130,98,False,32861.16
286,2021-01,1053,3,44,72,50,False,19888.92
287,2021-01,1053,5,10,16,10,False,2273.89
288,2021-01,1053,8,80,136,104,False,41940.37
289,2021-01,1054,1,30,59,38,False,23503.0
290,2021-01,1054,2,35,15,30,False,13400.82
291,2021-01,1054,3,78,92,80,False,47116.99
292,2021-01,1054,5,168,153,152,False,77968.01
293,2021-01,1054,6,219,109,203,False,91178.7
294,2021-01,1054,7,16,16,20,False,5833.89
295,2021-01,1054,9,117,67,108,False,64199.21
296,2021-01,1054,10,147,173,148,False,17291.11
297,2021-01,1055,1,108,139,133,False,17443.29
298,2021-01,1055,2,29,30,29,False,18655.06
299,2021-01,1055,6,95,73,100,False,29637.86
300,2021-01,1055,8,58,87,56,False,16373.01
301,2021-01,1055,9,234,175,248,False,42707.32
302,2021-01,1056,2,8,11,5,False,215.33
303,2021-01,1056,3,84,91,63,False,35215.28
304,2021-01,1056,4,176,156,162,False,26766.19
305,2021-01,1056,5,28,27,20,False,5178.71
306,2021-01,1056,6,41,27,42,False,7299.6
307,2021-01,1056,8,189,115,194,False,42157.73
308,2021-01,1056,9,96,69,101,False,59992.24
309,2021-01,1056,10,143,78,124,False,38359.94
310,2021-01,1057,1,82,80,106,False,19515.07
311,2021-01,1057,2,118,83,117,False,6417.3
312,2021-01,1057,3,57,66,71,False,5300.85
313,2021-01,1057,4,29,40,21,False,9918.56
314,2021-01,1057,5,593,481,706,False,171591.0
315,2021-01,1057,6,24,37,28,False,1131.61
316,2021-01,1057,9,27,41,23,False,7167.98
317,2021-01,1057,10,13,11,14,False,5910.95
318,2021-01,1058,1,251,206,279,False,30199.15
319,2021-01,1058,2,29,37,38,False,24512.26
320,2021-01,1058,3,48,59,48,False,18746.96
321,2021-01,1058,4,57,102,73,False,18431.37
322,2021-01,1058,6,82,48,76,False,48428.71
323,2021-01,1058,7,42,30,34,False,12638.56
324,2021-01,1058,8,52,43,58,False,27011.36
325,2021-01,1059,1,14,20,11,False,2996.57
326,2021-01,1059,2,113,82,131,False,25704.44
327,2021-01,1059,3,119,64,102,False,9071.14
328,2021-01,1059,6,92,77,85,False,41258.04
329,2021-01,1059,7,76,75,97,False,9910.77
330,2021-01,1059,8,131,85,132,False,72446.36
331,2021-01,1059,9,38,30,35,False,17947.68
332,2021-01,1059,10,25,57,39,False,21642.72
333,2021-01,1060,1,136,76,120,False,72772.11
334,2021-01,1060,2,35,63,43,False,26990.88
335,2021-01,1060,3,147,227,194,False,102764.32
336,2021-01,1060,6,59,86,83,False,29541.47
337,2021-01,1060,9,14,21,20,False,12466.22
338,2021-01,1060,10,14,7,12,False,7129.52
339,2021-01,1061,1,25,19,29,False,11454.24
340,2021-01,1061,3,56,55,61,False,34519.01
341,2021-01,1061,6,128,66,122,False,15064.7
342,2021-01,1061,7,70,63,63,False,31034.75
343,2021-01,1061,9,62,82,68,False,17278.72
344,2021-01,1062,2,163,149,194,False,74954.9
345,2021-01,1062,5,59,52,70,False,12517.35
346,2021-01,1062,6,40,43,51,False,21382.55
347,2021-01,1063,1,52,43,58,False,15637.39
348,2021-01,1063,2,5,3,4,False,2533.17
349,2021-01,1063,3,46,31,47,False,22865.73
350,2021-01,1063,4,48,57,58,False,7373.23
351,2021-01,1063,6,25,24,29,False,1025.49
352,2021-01,1063,8,33,32,36,False,7641.49
353,2021-01,1063,10,102,60,104,False,57269.17
354,2021-01,1064,1,98,131,136,False,32507.09
355,2021-01,1064,2,4,3,4,False,1562.07
356,2021-01,1064,4,45,37,53,False,32538.16
357,2021-01,1064,5,119,62,113,False,70603.92
358,2021-01,1064,6,94,74,94,False,3780.43
359,2021-01,1064,8,133,136,172,False,27857.82
360,2021-01,1064,9,66,47,68,False,42447.37
361,2021-01,1065,1,35,29,37,False,4786.81
362,2021-01,1065,2,74,81,97,False,61786.67
363,2021-01,1065,4,146,98,162,False,33828.76
364,2021-01,1065,6,61,115,90,False,19564.36
365,2021-01,1065,7,72,69,83,False,29832.87
366,2021-01,1065,9,81,105,92,False,33495.29
367,2021-01,1065,10,91,96,82,False,12944.68
368,2021-01,1066,1,49,103,80,False,30994.96
369,2021-01,1066,2,24,14,23,False,7588.39
370,2021-01,1066,5,26,21,30,False,9996.42
371,2021-01,1066,6,38,40,44,False,3929.02
372,2021-01,1066,9,53,48,41,False,4272.19
373,2021-01,1067,1,175,152,184,False,61289.38
374,2021-01,1067,3,160,146,192,False,97683.81
375,2021-01,1067,8,13,18,14,False,8545.2
376,2021-01,1067,9,3,5,4,False,334.99
377,2021-01,1067,10,27,22,30,False,3560.13
378,2021-01,1068,1,13,11,15,False,7812.47
379,2021-01,1068,5,18,30,25,False,13324.72
380,2021-01,1068,6,8,14,10,False,664.01
381,2021-01,1068,8,29,48,42,False,27242.8
382,2021-01,1069,1,312,223,350,False,82404.44
383,2021-01,1069,4,213,153,225,False,125896.4
384,2021-01,1069,5,20,22,22,False,6819.29
385,2021-01,1069,6,93,60,99,False,24840.57
386,2021-01,1069,9,26,32,30,False,14502.38
387,2021-01,1070,1,73,107,102,False,25057.05
388,2021-01,1070,3,38,24,34,False,17675.55
389,2021-01,1070,5,249,285,319,False,188051.07
390,2021-01,1070,6,400,358,342,False,21386.25
391,2021-01,1070,8,21,29,21,False,4947.63
392,2021-01,1071,3,26,31,35,False,9539.99
393,2021-01,1071,9,51,40,56,False,17016.57
394,2021-01,1072,1,30,30,29,False,7094.53
395,2021-01,1072,2,69,63,71,False,29202.37
396,2021-01,1072,3,29,29,31,False,15388.37
397,2021-01,1072,6,67,53,73,False,33835.08
398,2021-01,1072,7,9,11,11,False,5724.69
399,2021-01,1072,10,151,98,162,False,20127.65
400,2021-01,1073,1,60,35,52,False,31115.34
401,2021-01,1073,2,4,2,3,False,455.88
402,2021-01,1073,3,37,25,28,False,11822.07
403,2021-01,1073,5,43,30,45,False,6832.58
404,2021-01,1073,6,61,41,55,False,8413.22
405,2021-01,1074,1,172,153,211,False,99680.42
406,2021-01,1074,5,148,111,159,False,65921.94
407,2021-01,1074,6,54,55,70,False,45041.75
408,2021-01,1074,7,12,12,9,False,2244.24
409,2021-01,1074,10,19,24,25,False,14147.56
410,2021-01,1075,1,239,204,224,False,75408.01
411,2021-01,1075,2,150,131,179,False,44589.03
412,2021-01,1075,3,64,104,63,False,24255.36
413,2021-01,1075,6,102,118,105,False,24743.3
414,2021-01,1075,7,30,44,35,False,16047.68
415,2021-01,1075,9,65,65,79,False,43692.29
416,2021-01,1076,1,373,291,410,False,65532.94
417,2021-01,1076,2,57,58,71,False,7227.04
418,2021-01,1076,3,53,64,38,False,1726.45
419,2021-01,1076,5,309,136,268,False,139936.24
420,2021-01,1076,6,397,347,489,False,302716.65
421,2021-01,1076,7,157,208,197,False,32880.26
422,2021-01,1076,8,44,33,47,False,9104.41
423,2021-01,1076,10,14,24,20,False,4063.56
424,2021-01,1077,1,71,77,93,False,8808.83
425,2021-01,1077,2,650,484,750,False,166171.31
426,2021-01,1077,5,5,5,5,False,1180.52
427,2021-01,1077,6,41,32,31,False,10746.43
428,2021-01,1077,7,55,48,50,False,11912.68
429,2021-01,1077,8,12,26,18,False,9463.86
430,2021-01,1078,1,13,9,13,False,7283.46
431,2021-01,1078,3,49,42,58,False,6097.59
432,2021-01,1078,6,56,74,64,False,4250.5
433,2021-01,1079,1,55,94,77,False,33896.84
434,2021-01,1079,3,10,6,8,False,4113.45
435,2021-01,1079,4,208,143,233,False,28812.68
436,2021-01,1079,8,99,111,92,False,47938.97
437,2021-01,1079,9,18,18,21,False,12399.41
438,2021-01,1079,10,56,50,47,False,3998.16
439,2021-01,1080,1,298,276,375,False,53541.38
440,2021-01,1080,2,53,70,73,False,19350.77
441,2021-01,1080,3,87,192,141,False,90481.25
442,2021-01,1080,6,35,63,52,False,3276.07
443,2021-01,1080,7,102,78,111,False,66488.34
444,2021-01,1080,8,95,70,97,False,8038.17
445,2021-01,1081,1,134,230,179,False,6302.39
446,2021-01,1081,2,121,100,117,False,26816.17
447,2021-01,1081,3,45,29,48,False,30234.63
448,2021-01,1081,4,61,59,76,False,36015.55
449,2021-01,1081,5,39,34,40,False,1637.49
450,2021-01,1081,6,93,174,127,False,31701.41
451,2021-01,1081,10,59,46,67,False,7549.7
452,2021-01,1082,1,140,92,138,False,46199.34
453,2021-01,1082,2,49,53,51,False,18039.76
454,2021-01,1082,5,187,82,163,False,99158.01
455,2021-01,1082,6,35,42,40,False,3467.53
456,2021-01,1082,8,137,196,194,False,82534.05
457,2021-01,1082,9,6,5,5,False,1086.16
458,2021-01,1083,1,44,87,61,False,7742.35
459,2021-01,1083,5,16,26,23,False,5685.58
460,2021-01,1083,6,71,69,74,False,22743.06
461,2021-01,1083,9,7,10,9,False,1549.92
462,2021-01,1083,10,83,85,55,False,4040.52
463,2021-01,1084,2,90,57,88,False,45408.5
464,2021-01,1084,8,47,35,49,False,31379.76
465,2021-01,1085,1,309,264,363,False,153645.51
466,2021-01,1085,2,50,35,55,False,14601.93
467,2021-01,1085,4,93,72,101,False,55631.59
468,2021-01,1085,5,86,76,98,False,16431.83
469,2021-01,1085,6,144,89,150,False,80610.42
470,2021-01,1085,7,118,53,101,False,63199.87
471,2021-01,1085,8,71,58,70,False,20072.24
472,2021-01,1086,1,22,17,20,False,10839.39
473,2021-01,1086,2,11,10,13,False,5653.5
474,2021-01,1086,3,60,90,76,False,27036.95
475,2021-01,1086,5,1,0,0,True,0.0
476,2021-01,1086,6,95,47,84,False,37739.07
477,2021-01,1086,7,10,10,12,False,6682.33
478,2021-01,1087,1,96,67,102,False,56908.61
479,2021-01,1087,2,14,30,22,False,10767.12
480,2021-01,1087,3,162,138,197,False,75607.32
481,2021-01,1087,4,174,194,212,False,14085.92
482,2021-01,1087,5,7,6,8,False,4506.89
483,2021-01,1088,1,12,14,11,False,5363.95
484,2021-01,1088,5,97,67,74,False,10823.54
485,2021-01,1088,6,39,38,42,False,10318.1
486,2021-01,1088,9,33,22,35,False,18793.06
487,2021-01,1088,10,46,50,34,False,11137.54
488,2021-01,1089,1,26,20,30,False,9431.21
489,2021-01,1089,2,8,5,6,False,3401.15
490,2021-01,1089,5,7,4,5,False,2248.42
491,2021-01,1089,8,30,13,26,False,13711.48
492,2021-01,1089,9,74,49,65,False,27860.37
493,2021-01,1090,1,138,94,117,False,51570.07
494,2021-01,1090,2,60,75,75,False,42662.1
495,2021-01,1090,5,12,8,12,False,7235.05
496,2021-01,1090,8,6,10,5,False,325.37
497,2021-01,1091,2,303,308,387,False,162581.85
498,2021-01,1091,3,114,81,117,False,70062.36
499,2021-01,1091,4,66,48,71,False,43104.52
500,2021-01,1091,6,284,155,234,False,89415.45
501,2021-01,1091,8,29,33,33,False,3197.49
502,2021-01,1091,9,77,123,87,False,12239.86
503,2021-01,1091,10,116,116,150,False,38714.2
504,2021-01,1092,1,66,102,94,False,60588.96
505,2021-01,1092,2,27,21,32,False,6031.1
506,2021-01,1092,3,20,31,28,False,15941.91
507,2021-01,1092,4,55,43,50,False,6689.55
508,2021-01,1092,5,20,16,15,False,9723.97
509,2021-01,1092,6,23,15,20,False,6951.49
510,2021-01,1092,8,88,88,114,False,73950.34
511,2021-01,1092,10,6,8,6,False,673.82
512,2021-01,1093,4,21,31,30,False,8908.93
513,2021-01,1093,9,27,29,23,False,13698.14
514,2021-01,1094,1,47,99,69,False,38512.52
515,2021-01,1094,2,91,71,106,False,67028.04
516,2021-01,1094,3,29,27,29,False,15766.96
517,2021-01,1094,7,176,99,168,False,99677.41
518,2021-01,1094,9,8,11,6,False,1737.44
519,2021-01,1095,1,171,188,194,False,40043.68
520,2021-01,1095,2,10,7,8,False,4446.4
521,2021-01,1095,5,11,11,13,False,4463.79
522,2021-01,1095,6,37,40,48,False,25743.13
523,2021-01,1095,8,71,94,99,False,41860.57
524,2021-01,1095,9,33,45,31,False,12178.55
525,2021-01,1096,1,56,66,61,False,22665.25
526,2021-01,1096,2,43,28,44,False,17795.73
527,2021-01,1096,3,9,13,7,False,2358.84
528,2021-01,1096,4,22,27,24,False,11145.75
529,2021-01,1096,6,224,213,281,False,21579.8
530,2021-01,1096,8,266,181,292,False,130439.78
531,2021-01,1096,9,18,14,18,False,4694.25
532,2021-01,1097,1,181,222,244,False,114736.4
533,2021-01,1097,4,142,118,171,False,24408.0
534,2021-01,1097,6,112,104,109,False,18239.27
535,2021-01,1097,7,120,92,135,False,70578.94
536,2021-01,1097,9,68,40,57,False,2480.71
537,2021-01,1097,10,51,84,71,False,39594.09
538,2021-01,1098,1,325,404,446,False,191022.12
539,2021-01,1098,2,6,4,6,False,1357.76
540,2021-01,1098,3,17,17,20,False,9271.92
541,2021-01,1098,5,107,87,93,False,14185.52
542,2021-01,1098,6,172,107,172,False,91076.42
543,2021-01,1098,7,5,7,6,False,1474.26
544,2021-01,1098,10,76,87,99,False,38661.41
545,2021-01,1099,1,251,399,373,False,120204.73
546,2021-01,1099,2,44,60,59,False,28092.83
547,2021-01,1099,3,78,51,70,False,26950.06
548,2021-01,1099,4,19,12,17,False,6335.91
549,2021-01,1099,6,65,48,57,False,18581.03
550,2021-01,1099,7,65,50,68,False,4571.85
551,2021-01,1099,8,59,42,58,False,34877.29
552,2021-01,1100,1,73,102,100,False,46890.44
553,2021-01,1100,4,6,5,5,False,518.33
554,2021-01,1100,6,119,53,103,False,11712.77
555,2021-01,1101,1,26,12,23,False,14654.47
556,2021-01,1101,2,105,61,92,False,45478.95
