return_id,sales_id,date_id,date,customer_id,product_id,region_id,return_units,return_value_eur,return_reason
33,113758,20250325,2025-03-25,756,1065,2,3,393.21,Wrong Configuration
34,59280,20250222,2025-02-22,149,1136,8,13,852.21,Defect
35,61524,20210302,2021-03-02,788,1167,6,2,105.24,Wrong Configuration
36,31155,20210823,2021-08-23,640,1179,9,5,229.9,Wrong Configuration
37,75640,20251126,2025-11-26,253,1044,2,2,782.08,Defect
38,47218,20241108,2024-11-08,591,1019,6,3,2869.1,Wrong Configuration
39,16529,20220401,2022-04-01,563,1104,1,7,5701.15,Customer Cancellation
40,117742,20251114,2025-11-14,1122,1161,7,4,240.34,Defect
41,78536,20241210,2024-12-10,82,1017,3,6,5748.41,Defect
42,114610,20220509,2022-05-09,233,1080,5,1,630.49,Shipping Damage
43,103220,20220822,2022-08-22,847,1026,4,28,13142.27,Shipping Damage
44,2620,20251203,2025-12-03,148,1161,1,1,64.33,Customer Cancellation
45,57663,20230108,2023-01-08,923,1017,8,16,14624.06,Defect
46,19072,20231006,2023-10-06,223,1123,9,12,899.39,Shipping Damage
47,72649,20240710,2024-07-10,185,1160,9,6,460.49,Defect
48,17793,20250718,2025-07-18,1,1038,10,1,632.84,Wrong Configuration
49,27054,20240917,2024-09-17,149,1106,8,13,15297.72,Other
50,110312,20241115,2024-11-15,409,1161,5,41,2277.35,Customer Cancellation
51,6092,20211013,2021-10-13,439,1077,2,8,1016.85,Wrong Configuration
52,10745,20230523,2023-05-23,621,1079,8,27,4810.45,Wrong Configuration
53,101589,20250419,2025-04-19,582,1004,5,15,11387.4,Wrong Configuration
54,54159,20221113,2022-11-13,773,1128,5,6,242.02,Defect
55,38274,20250207,2025-02-07,583,1170,2,3,217.06,Defect
56,32115,20240301,2024-03-01,186,1006,1,17,13180.33,Wrong Configuration
57,28228,20230309,2023-03-09,1198,1114,2,3,4600.85,Shipping Damage
58,52851,20241213,2024-12-13,259,1082,2,4,3346.21,Wrong Configuration
59,95498,20210224,2021-02-24,429,1188,1,2,432.25,Defect
60,26303,20240128,2024-01-28,460,1011,3,1,970.2,Shipping Damage
61,48643,20221106,2022-11-06,359,1051,1,2,726.8,Defect
62,23719,20241228,2024-12-28,332,1001,5,45,35292.44,Wrong Configuration
63,53878,20241221,2024-12-21,680,1072,8,4,696.01,Customer Cancellation
64,66947,20240520,2024-05-20,17,1007,1,38,39477.63,Customer Cancellation
65,105327,20240502,2024-05-02,685,1013,4,63,57082.4,Customer Cancellation
66,81445,20211114,2021-11-14,789,1000,3,4,2219.66,Defect
67,56220,20210418,2021-04-18,579,1194,2,18,4374.37,Defect
68,53450,20210828,2021-08-28,422,1094,7,6,4536.41,Shipping Damage
69,54209,20250203,2025-02-03,472,1012,9,5,5217.67,Wrong Configuration
70,86165,20240807,2024-08-07,843,1076,5,9,1183.33,Defect
71,87738,20250510,2025-05-10,592,1080,2,3,1948.75,Defect
72,116452,20250805,2025-08-05,971,1077,6,4,647.27,Wrong Configuration
73,35247,20241015,2024-10-15,238,1149,4,2,1579.8,Shipping Damage
74,544,20251024,2025-10-24,1149,1175,2,2,134.17,Wrong Configuration
75,102312,20240404,2024-04-04,702,1054,3,16,8244.31,Defect
76,107418,20240331,2024-03-31,1041,1120,4,1,90.54,Customer Cancellation
77,97482,20230204,2023-02-04,429,1044,1,3,1150.79,Customer Cancellation
78,36299,20221130,2022-11-30,793,1184,4,6,820.54,Customer Cancellation
79,55376,20231106,2023-11-06,772,1067,3,4,763.83,Defect
80,2340,20240108,2024-01-08,1150,1064,4,14,2838.59,Defect
81,24564,20230813,2023-08-13,332,1002,5,8,5412.67,Defect
82,84383,20220802,2022-08-02,951,1047,6,5,2716.03,Defect
83,95886,20220726,2022-07-26,610,1161,5,2,130.57,Defect
84,18907,20221115,2022-11-15,263,1019,6,18,14803.39,Shipping Damage
85,60905,20240326,2024-03-26,1032,1161,1,18,1212.76,Customer Cancellation
86,79138,20251127,2025-11-27,1041,1132,4,3,263.76,Shipping Damage
87,55867,20221025,2022-10-25,553,1064,1,6,1193.15,Defect
88,37916,20210526,2021-05-26,39,1002,3,5,3560.26,Defect
89,69991,20250311,2025-03-11,80,1015,2,8,8227.47,Customer Cancellation
90,22603,20211112,2021-11-12,653,1019,9,2,1880.11,Wrong Configuration
91,7434,20240327,2024-03-27,532,1185,8,2,480.79,Defect
92,94522,20210310,2021-03-10,1041,1014,4,1,1143.01,Wrong Configuration
93,46184,20221113,2022-11-13,1061,1136,6,13,870.67,Customer Cancellation
94,29548,20251020,2025-10-20,702,1163,3,28,1037.13,Defect
95,29212,20220402,2022-04-02,214,1190,6,1,237.02,Defect
96,31099,20251006,2025-10-06,65,1037,1,1,580.16,Wrong Configuration
97,63792,20231013,2023-10-13,1063,1135,6,15,1183.59,Other
98,67823,20250214,2025-02-14,394,1162,3,1,74.79,Wrong Configuration
99,30301,20250102,2025-01-02,263,1169,6,3,142.11,Customer Cancellation
100,11467,20240922,2024-09-22,1152,1052,6,15,5684.72,Customer Cancellation
101,2889,20210727,2021-07-27,191,1175,1,4,214.37,Other
102,61086,20250905,2025-09-05,1147,1120,1,14,1325.46,Wrong Configuration
103,88410,20210907,2021-09-07,121,1002,10,34,25049.15,Wrong Configuration
104,20691,20211120,2021-11-20,71,1137,10,5,298.37,Wrong Configuration
105,117837,20210412,2021-04-12,241,1183,7,1,159.44,Other
106,21502,20241101,2024-11-01,728,1027,5,6,3045.87,Wrong Configuration
107,92178,20210607,2021-06-07,500,1052,5,2,732.88,Shipping Damage
108,37871,20221231,2022-12-31,1081,1186,1,4,883.11,Defect
109,31979,20231206,2023-12-06,506,1159,4,4,2242.25,Shipping Damage
110,33297,20210129,2021-01-29,479,1034,1,5,2830.49,Customer Cancellation
111,72637,20250817,2025-08-17,157,1143,1,3,2363.53,Shipping Damage
112,3283,20220326,2022-03-26,572,1121,2,41,2858.31,Customer Cancellation
113,67931,20210510,2021-05-10,582,1186,5,34,7208.82,Wrong Configuration
114,100434,20250719,2025-07-19,540,1164,3,6,278.73,Defect
115,54418,20240829,2024-08-29,404,1138,6,37,2918.52,Defect
116,70716,20241205,2024-12-05,921,1171,5,10,401.42,Other
117,13109,20240811,2024-08-11,471,1031,6,1,738.11,Defect
118,73413,20210830,2021-08-30,257,1033,2,6,3009.86,Shipping Damage
119,35633,20211001,2021-10-01,403,1141,4,7,3770.43,Customer Cancellation
120,83815,20251002,2025-10-02,156,1107,8,5,6201.3,Other
121,105955,20220801,2022-08-01,186,1120,1,21,1926.0,Defect
122,93687,20220412,2022-04-12,516,1090,8,24,16206.54,Defect
123,83146,20221027,2022-10-27,27,1183,1,9,1360.62,Defect
124,29164,20251014,2025-10-14,652,1086,3,1,812.41,Customer Cancellation
125,114366,20241107,2024-11-07,1053,1140,1,7,7255.44,Shipping Damage
126,53883,20210115,2021-01-15,121,1097,10,29,15950.85,Wrong Configuration
127,119851,20240411,2024-04-11,1148,1118,8,6,9241.81,Customer Cancellation
128,4578,20241226,2024-12-26,584,1197,3,15,3134.73,Shipping Damage
129,81018,20221123,2022-11-23,349,1031,1,29,15512.51,Other
130,7032,20230314,2023-03-14,96,1161,1,6,353.33,Shipping Damage
131,20866,20231226,2023-12-26,962,1082,2,7,5018.23,Customer Cancellation
132,89665,20251112,2025-11-12,737,1029,5,1,673.73,Customer Cancellation
133,25376,20231110,2023-11-10,259,1123,2,12,862.51,Customer Cancellation
134,52688,20250225,2025-02-25,195,1021,1,1,632.82,Customer Cancellation
135,36073,20230829,2023-08-29,989,1070,4,4,621.59,Customer Cancellation
136,675,20210302,2021-03-02,579,1010,2,258,248181.09,Wrong Configuration
137,48400,20230425,2023-04-25,874,1001,1,8,5847.69,Defect
138,3734,20241117,2024-11-17,633,1170,1,1,69.72,Customer Cancellation
139,23445,20250605,2025-06-05,860,1171,6,7,399.16,Defect
140,97542,20250805,2025-08-05,862,1120,10,3,300.52,Defect
141,110809,20250802,2025-08-02,84,1073,1,15,2433.22,Wrong Configuration
142,60584,20210903,2021-09-03,1073,1055,5,3,1143.82,Customer Cancellation
143,77822,20231027,2023-10-27,630,1121,3,6,505.49,Defect
144,53984,20241202,2024-12-02,1073,1091,5,8,6182.61,Defect
145,16436,20230514,2023-05-14,1167,1029,6,3,1647.14,Customer Cancellation
146,87365,20231221,2023-12-21,678,1009,1,8,6908.14,Defect
147,48215,20211105,2021-11-05,705,1040,1,1,348.57,Defect
148,14965,20220529,2022-05-29,532,1138,8,7,508.09,Wrong Configuration
149,44268,20220821,2022-08-21,144,1047,2,6,3031.17,Shipping Damage
150,87888,20241116,2024-11-16,1070,1102,7,5,6888.31,Wrong Configuration
151,113160,20240712,2024-07-12,778,1085,6,1,796.91,Defect
152,4976,20230214,2023-02-14,1088,1089,5,1,796.99,Shipping Damage
153,119617,20251025,2025-10-25,268,1008,5,6,5053.37,Defect
154,109344,20210723,2021-07-23,70,1035,1,9,4760.72,Wrong Configuration
155,111360,20210204,2021-02-04,300,1127,6,2,208.59,Defect
156,40715,20220125,2022-01-25,772,1099,3,5,4092.4,Defect
157,16606,20250924,2025-09-24,956,1169,4,2,102.33,Customer Cancellation
158,115337,20220912,2022-09-12,1046,1120,3,5,446.39,Defect
159,85504,20250207,2025-02-07,349,1120,1,47,4262.67,Defect
160,82020,20210420,2021-04-20,353,1199,4,69,16373.91,Customer Cancellation
161,8242,20250924,2025-09-24,184,1045,3,4,1544.64,Customer Cancellation
162,20206,20250304,2025-03-04,112,1154,8,19,11679.88,Other
163,85127,20240410,2024-04-10,118,1006,3,18,15018.05,Defect
164,92288,20220403,2022-04-03,214,1155,6,3,1722.25,Wrong Configuration
165,45567,20220330,2022-03-30,82,1028,3,1,465.01,Wrong Configuration
166,104907,20251206,2025-12-06,28,1094,1,37,30788.0,Shipping Damage
167,26502,20230217,2023-02-17,444,1127,2,3,278.71,Defect
168,61372,20230724,2023-07-24,357,1078,8,36,7863.32,Wrong Configuration
169,92551,20210409,2021-04-09,130,1104,6,3,2856.35,Defect
170,106607,20240406,2024-04-06,974,1117,8,7,7232.7,Other
171,33214,20230611,2023-06-11,391,1060,1,4,624.5,Shipping Damage
172,35807,20220525,2022-05-25,340,1000,6,6,4052.25,Wrong Configuration
173,85853,20221225,2022-12-25,903,1108,10,2,2681.86,Other
174,9483,20240730,2024-07-30,435,1097,7,7,4045.62,Customer Cancellation
175,28261,20250523,2025-05-23,951,1120,6,3,288.02,Customer Cancellation
176,116884,20210421,2021-04-21,380,1155,2,1,559.47,Wrong Configuration
177,103901,20250630,2025-06-30,230,1065,6,1,149.51,Other
178,117676,20240602,2024-06-02,110,1013,10,17,13589.5,Defect
179,2875,20211021,2021-10-21,459,1168,6,13,696.57,Defect
180,117940,20230108,2023-01-08,977,1000,3,42,27062.42,Customer Cancellation
181,77875,20211130,2021-11-30,567,1022,3,6,3899.83,Wrong Configuration
182,98677,20210427,2021-04-27,890,1125,5,21,1558.37,Customer Cancellation
183,39651,20250814,2025-08-14,836,1027,1,24,10941.79,Defect
184,15867,20250428,2025-04-28,539,1090,6,5,4081.71,Defect
185,2757,20251116,2025-11-16,411,1053,6,42,15040.0,Defect
186,9275,20221124,2022-11-24,1105,1047,2,19,8751.58,Defect
187,19859,20220319,2022-03-19,259,1015,2,7,5903.69,Defect
188,10818,20230912,2023-09-12,672,1142,7,1,619.32,Customer Cancellation
189,101819,20230401,2023-04-01,258,1137,3,2,127.23,Customer Cancellation
190,83334,20241227,2024-12-27,126,1193,6,2,364.21,Wrong Configuration
191,41184,20210630,2021-06-30,107,1167,3,12,623.76,Customer Cancellation
192,61100,20250226,2025-02-26,717,1167,5,10,631.04,Shipping Damage
193,26770,20211113,2021-11-13,1147,1091,1,5,3311.59,Defect
194,75871,20221215,2022-12-15,592,1107,2,8,8359.46,Defect
195,7113,20250103,2025-01-03,537,1122,5,2,176.82,Customer Cancellation
196,96979,20230907,2023-09-07,165,1126,1,2,127.14,Defect
197,69350,20210815,2021-08-15,944,1063,5,3,504.29,Customer Cancellation
198,3065,20210501,2021-05-01,163,1051,8,22,8170.88,Defect
199,28145,20221108,2022-11-08,297,1181,1,13,2626.35,Defect
200,51387,20241130,2024-11-30,860,1155,6,1,635.95,Defect
201,69945,20220717,2022-07-17,258,1026,3,2,1083.32,Defect
202,36486,20250531,2025-05-31,499,1177,3,11,511.54,Customer Cancellation
203,44310,20220106,2022-01-06,668,1021,8,42,21930.12,Defect
204,11099,20220921,2022-09-21,613,1070,5,41,5047.99,Customer Cancellation
205,11700,20220102,2022-01-02,275,1124,10,5,418.0,Wrong Configuration
206,2449,20240514,2024-05-14,736,1095,5,1,556.26,Shipping Damage
207,71366,20240930,2024-09-30,778,1009,6,4,3669.66,Customer Cancellation
208,3290,20210908,2021-09-08,885,1113,7,2,2902.38,Defect
209,41390,20241119,2024-11-19,186,1013,1,6,4814.41,Shipping Damage
210,96958,20241220,2024-12-20,186,1162,1,23,1398.91,Defect
211,39403,20230214,2023-02-14,971,1088,6,6,5660.84,Wrong Configuration
212,116223,20240321,2024-03-21,230,1118,6,10,13873.64,Other
213,93840,20250716,2025-07-16,409,1173,5,13,694.2,Wrong Configuration
214,65457,20241218,2024-12-18,982,1012,4,5,4054.27,Customer Cancellation
215,67816,20221107,2022-11-07,1036,1182,9,1,273.16,Defect
216,12801,20230903,2023-09-03,489,1032,2,23,11882.39,Other
217,53089,20250304,2025-03-04,1147,1097,1,11,6681.09,Wrong Configuration
218,38687,20240411,2024-04-11,806,1108,3,12,21029.05,Wrong Configuration
219,30657,20240911,2024-09-11,468,1099,5,20,15729.25,Wrong Configuration
220,112632,20230606,2023-06-06,132,1050,4,1,556.36,Customer Cancellation
221,111888,20230522,2023-05-22,937,1097,6,8,5546.69,Shipping Damage
222,48636,20210807,2021-08-07,144,1187,2,1,290.59,Defect
223,60861,20210630,2021-06-30,313,1117,6,1,1105.37,Shipping Damage
224,66291,20230325,2023-03-25,286,1151,1,1,577.21,Shipping Damage
225,85662,20211203,2021-12-03,1164,1038,9,1,627.24,Shipping Damage
226,24022,20251211,2025-12-11,1079,1107,6,5,4938.25,Other
227,88948,20251224,2025-12-24,496,1164,3,3,123.56,Customer Cancellation
228,58108,20250720,2025-07-20,511,1138,7,18,1488.58,Customer Cancellation
229,50777,20240907,2024-09-07,607,1074,1,39,3805.93,Defect
230,50025,20220529,2022-05-29,8,1055,10,2,897.57,Wrong Configuration
231,55939,20241016,2024-10-16,663,1033,5,3,1867.51,Customer Cancellation
232,31744,20240120,2024-01-20,29,1181,4,1,260.43,Wrong Configuration
233,14472,20211121,2021-11-21,340,1021,6,4,2259.78,Defect
234,56967,20220909,2022-09-09,806,1157,3,11,9328.26,Wrong Configuration
235,102405,20231103,2023-11-03,440,1005,2,4,2975.21,Customer Cancellation
236,20476,20240818,2024-08-18,381,1067,8,6,1023.96,Customer Cancellation
237,50419,20241110,2024-11-10,1071,1113,5,3,5079.71,Other
238,36756,20220619,2022-06-19,1079,1043,6,22,6578.17,Customer Cancellation
239,15636,20220702,2022-07-02,1079,1198,6,12,1990.13,Other
240,116010,20251225,2025-12-25,975,1160,3,13,976.69,Shipping Damage
241,5429,20220227,2022-02-27,687,1185,3,10,2327.76,Shipping Damage
242,82569,20251211,2025-12-11,265,1189,4,17,4437.07,Defect
243,63921,20240303,2024-03-03,997,1113,2,1,1851.9,Customer Cancellation
244,6144,20240511,2024-05-11,345,1111,6,7,9775.76,Customer Cancellation
245,29827,20210622,2021-06-22,864,1042,6,8,3073.44,Wrong Configuration
246,79749,20210603,2021-06-03,1051,1138,4,29,1980.66,Wrong Configuration
247,32185,20240402,2024-04-02,444,1122,2,5,402.22,Customer Cancellation
248,69086,20230324,2023-03-24,898,1185,3,1,241.39,Wrong Configuration
249,26840,20240307,2024-03-07,393,1065,5,22,2931.08,Other
250,95105,20231009,2023-10-09,1110,1161,5,11,606.55,Defect
251,88611,20211120,2021-11-20,1184,1177,4,2,87.87,Wrong Configuration
252,73901,20220505,2022-05-05,766,1039,8,17,11188.83,Defect
253,40472,20230722,2023-07-22,788,1044,6,2,741.7,Wrong Configuration
254,16623,20250112,2025-01-12,439,1038,2,8,4986.68,Customer Cancellation
255,62688,20210507,2021-05-07,448,1028,2,1,459.3,Defect
256,56354,20230430,2023-04-30,1051,1153,4,7,4236.33,Defect
257,34224,20240912,2024-09-12,1011,1139,1,5,453.1,Shipping Damage
258,54403,20241020,2024-10-20,64,1069,1,5,926.21,Wrong Configuration
259,9287,20220728,2022-07-28,1196,1115,2,14,17955.14,Wrong Configuration
260,68266,20240619,2024-06-19,952,1066,2,3,509.61,Wrong Configuration
261,46438,20251217,2025-12-17,39,1128,3,24,1314.05,Defect
262,61000,20210531,2021-05-31,838,1122,2,1,72.66,Shipping Damage
263,107742,20250523,2025-05-23,888,1052,3,2,881.93,Other
264,109439,20251102,2025-11-02,308,1080,1,7,5048.42,Shipping Damage
265,506,20240406,2024-04-06,231,1147,1,13,7143.37,Defect
266,36494,20230909,2023-09-09,472,1199,9,1,226.0,Shipping Damage
267,77298,20250604,2025-06-04,520,1168,6,17,1002.62,Other
268,62327,20220208,2022-02-08,232,1038,4,23,12772.53,Customer Cancellation
269,16399,20250630,2025-06-30,393,1044,5,13,4112.95,Defect
270,41066,20230114,2023-01-14,394,1063,3,4,743.3,Defect
271,28276,20220417,2022-04-17,123,1130,2,1,89.27,Customer Cancellation
272,118245,20230530,2023-05-30,404,1056,6,5,2018.5,Defect
273,102053,20231207,2023-12-07,864,1106,6,5,7190.86,Defect
274,108477,20231127,2023-11-27,259,1013,2,8,6805.05,Defect
275,75511,20210918,2021-09-18,340,1195,6,19,3388.07,Customer Cancellation
276,5060,20250519,2025-05-19,1062,1042,4,19,6883.08,Customer Cancellation
277,52053,20251221,2025-12-21,1124,1199,2,51,11250.43,Wrong Configuration
278,50154,20211209,2021-12-09,45,1195,2,9,1308.39,Other
279,114542,20241227,2024-12-27,179,1175,4,14,865.33,Shipping Damage
280,56646,20250422,2025-04-22,1147,1065,1,18,2745.47,Other
281,48174,20221006,2022-10-06,1130,1045,6,1,434.58,Wrong Configuration
282,32058,20250329,2025-03-29,110,1025,10,17,11649.11,Customer Cancellation
283,21055,20220608,2022-06-08,842,1003,1,27,25683.69,Defect
284,69131,20250101,2025-01-01,678,1032,1,8,4699.04,Wrong Configuration
285,57634,20231211,2023-12-11,1056,1087,2,1,578.36,Defect
286,33803,20241023,2024-10-23,420,1026,1,11,6458.84,Customer Cancellation
287,4130,20221010,2022-10-10,672,1024,7,1,530.22,Customer Cancellation
288,74611,20230322,2023-03-22,1174,1005,1,17,11445.27,Customer Cancellation
289,46727,20210802,2021-08-02,940,1045,3,10,3453.74,Defect
290,27887,20220207,2022-02-07,77,1021,5,1,607.07,Shipping Damage
291,65316,20220814,2022-08-14,1039,1185,2,6,1367.97,Customer Cancellation
292,3916,20231130,2023-11-30,1105,1010,2,22,20288.69,Wrong Configuration
293,2111,20220614,2022-06-14,1105,1098,2,32,13911.42,Shipping Damage
294,55647,20240509,2024-05-09,579,1037,2,4,2035.99,Defect
295,1200,20230223,2023-02-23,308,1021,1,10,5869.75,Defect
296,104859,20241215,2024-12-15,301,1166,1,14,843.16,Defect
297,108754,20240125,2024-01-25,786,1190,6,5,1040.09,Shipping Damage
298,6360,20230305,2023-03-05,608,1005,4,1,851.44,Wrong Configuration
299,64765,20231103,2023-11-03,310,1019,7,3,2809.51,Defect
300,43707,20241010,2024-10-10,1038,1046,2,7,3689.04,Wrong Configuration
301,94657,20241214,2024-12-14,559,1086,8,6,4581.24,Wrong Configuration
302,56129,20230420,2023-04-20,908,1127,5,12,1028.09,Shipping Damage
303,99634,20210214,2021-02-14,755,1160,1,28,1976.72,Other
304,1257,20241102,2024-11-02,678,1063,1,17,3077.86,Wrong Configuration
305,96738,20220421,2022-04-21,1171,1194,3,3,834.03,Customer Cancellation
306,39687,20240906,2024-09-06,542,1187,8,15,4527.07,Customer Cancellation
307,65446,20211004,2021-10-04,223,1092,9,5,3557.59,Wrong Configuration
308,93604,20240505,2024-05-05,3,1100,6,4,5776.56,Defect
309,81797,20210706,2021-07-06,751,1188,6,2,462.3,Customer Cancellation
310,36824,20240926,2024-09-26,797,1091,3,1,813.7,Wrong Configuration
311,52502,20250719,2025-07-19,1155,1053,8,12,4886.87,Defect
312,72126,20220219,2022-02-19,1025,1193,6,2,385.61,Shipping Damage
313,887,20210403,2021-04-03,975,1138,3,11,714.32,Wrong Configuration
314,21749,20250423,2025-04-23,412,1170,2,2,126.05,Defect
315,64471,20231125,2023-11-25,1151,1175,2,8,524.93,Wrong Configuration
316,67266,20240412,2024-04-12,621,1075,8,28,4319.55,Wrong Configuration
317,47070,20250915,2025-09-15,39,1184,3,37,5895.28,Defect
318,107443,20230926,2023-09-26,1127,1151,3,15,8074.13,Other
319,87479,20250929,2025-09-29,1199,1024,9,9,4847.49,Shipping Damage
320,105081,20221021,2022-10-21,173,1131,6,20,1716.05,Wrong Configuration
321,104662,20250424,2025-04-24,1193,1060,6,1,181.21,Other
322,88549,20211207,2021-12-07,763,1043,5,6,1570.11,Other
323,1388,20230608,2023-06-08,940,1044,3,7,2553.49,Shipping Damage
324,49882,20231112,2023-11-12,28,1130,1,15,1009.11,Shipping Damage
325,65395,20240904,2024-09-04,659,1178,6,2,87.22,Shipping Damage
326,100286,20230116,2023-01-16,454,1172,9,6,289.05,Wrong Configuration
327,71517,20230829,2023-08-29,1170,1107,6,3,3569.5,Defect
328,49313,20220324,2022-03-24,163,1001,8,13,8077.01,Wrong Configuration
329,89613,20250420,2025-04-20,1014,1166,5,7,437.63,Defect
330,14806,20230702,2023-07-02,1120,1154,5,4,2637.1,Other
331,96795,20230115,2023-01-15,999,1184,7,7,1017.39,Shipping Damage
332,30401,20240101,2024-01-01,516,1102,8,7,9693.08,Customer Cancellation
333,52460,20251019,2025-10-19,1075,1189,4,3,780.82,Customer Cancellation
334,42498,20220430,2022-04-30,466,1049,6,3,931.58,Wrong Configuration
335,7330,20210726,2021-07-26,1066,1122,1,2,142.19,Other
336,37201,20250607,2025-06-07,1155,1142,8,6,4079.07,Defect
337,7697,20210112,2021-01-12,674,1098,2,1,558.31,Defect
338,53322,20241024,2024-10-24,275,1044,10,9,3453.99,Defect
339,17214,20240522,2024-05-22,213,1186,1,6,1423.85,Other
340,38432,20240904,2024-09-04,928,1121,3,1,96.76,Wrong Configuration
341,81292,20211209,2021-12-09,770,1153,7,2,1415.05,Defect
342,54898,20210427,2021-04-27,595,1190,4,3,675.21,Wrong Configuration
343,94546,20210121,2021-01-21,676,1041,8,1,289.14,Customer Cancellation
344,95441,20240316,2024-03-16,459,1009,6,14,10299.41,Wrong Configuration
345,18821,20230805,2023-08-05,393,1057,5,20,8246.31,Shipping Damage
346,79098,20221218,2022-12-18,340,1110,6,15,22738.05,Defect
347,59207,20231217,2023-12-17,950,1022,9,8,5120.25,Other
348,88168,20251108,2025-11-08,313,1036,6,1,640.81,Shipping Damage
349,14626,20211231,2021-12-31,962,1050,2,4,1884.51,Shipping Damage
350,107359,20240315,2024-03-15,410,1124,9,15,1385.37,Wrong Configuration
351,19738,20220429,2022-04-29,607,1080,1,38,21628.23,Customer Cancellation
352,67373,20210426,2021-04-26,752,1000,10,14,8029.04,Wrong Configuration
353,32074,20240405,2024-04-05,1034,1113,1,1,1705.17,Wrong Configuration
354,87544,20230626,2023-06-26,806,1087,3,3,1709.92,Defect
355,67532,20240212,2024-02-12,1020,1100,4,7,9504.44,Wrong Configuration
356,21885,20240624,2024-06-24,459,1008,6,27,20668.18,Defect
357,76987,20250619,2025-06-19,266,1005,2,1,789.62,Other
358,57816,20240211,2024-02-11,156,1018,8,11,11770.95,Defect
359,116168,20221130,2022-11-30,440,1077,2,31,4190.97,Other
360,104315,20241013,2024-10-13,119,1033,4,6,4172.53,Wrong Configuration
361,6813,20241201,2024-12-01,712,1105,8,9,14443.82,Customer Cancellation
362,20474,20220331,2022-03-31,595,1190,4,2,460.98,Wrong Configuration
363,49025,20211009,2021-10-09,173,1009,6,22,15971.02,Customer Cancellation
364,51763,20251224,2025-12-24,338,1191,1,16,4232.1,Defect
365,64572,20231215,2023-12-15,252,1194,9,14,4283.42,Other
366,24411,20221106,2022-11-06,642,1047,4,1,552.71,Defect
367,41695,20210502,2021-05-02,696,1054,7,12,5415.01,Customer Cancellation
368,40027,20250701,2025-07-01,910,1104,6,10,10515.49,Customer Cancellation
369,73039,20220114,2022-01-14,982,1055,4,12,3845.17,Defect
370,109241,20240811,2024-08-11,949,1156,4,53,22550.03,Customer Cancellation
371,42339,20220618,2022-06-18,414,1055,1,8,3257.8,Customer Cancellation
372,40197,20230426,2023-04-26,1122,1181,7,28,5974.17,Wrong Configuration
373,19241,20210612,2021-06-12,1132,1004,3,12,7139.24,Wrong Configuration
374,58209,20210720,2021-07-20,552,1005,1,2,1308.76,Defect
375,48059,20210305,2021-03-05,124,1167,3,45,2233.27,Defect
376,13023,20240103,2024-01-03,864,1138,6,2,171.92,Defect
377,110866,20231110,2023-11-10,1051,1000,4,15,8128.03,Defect
378,66358,20250927,2025-09-27,118,1103,3,9,15005.23,Wrong Configuration
379,48247,20250106,2025-01-06,476,1110,3,15,26352.01,Defect
380,24954,20230808,2023-08-08,924,1078,6,24,5824.1,Shipping Damage
381,70899,20250302,2025-03-02,779,1098,1,1,617.47,Customer Cancellation
