opportunity_id,created_date,customer_id,product_group,sales_rep_id,stage,expected_value_eur,win_probability,expected_close_date,created_date_id,weighted_pipeline_eur
20,2022-08-03,258,Legacy Workstation,35,Lead,48613.44,0.148,2023-02-13,20220803,7194.79
21,2023-02-15,1147,Accessory Kit,56,Proposal,47460.78,0.464,2023-09-21,20230215,22021.8
22,2023-10-16,696,Connectivity Module,1,Qualified,32148.34,0.4,2024-04-14,20231016,12859.34
23,2025-04-02,951,Tablet Enterprise,69,Closed Won,106269.17,0.567,2025-07-31,20250402,60254.62
24,2024-08-06,1147,Laptop Standard,39,Proposal,147915.28,0.453,2024-10-09,20240806,67005.62
25,2022-10-16,904,Laptop Pro,63,Lead,24656.77,0.69,2023-02-22,20221016,17013.17
26,2025-10-17,356,Laptop Pro,68,Lead,18240.1,0.428,2025-11-30,20251017,7806.76
27,2024-02-28,380,Monitoring Device,25,Lead,8912.68,0.145,2024-06-14,20240228,1292.34
28,2023-07-11,843,Laptop Standard,48,Closed Won,11305.06,0.718,2024-02-13,20230711,8117.03
29,2023-02-24,399,Legacy Workstation,85,Closed Won,15520.38,0.327,2023-07-08,20230224,5075.16
30,2024-10-08,541,Accessory Kit,7,Lead,27868.63,0.735,2025-01-16,20241008,20483.44
31,2023-11-19,489,Industrial Scanner,10,Qualified,7146.08,0.548,2024-01-08,20231119,3916.05
32,2024-12-29,275,Accessory Kit,83,Closed Won,69746.88,0.665,2025-01-23,20241229,46381.68
33,2025-08-29,890,Laptop Standard,14,Lead,91936.74,0.851,2025-11-15,20250829,78238.17
34,2024-01-28,163,Laptop Pro,77,Negotiation,72140.22,0.405,2024-06-05,20240128,29216.79
35,2024-11-02,611,Laptop Standard,74,Closed Lost,26659.44,0.656,2025-02-21,20241102,17488.59
36,2022-12-29,410,Medical Sensor,64,Qualified,32133.97,0.281,2023-05-27,20221229,9029.65
37,2022-08-27,607,Tablet Enterprise,82,Qualified,8123.16,0.234,2023-02-10,20220827,1900.82
38,2023-02-06,503,Medical Sensor,78,Closed Won,51915.07,0.771,2023-07-01,20230206,40026.52
39,2023-05-16,921,Industrial Scanner,64,Qualified,62257.62,0.302,2023-10-20,20230516,18801.8
40,2024-05-29,754,Legacy Workstation,6,Qualified,79456.61,0.203,2024-12-08,20240529,16129.69
41,2022-11-16,411,Accessory Kit,82,Closed Won,152413.66,0.606,2023-05-04,20221116,92362.68
42,2021-01-22,1096,Monitoring Device,69,Lead,30469.06,0.207,2021-06-03,20210122,6307.1
43,2023-07-24,532,Tablet Enterprise,3,Closed Won,22688.42,0.364,2024-01-30,20230724,8258.58
44,2025-05-12,467,Monitoring Device,4,Closed Lost,37606.8,0.26,2025-08-12,20250512,9777.77
45,2022-12-25,1000,Tablet Enterprise,55,Closed Won,45366.75,0.259,2023-03-28,20221225,11749.99
46,2021-09-10,1180,Accessory Kit,25,Closed Lost,81586.82,0.597,2021-12-30,20210910,48707.33
47,2023-01-27,711,Monitoring Device,55,Negotiation,38583.45,0.32,2023-06-25,20230127,12346.7
48,2021-01-07,1026,Service Contract,51,Closed Won,18899.61,0.401,2021-07-12,20210107,7578.74
49,2022-09-05,826,Connectivity Module,5,Closed Won,35370.6,0.147,2022-12-24,20220905,5199.48
50,2024-06-19,950,Medical Sensor,55,Qualified,6915.91,0.67,2024-08-13,20240619,4633.66
51,2024-09-10,353,Laptop Pro,84,Qualified,12266.5,0.203,2025-04-04,20240910,2490.1
52,2024-04-16,793,Laptop Pro,56,Closed Won,428694.18,0.159,2024-11-12,20240416,68162.37
53,2022-09-27,1156,Laptop Pro,29,Negotiation,23820.77,0.58,2023-02-23,20220927,13816.05
54,2024-01-13,260,Industrial Scanner,29,Closed Lost,31436.45,0.663,2024-08-12,20240113,20842.37
55,2025-05-28,563,Laptop Standard,83,Negotiation,44693.15,0.642,2025-12-11,20250528,28693.0
56,2023-06-18,257,Laptop Standard,77,Lead,12325.67,0.124,2023-09-25,20230618,1528.38
57,2023-12-08,1063,Tablet Enterprise,59,Closed Lost,20870.72,0.349,2024-04-11,20231208,7283.88
58,2022-07-15,1122,Monitoring Device,59,Lead,24398.41,0.461,2023-02-15,20220715,11247.67
59,2024-08-03,169,Accessory Kit,56,Qualified,69168.37,0.665,2024-09-06,20240803,45996.97
60,2022-09-28,849,Service Contract,51,Lead,15624.74,0.718,2023-01-15,20220928,11218.56
61,2023-12-16,539,Tablet Enterprise,65,Proposal,39254.46,0.462,2024-02-26,20231216,18135.56
62,2024-03-17,806,Laptop Pro,80,Qualified,131713.84,0.463,2024-06-14,20240317,60983.51
63,2025-01-20,454,Monitoring Device,50,Qualified,17939.1,0.285,2025-03-11,20250120,5112.64
64,2022-04-08,567,Laptop Standard,77,Lead,7767.82,0.612,2022-05-02,20220408,4753.91
65,2024-04-08,501,Laptop Pro,69,Closed Won,87496.21,0.677,2024-08-04,20240408,59234.93
66,2025-10-05,806,Medical Sensor,20,Closed Lost,18125.71,0.383,2025-12-09,20251005,6942.15
67,2025-09-02,563,Medical Sensor,12,Proposal,18674.82,0.463,2026-02-28,20250902,8646.44
68,2023-05-25,1043,Medical Sensor,38,Qualified,28963.59,0.147,2023-09-27,20230525,4257.65
69,2023-03-30,135,Connectivity Module,77,Lead,65197.92,0.374,2023-08-06,20230330,24384.02
70,2023-06-05,438,Laptop Pro,24,Lead,20090.7,0.54,2023-10-04,20230605,10848.98
71,2021-05-09,982,Medical Sensor,15,Lead,10534.89,0.634,2021-11-14,20210509,6679.12
72,2023-06-12,106,Legacy Workstation,79,Qualified,12039.25,0.495,2023-07-26,20230612,5959.43
73,2025-11-30,1199,Legacy Workstation,34,Closed Lost,192512.23,0.594,2026-05-24,20251130,114352.26
74,2022-08-08,1060,Connectivity Module,63,Lead,18176.29,0.75,2023-03-04,20220808,13632.22
75,2021-08-22,1148,Monitoring Device,61,Negotiation,71888.42,0.517,2022-02-18,20210822,37166.31
76,2024-10-04,146,Medical Sensor,67,Qualified,43711.48,0.24,2024-11-09,20241004,10490.76
77,2024-03-08,945,Laptop Pro,72,Lead,125763.65,0.842,2024-09-17,20240308,105892.99
78,2024-01-24,1038,Accessory Kit,60,Qualified,37370.42,0.232,2024-07-14,20240124,8669.94
79,2022-05-23,935,Laptop Pro,33,Lead,115539.12,0.171,2022-10-14,20220523,19757.19
80,2022-11-19,836,Monitoring Device,13,Qualified,40047.08,0.23,2023-05-17,20221119,9210.83
81,2024-11-04,387,Legacy Workstation,35,Closed Won,16380.4,0.594,2025-06-09,20241104,9729.96
82,2024-05-20,945,Legacy Workstation,11,Proposal,37624.71,0.679,2024-06-23,20240520,25547.18
83,2025-11-19,146,Connectivity Module,34,Lead,18067.75,0.085,2026-03-11,20251119,1535.76
84,2022-05-05,671,Industrial Scanner,80,Proposal,16366.84,0.281,2022-06-03,20220505,4599.08
85,2023-06-02,54,Monitoring Device,69,Negotiation,28697.96,0.107,2023-11-14,20230602,3070.68
86,2022-01-23,1010,Laptop Pro,15,Closed Won,9580.31,0.657,2022-03-28,20220123,6294.26
87,2023-02-24,139,Medical Sensor,35,Qualified,15697.55,0.696,2023-08-02,20230224,10925.49
88,2024-01-02,982,Service Contract,11,Negotiation,11404.5,0.422,2024-07-06,20240102,4812.7
89,2021-03-26,283,Laptop Pro,25,Closed Lost,29496.81,0.228,2021-07-20,20210326,6725.27
90,2024-11-22,973,Laptop Pro,19,Lead,69142.11,0.181,2025-05-24,20241122,12514.72
91,2023-10-27,349,Laptop Standard,25,Lead,93042.42,0.539,2024-03-06,20231027,50149.86
92,2023-06-04,874,Laptop Standard,45,Closed Lost,50222.3,0.394,2024-01-05,20230604,19787.59
93,2023-12-29,118,Tablet Enterprise,16,Lead,6506.35,0.644,2024-05-15,20231229,4190.09
94,2025-02-03,698,Tablet Enterprise,80,Qualified,10110.13,0.451,2025-04-06,20250203,4559.67
95,2025-02-27,468,Laptop Pro,28,Negotiation,65949.63,0.567,2025-08-20,20250227,37393.44
96,2023-07-17,763,Legacy Workstation,55,Qualified,53342.68,0.07,2023-12-31,20230717,3733.99
97,2023-07-18,1036,Accessory Kit,57,Negotiation,80678.67,0.518,2023-10-14,20230718,41791.55
98,2025-01-09,944,Industrial Scanner,45,Lead,17399.85,0.441,2025-07-01,20250109,7673.33
99,2022-09-11,429,Monitoring Device,51,Qualified,8708.52,0.268,2022-11-24,20220911,2333.88
100,2025-09-11,954,Connectivity Module,50,Proposal,7777.82,0.539,2026-04-06,20250911,4192.24
101,2021-04-27,742,Industrial Scanner,40,Qualified,47310.66,0.262,2021-11-12,20210427,12395.39
102,2024-03-28,869,Connectivity Module,8,Lead,8388.83,0.382,2024-07-16,20240328,3204.53
103,2024-01-19,108,Monitoring Device,62,Lead,3331.78,0.588,2024-04-08,20240119,1959.09
104,2024-02-28,244,Laptop Standard,5,Negotiation,36902.96,0.276,2024-07-23,20240228,10185.22
105,2023-06-17,813,Accessory Kit,29,Negotiation,141179.3,0.393,2023-10-28,20230617,55483.46
106,2024-10-18,1110,Legacy Workstation,22,Lead,6624.46,0.312,2024-12-05,20241018,2066.83
107,2025-05-14,903,Service Contract,65,Qualified,15165.48,0.734,2025-06-03,20250514,11131.46
108,2022-06-22,1075,Legacy Workstation,18,Lead,7108.84,0.241,2022-10-19,20220622,1713.23
109,2024-11-10,326,Accessory Kit,56,Closed Lost,12035.1,0.596,2025-02-14,20241110,7172.92
110,2022-06-15,558,Laptop Pro,53,Closed Lost,16099.75,0.396,2023-01-05,20220615,6375.5
111,2021-04-25,678,Connectivity Module,65,Lead,37359.19,0.521,2021-08-11,20210425,19464.14
112,2023-05-25,971,Monitoring Device,39,Negotiation,193667.04,0.666,2023-12-09,20230525,128982.25
113,2025-09-22,2,Service Contract,9,Closed Won,3329.74,0.481,2026-02-19,20250922,1601.6
114,2024-08-09,842,Medical Sensor,84,Proposal,17540.04,0.344,2024-09-23,20240809,6033.77
115,2022-08-15,1081,Tablet Enterprise,48,Qualified,34012.1,0.044,2022-11-25,20220815,1496.53
116,2023-01-19,490,Connectivity Module,34,Proposal,18569.12,0.318,2023-02-20,20230119,5904.98
117,2025-11-17,233,Connectivity Module,12,Lead,7424.98,0.369,2026-02-23,20251117,2739.82
118,2022-01-04,1064,Monitoring Device,85,Proposal,15316.99,0.113,2022-01-25,20220104,1730.82
119,2025-01-08,50,Laptop Standard,11,Qualified,39775.24,0.747,2025-07-29,20250108,29712.1
120,2023-12-17,852,Legacy Workstation,25,Proposal,15560.97,0.483,2024-02-26,20231217,7515.95
121,2024-08-29,542,Laptop Standard,82,Negotiation,7427.76,0.347,2025-03-17,20240829,2577.43
122,2023-03-14,871,Service Contract,43,Proposal,40412.97,0.625,2023-07-26,20230314,25258.11
123,2022-10-21,379,Monitoring Device,15,Qualified,83388.31,0.268,2022-12-02,20221021,22348.07
124,2023-02-14,921,Monitoring Device,37,Negotiation,26606.27,0.443,2023-06-20,20230214,11786.58
125,2022-03-29,751,Laptop Pro,3,Negotiation,45916.72,0.587,2022-05-26,20220329,26953.11
126,2025-11-07,353,Industrial Scanner,15,Closed Won,10777.99,0.243,2026-04-26,20251107,2619.05
127,2025-10-06,1000,Laptop Standard,19,Closed Won,8393.18,0.398,2026-02-18,20251006,3340.49
128,2025-05-31,836,Accessory Kit,68,Lead,41688.52,0.484,2025-09-18,20250531,20177.24
129,2024-01-25,1049,Service Contract,3,Negotiation,82339.04,0.794,2024-03-09,20240125,65377.2
130,2024-11-17,697,Laptop Standard,70,Qualified,11190.73,0.173,2025-06-06,20241117,1936.0
131,2023-05-23,813,Monitoring Device,23,Qualified,34144.12,0.583,2023-10-15,20230523,19906.02
132,2024-10-18,165,Industrial Scanner,85,Proposal,12054.46,0.292,2025-01-26,20241018,3519.9
133,2025-02-23,686,Connectivity Module,72,Closed Won,35347.67,0.836,2025-05-09,20250223,29550.65
134,2022-05-10,82,Tablet Enterprise,34,Lead,19090.72,0.433,2022-06-20,20220510,8266.28
135,2022-05-28,1174,Connectivity Module,7,Qualified,9034.68,0.316,2022-07-19,20220528,2854.96
136,2022-10-05,81,Medical Sensor,80,Negotiation,12724.83,0.333,2022-11-16,20221005,4237.37
137,2022-09-06,892,Medical Sensor,66,Proposal,9072.94,0.524,2022-12-19,20220906,4754.22
138,2025-04-19,759,Service Contract,54,Qualified,9709.17,0.109,2025-09-22,20250419,1058.3
139,2022-09-03,107,Accessory Kit,84,Closed Won,11254.93,0.443,2023-04-07,20220903,4985.93
140,2025-06-06,310,Laptop Pro,35,Qualified,23541.82,0.547,2026-01-04,20250606,12877.38
141,2022-07-28,891,Legacy Workstation,32,Lead,94347.9,0.265,2022-11-16,20220728,25002.19
142,2021-10-07,95,Connectivity Module,64,Proposal,55648.95,0.612,2022-01-13,20211007,34057.16
143,2025-03-25,347,Tablet Enterprise,27,Negotiation,12670.86,0.329,2025-09-01,20250325,4168.71
144,2023-06-19,22,Laptop Standard,45,Qualified,62287.67,0.436,2023-11-17,20230619,27157.42
145,2024-09-12,186,Laptop Standard,3,Qualified,34689.39,0.537,2025-01-17,20240912,18628.2
146,2022-03-24,200,Industrial Scanner,12,Lead,8959.26,0.308,2022-09-19,20220324,2759.45
147,2025-04-22,1178,Monitoring Device,78,Qualified,43579.87,0.333,2025-11-03,20250422,14512.1
148,2023-11-10,680,Service Contract,18,Proposal,41842.49,0.317,2024-04-25,20231110,13264.07
149,2024-08-26,1073,Connectivity Module,57,Lead,109120.19,0.352,2024-10-05,20240826,38410.31
150,2022-04-17,389,Service Contract,2,Qualified,16521.61,0.621,2022-07-01,20220417,10259.92
151,2024-07-07,164,Medical Sensor,71,Closed Won,99403.56,0.131,2025-01-09,20240707,13021.87
152,2024-09-05,467,Connectivity Module,55,Closed Lost,14926.55,0.388,2025-04-08,20240905,5791.5
153,2023-07-29,161,Industrial Scanner,66,Closed Lost,40074.39,0.248,2023-08-29,20230729,9938.45
154,2024-12-23,826,Laptop Pro,85,Lead,32302.52,0.862,2025-04-10,20241223,27844.77
155,2025-06-27,524,Service Contract,29,Proposal,48316.26,0.318,2026-01-20,20250627,15364.57
156,2024-09-02,186,Industrial Scanner,47,Qualified,11890.65,0.364,2024-12-16,20240902,4328.2
157,2024-03-29,481,Service Contract,70,Negotiation,50970.21,0.55,2024-04-28,20240329,28033.62
158,2024-09-29,31,Laptop Pro,68,Qualified,207188.51,0.409,2025-04-14,20240929,84740.1
159,2021-05-20,249,Service Contract,56,Closed Won,36494.13,0.47,2021-11-14,20210520,17152.24
160,2022-02-09,65,Tablet Enterprise,53,Qualified,44796.54,0.266,2022-05-14,20220209,11915.88
161,2022-04-06,696,Accessory Kit,58,Closed Lost,24667.97,0.053,2022-05-08,20220406,1307.4
162,2023-02-08,979,Industrial Scanner,67,Closed Lost,10236.92,0.357,2023-04-12,20230208,3654.58
163,2022-12-21,678,Medical Sensor,28,Closed Lost,131384.19,0.152,2023-02-22,20221221,19970.4
164,2021-12-01,864,Connectivity Module,35,Lead,85100.13,0.142,2022-03-21,20211201,12084.22
165,2021-05-18,395,Tablet Enterprise,2,Proposal,26582.15,0.322,2021-08-01,20210518,8559.45
166,2025-01-10,141,Laptop Pro,59,Closed Won,46664.33,0.57,2025-05-31,20250110,26598.67
167,2021-11-22,696,Laptop Standard,70,Qualified,5430.42,0.374,2022-03-22,20211122,2030.98
168,2024-12-08,1006,Legacy Workstation,53,Closed Won,34167.29,0.719,2025-03-22,20241208,24566.28
169,2023-04-19,912,Laptop Pro,24,Lead,21935.16,0.424,2023-05-14,20230419,9300.51
170,2021-07-16,1011,Service Contract,6,Lead,8773.8,0.305,2022-02-13,20210716,2676.01
171,2021-12-29,661,Connectivity Module,53,Proposal,13640.8,0.301,2022-05-01,20211229,4105.88
172,2022-02-15,602,Monitoring Device,65,Lead,8545.54,0.484,2022-05-10,20220215,4136.04
173,2025-09-02,275,Monitoring Device,20,Qualified,4823.22,0.374,2026-03-06,20250902,1803.88
174,2021-02-02,499,Laptop Pro,26,Closed Lost,25490.01,0.083,2021-05-05,20210202,2115.67
175,2022-07-28,579,Accessory Kit,19,Qualified,22149.23,0.465,2022-08-23,20220728,10299.39
176,2023-07-14,511,Laptop Pro,42,Qualified,13942.76,0.686,2023-10-29,20230714,9564.73
177,2025-08-28,263,Accessory Kit,82,Lead,2405.87,0.644,2026-01-29,20250828,1549.38
178,2022-09-28,981,Tablet Enterprise,54,Proposal,35952.04,0.439,2023-02-13,20220928,15782.95
179,2025-12-08,922,Medical Sensor,77,Qualified,98037.51,0.332,2026-01-10,20251208,32548.45
180,2025-02-09,1024,Service Contract,11,Closed Won,34544.27,0.342,2025-07-29,20250209,11814.14
181,2022-07-24,106,Legacy Workstation,71,Qualified,9895.29,0.666,2022-10-11,20220724,6590.26
182,2024-03-01,1084,Legacy Workstation,46,Lead,36221.57,0.383,2024-08-04,20240301,13872.86
183,2025-02-11,1034,Medical Sensor,57,Lead,91380.95,0.207,2025-08-22,20250211,18915.86
184,2025-05-18,246,Service Contract,17,Proposal,18642.61,0.687,2025-10-04,20250518,12807.47
185,2022-09-22,943,Service Contract,83,Lead,42596.04,0.594,2023-03-17,20220922,25302.05
186,2021-04-08,890,Laptop Standard,78,Negotiation,144231.7,0.482,2021-09-10,20210408,69519.68
187,2024-12-09,893,Industrial Scanner,45,Closed Won,51616.23,0.339,2025-05-08,20241209,17497.9
188,2022-02-19,419,Laptop Standard,66,Closed Lost,9512.65,0.173,2022-06-02,20220219,1645.69
189,2022-10-22,872,Connectivity Module,45,Lead,114020.13,0.249,2023-01-16,20221022,28391.01
190,2022-04-23,645,Service Contract,38,Proposal,6691.08,0.506,2022-07-02,20220423,3385.69
191,2025-08-05,1173,Laptop Standard,30,Qualified,43318.7,0.203,2025-11-20,20250805,8793.7
192,2025-05-08,199,Tablet Enterprise,13,Lead,49769.2,0.208,2025-11-12,20250508,10351.99
193,2021-02-12,782,Tablet Enterprise,74,Closed Won,57957.83,0.417,2021-07-11,20210212,24168.42
194,2021-11-02,562,Monitoring Device,1,Closed Lost,15167.82,0.31,2022-04-07,20211102,4702.02
195,2021-04-04,411,Tablet Enterprise,3,Proposal,34086.51,0.172,2021-07-03,20210404,5862.88
196,2024-10-27,330,Industrial Scanner,3,Closed Lost,30120.42,0.365,2025-05-03,20241027,10993.95
197,2021-05-04,901,Monitoring Device,61,Proposal,38289.86,0.606,2021-08-25,20210504,23203.66
198,2021-02-04,634,Industrial Scanner,40,Closed Lost,48267.21,0.204,2021-07-12,20210204,9846.51
199,2025-10-03,157,Laptop Standard,11,Proposal,5976.03,0.154,2026-03-07,20251003,920.31
200,2021-08-09,988,Connectivity Module,57,Negotiation,13560.8,0.232,2022-02-27,20210809,3146.11
201,2021-07-14,92,Tablet Enterprise,84,Negotiation,27127.19,0.173,2021-12-24,20210714,4693.0
202,2023-05-21,567,Laptop Standard,49,Lead,18393.98,0.173,2023-11-23,20230521,3182.16
203,2025-09-08,361,Laptop Pro,32,Closed Lost,126973.03,0.611,2026-01-09,20250908,77580.52
204,2023-05-19,70,Connectivity Module,58,Proposal,45392.22,0.667,2023-08-14,20230519,30276.61
205,2022-12-31,978,Medical Sensor,59,Negotiation,20498.24,0.265,2023-06-09,20221231,5432.03
206,2024-10-18,757,Laptop Pro,69,Proposal,16946.81,0.823,2025-02-11,20241018,13947.22
207,2025-10-26,301,Monitoring Device,9,Qualified,29851.34,0.303,2026-03-07,20251026,9044.96
208,2022-05-05,324,Laptop Pro,12,Closed Won,65980.48,0.628,2022-06-05,20220505,41435.74
209,2024-05-30,522,Medical Sensor,68,Negotiation,58252.44,0.413,2024-11-14,20240530,24058.26
210,2024-04-01,387,Tablet Enterprise,39,Proposal,60332.53,0.507,2024-05-05,20240401,30588.59
211,2024-04-09,260,Connectivity Module,50,Negotiation,23783.18,0.339,2024-06-26,20240409,8062.5
212,2024-12-31,459,Medical Sensor,32,Closed Lost,79171.14,0.066,2025-07-22,20241231,5225.3
213,2024-10-04,1003,Monitoring Device,72,Qualified,21634.61,0.426,2025-04-10,20241004,9216.34
214,2025-03-26,707,Tablet Enterprise,62,Lead,52800.54,0.237,2025-05-18,20250326,12513.73
215,2021-07-30,1156,Service Contract,68,Lead,32225.55,0.355,2021-09-07,20210730,11440.07
216,2021-08-09,353,Legacy Workstation,22,Lead,11540.11,0.567,2022-02-17,20210809,6543.24
217,2023-09-17,891,Connectivity Module,78,Lead,97718.04,0.365,2024-01-07,20230917,35667.08
218,2022-06-25,1105,Service Contract,31,Negotiation,110981.08,0.064,2022-07-20,20220625,7102.79
219,2025-09-30,344,Laptop Pro,42,Proposal,143933.82,0.228,2026-01-14,20250930,32816.91
220,2022-09-12,777,Industrial Scanner,69,Lead,12599.07,0.866,2023-02-06,20220912,10910.79
221,2025-05-25,752,Laptop Standard,46,Negotiation,32115.0,0.691,2025-11-14,20250525,22191.46
222,2024-11-26,849,Service Contract,17,Qualified,11602.11,0.601,2025-03-27,20241126,6972.87
223,2024-06-17,856,Laptop Standard,52,Lead,33028.0,0.338,2024-08-08,20240617,11163.46
224,2021-07-15,1070,Connectivity Module,47,Qualified,32931.62,0.36,2021-12-04,20210715,11855.38
225,2024-02-12,759,Industrial Scanner,37,Qualified,33614.32,0.342,2024-09-15,20240212,11496.1
226,2023-09-30,945,Medical Sensor,71,Qualified,42086.94,0.185,2023-12-24,20230930,7786.08
227,2022-04-20,684,Medical Sensor,14,Lead,36553.52,0.432,2022-06-20,20220420,15791.12
228,2021-04-05,369,Monitoring Device,79,Closed Lost,82672.0,0.582,2021-04-30,20210405,48115.1
229,2021-09-12,849,Legacy Workstation,16,Closed Won,36352.45,0.167,2022-03-14,20210912,6070.86
230,2022-08-18,698,Connectivity Module,69,Qualified,13990.39,0.134,2022-11-02,20220818,1874.71
231,2025-09-24,1151,Tablet Enterprise,53,Proposal,17087.84,0.308,2026-03-18,20250924,5263.05
232,2022-04-11,8,Connectivity Module,69,Negotiation,21127.68,0.236,2022-05-13,20220411,4986.13
233,2023-01-16,412,Tablet Enterprise,8,Proposal,93526.65,0.328,2023-03-28,20230116,30676.74
234,2023-10-11,513,Industrial Scanner,64,Negotiation,49766.27,0.068,2023-12-06,20231011,3384.11
235,2025-09-03,559,Accessory Kit,54,Qualified,73587.86,0.23,2025-10-19,20250903,16925.21
236,2021-06-12,352,Medical Sensor,49,Closed Won,7861.17,0.355,2021-07-14,20210612,2790.72
237,2025-01-30,297,Service Contract,79,Lead,90529.79,0.526,2025-08-31,20250130,47618.67
238,2022-12-18,842,Laptop Standard,80,Closed Lost,22430.36,0.628,2023-06-17,20221218,14086.27
239,2021-03-04,693,Legacy Workstation,18,Lead,76310.52,0.375,2021-09-11,20210304,28616.44
240,2024-02-17,678,Industrial Scanner,61,Closed Won,43568.23,0.213,2024-04-02,20240217,9280.03
241,2021-04-15,1042,Medical Sensor,62,Qualified,55123.85,0.586,2021-09-21,20210415,32302.58
242,2022-06-25,259,Industrial Scanner,63,Lead,30954.48,0.372,2022-08-01,20220625,11515.07
243,2022-02-12,410,Tablet Enterprise,21,Lead,62390.74,0.162,2022-03-21,20220212,10107.3
244,2022-03-18,175,Connectivity Module,51,Qualified,112431.97,0.607,2022-06-16,20220318,68246.21
245,2022-11-14,58,Accessory Kit,34,Proposal,8215.07,0.699,2022-12-28,20221114,5742.33
246,2025-06-15,275,Accessory Kit,19,Closed Won,28218.23,0.045,2025-07-17,20250615,1269.82
247,2024-06-17,634,Industrial Scanner,22,Closed Won,57094.8,0.456,2024-08-29,20240617,26035.23
248,2024-05-18,1011,Connectivity Module,65,Lead,17050.17,0.131,2024-09-16,20240518,2233.57
249,2025-12-23,605,Laptop Pro,61,Negotiation,17360.01,0.719,2026-07-20,20251223,12481.85
250,2024-08-05,623,Medical Sensor,22,Lead,31894.47,0.314,2024-10-01,20240805,10014.86
251,2023-03-28,927,Service Contract,2,Lead,31659.1,0.484,2023-04-24,20230328,15323.0
252,2024-10-23,308,Service Contract,49,Closed Won,32140.84,0.299,2025-04-27,20241023,9610.11
253,2021-05-26,275,Service Contract,53,Negotiation,13758.61,0.711,2021-10-19,20210526,9782.37
254,2022-10-15,1077,Legacy Workstation,50,Closed Lost,33813.17,0.341,2022-12-02,20221015,11530.29
255,2021-05-27,845,Monitoring Device,29,Closed Won,177293.76,0.877,2021-10-08,20210527,155486.63
256,2022-04-15,880,Laptop Standard,21,Proposal,93934.76,0.43,2022-09-25,20220415,40391.95
257,2023-10-31,354,Service Contract,28,Closed Lost,27997.52,0.318,2024-02-28,20231031,8903.21
258,2021-04-03,641,Service Contract,59,Qualified,31644.76,0.281,2021-10-12,20210403,8892.18
259,2024-08-22,892,Connectivity Module,45,Negotiation,73072.09,0.372,2024-11-09,20240822,27182.82
260,2022-07-19,678,Accessory Kit,81,Closed Won,6274.24,0.427,2023-01-14,20220719,2679.1
261,2021-01-11,1173,Industrial Scanner,71,Closed Won,47757.04,0.643,2021-05-08,20210111,30707.78
262,2022-06-12,466,Tablet Enterprise,7,Negotiation,2026.53,0.22,2022-08-04,20220612,445.84
263,2023-07-10,436,Laptop Pro,83,Lead,49898.16,0.24,2023-09-07,20230710,11975.56
264,2024-07-20,898,Tablet Enterprise,58,Negotiation,25778.69,0.386,2025-02-03,20240720,9950.57
265,2025-05-20,549,Industrial Scanner,66,Proposal,27955.25,0.441,2025-12-22,20250520,12328.27
266,2023-01-15,668,Industrial Scanner,21,Qualified,36781.15,0.226,2023-07-23,20230115,8312.54
267,2021-02-27,137,Monitoring Device,3,Closed Won,25626.88,0.092,2021-07-20,20210227,2357.67
268,2025-10-28,1122,Service Contract,60,Lead,21671.51,0.364,2026-05-06,20251028,7888.43
